COREF;start_token;end_token;prop;cat;text
0;1;1;PRON;PER;I
0;22;22;PRON;PER;my
-1;22;23;NOM;PER;my readers
-1;28;28;PRON;PER;themselves
-1;31;32;NOM;PER;each other
0;40;40;PRON;PER;me
-1;45;45;PRON;PER;their
-1;45;46;NOM;FAC;their houses
-1;50;51;NOM;PER;no one
-1;57;57;PRON;PER;Their
-1;57;59;NOM;PER;Their faithful Friend
-1;61;61;NOM;PER;Servant
18;81;83;PROP;PER;MARLEY 'S GHOST
18;85;85;PROP;PER;Marley
-1;104;104;PRON;PER;his
-1;109;110;NOM;PER;the clergyman
-1;112;113;NOM;PER;the clerk
-1;115;116;NOM;PER;the undertaker
-1;119;121;NOM;PER;the chief mourner
26;123;123;PROP;PER;Scrooge
26;128;128;PROP;PER;Scrooge
-1;139;139;PRON;PER;he
-1;143;143;PRON;PER;his
20;147;148;PROP;PER;Old Marley
0;160;160;PRON;PER;I
0;167;167;PRON;PER;I
0;171;171;PRON;PER;my
0;186;186;PRON;PER;I
0;192;192;PRON;PER;myself
-1;205;208;NOM;PER;ironmongery in the trade
-1;214;214;PRON;PER;our
-1;214;215;NOM;PER;our ancestors
0;222;222;PRON;PER;my
-1;231;232;NOM;LOC;the Country
-1;237;237;PRON;PER;You
0;241;241;PRON;PER;me
20;248;248;PROP;PER;Marley
26;258;258;PROP;PER;Scrooge
-1;260;260;PRON;PER;he
-1;266;266;PRON;PER;he
26;275;275;PROP;PER;Scrooge
-1;277;277;PRON;PER;he
0;281;281;PRON;PER;I
26;289;289;PROP;PER;Scrooge
-1;291;291;PRON;PER;his
-1;291;293;NOM;PER;his sole executor
-1;295;295;PRON;PER;his
-1;295;297;NOM;PER;his sole administrator
-1;299;299;PRON;PER;his
-1;299;301;NOM;PER;his sole assign
-1;303;303;PRON;PER;his
-1;303;306;NOM;PER;his sole residuary legatee
-1;308;308;PRON;PER;his
-1;308;310;NOM;PER;his sole friend
-1;312;313;NOM;PER;sole mourner
26;317;317;PROP;PER;Scrooge
-1;331;331;PRON;PER;he
-1;333;337;NOM;PER;an excellent man of business
20;357;357;PROP;PER;Marley
0;361;361;PRON;PER;me
0;366;366;PRON;PER;I
20;375;375;PROP;PER;Marley
0;393;393;PRON;PER;I
-1;400;400;PRON;PER;we
21;406;406;PROP;PER;Hamlet
-1;406;408;NOM;PER;Hamlet 's Father
-1;422;422;PRON;PER;his
-1;435;435;PRON;PER;his
-1;444;449;NOM;PER;any other middle - aged gentleman
22;461;462;PROP;PER;Saint Paul
-1;471;471;PRON;PER;his
-1;471;472;NOM;PER;his son
26;477;477;PROP;PER;Scrooge
20;481;482;PROP;PER;Old Marley
26;508;508;PROP;PER;Scrooge
20;510;510;PROP;PER;Marley
-1;512;513;NOM;ORG;The firm
26;517;517;PROP;PER;Scrooge
20;519;519;PROP;PER;Marley
-1;528;529;PROP;PER;Scrooge Scrooge
20;533;533;PROP;PER;Marley
-1;536;536;PRON;PER;he
-1;548;548;PRON;PER;him
-1;553;553;PRON;PER;he
26;564;564;PROP;PER;Scrooge
-1;577;579;NOM;PER;covetous old sinner
-1;614;614;PRON;PER;him
-1;616;616;PRON;PER;his
-1;621;621;PRON;PER;his
-1;626;626;PRON;PER;his
-1;630;630;PRON;PER;his
-1;634;634;PRON;PER;his
-1;638;638;PRON;PER;his
-1;648;648;PRON;PER;his
-1;657;657;PRON;PER;his
-1;662;662;PRON;PER;his
-1;666;666;PRON;PER;his
-1;670;670;PRON;PER;He
-1;672;672;PRON;PER;his
-1;679;679;PRON;PER;him
-1;681;681;PRON;PER;he
-1;683;683;PRON;PER;his
-1;683;684;NOM;FAC;his office
26;709;709;PROP;PER;Scrooge
-1;720;720;PRON;PER;him
-1;729;729;PRON;PER;he
-1;757;757;PRON;PER;him
-1;778;778;PRON;PER;him
-1;784;784;PRON;PER;They
26;793;793;PROP;PER;Scrooge
-1;797;797;NOM;PER;Nobody
-1;800;800;PRON;PER;him
-1;802;803;NOM;FAC;the street
-1;812;812;PRON;PER;My
-1;812;813;NOM;PER;My dear
26;814;814;PROP;PER;Scrooge
-1;818;818;PRON;PER;you
-1;822;822;PRON;PER;you
-1;826;826;PRON;PER;me
-1;829;830;NOM;PER;No beggars
-1;832;832;PRON;PER;him
-1;838;839;NOM;PER;no children
-1;841;841;PRON;PER;him
-1;847;848;NOM;PER;no man
-1;850;850;NOM;PER;woman
-1;855;855;PRON;PER;his
26;868;868;PROP;PER;Scrooge
-1;871;872;NOM;PER;the blindmen
-1;878;878;PRON;PER;him
-1;882;882;PRON;PER;they
-1;884;884;PRON;PER;him
-1;890;890;PRON;PER;their
-1;890;891;NOM;PER;their owners
-1;896;896;NOM;FAC;courts
-1;902;902;PRON;PER;their
-1;906;906;PRON;PER;they
-1;921;922;NOM;PER;dark master
26;928;928;PROP;PER;Scrooge
-1;936;936;PRON;PER;he
-1;941;941;PRON;PER;his
-1;961;963;NOM;PER;the knowing ones
26;969;969;PROP;PER;Scrooge
26;989;990;PROP;PER;old Scrooge
-1;994;994;PRON;PER;his
-1;994;997;NOM;FAC;his counting - house
-1;1012;1012;PRON;PER;he
-1;1026;1029;NOM;PER;people in the court
-1;1028;1029;NOM;FAC;the court
-1;1038;1038;PRON;PER;their
-1;1041;1041;PRON;PER;their
-1;1046;1046;PRON;PER;their
-1;1055;1055;PRON;PER;them
-1;1089;1091;NOM;FAC;the neighbouring offices
-1;1121;1122;NOM;FAC;the court
-1;1128;1129;NOM;FAC;the houses
26;1168;1168;PROP;PER;Scrooge
-1;1168;1172;NOM;FAC;Scrooge 's counting - house
-1;1176;1176;PRON;PER;he
-1;1179;1179;PRON;PER;his
-1;1182;1182;PRON;PER;his
-1;1182;1183;NOM;PER;his clerk
-1;1187;1191;NOM;FAC;a dismal little cell beyond
26;1202;1202;PROP;PER;Scrooge
-1;1210;1211;NOM;PER;the clerk
-1;1227;1227;PRON;PER;he
26;1234;1234;PROP;PER;Scrooge
-1;1241;1241;PRON;PER;his
-1;1241;1243;NOM;FAC;his own room
-1;1249;1250;NOM;PER;the clerk
-1;1257;1258;NOM;PER;the master
-1;1266;1266;PRON;PER;them
-1;1271;1272;NOM;PER;the clerk
-1;1275;1275;PRON;PER;his
-1;1283;1283;PRON;PER;himself
-1;1294;1299;NOM;PER;a man of a strong imagination
-1;1301;1301;PRON;PER;he
-1;1309;1309;NOM;PER;uncle
23;1311;1311;PROP;PER;God
-1;1313;1313;PRON;PER;you
26;1326;1326;PROP;PER;Scrooge
-1;1326;1328;NOM;PER;Scrooge 's nephew
-1;1333;1333;PRON;PER;him
-1;1342;1342;PRON;PER;he
-1;1345;1345;PRON;PER;his
26;1353;1353;PROP;PER;Scrooge
24;1356;1356;PROP;PER;Humbug
-1;1359;1359;PRON;PER;He
-1;1363;1363;PRON;PER;himself
-1;1373;1377;NOM;PER;this nephew of Scrooge 's
26;1376;1376;PROP;PER;Scrooge
-1;1380;1380;PRON;PER;he
-1;1387;1387;PRON;PER;his
-1;1394;1394;PRON;PER;his
