COREF;start_token;end_token;prop;cat;text
8359;28;33;NOM;FAC;a good many cheap Yorkshire schools
1;50;50;PROP;GPE;England
8360;58;59;NOM;GPE;the State
8361;65;68;NOM;PER;good or bad citizens
8362;71;74;NOM;PER;miserable or happy men
8363;76;77;NOM;FAC;private schools
8364;85;97;NOM;PER;any man who had proved his unfitness for any other occupation in life
8364;90;90;PRON;PER;his
8364;118;118;PRON;PER;he
8365;124;134;NOM;PER;the surgeon who assisted to bring a boy into the world
8366;130;131;NOM;PER;a boy
8367;133;134;NOM;LOC;the world
8366;146;146;PRON;PER;him
8367;149;149;PRON;FAC;it
8368;152;153;NOM;PER;the chemist
8369;155;156;NOM;PER;the attorney
8370;158;159;NOM;PER;the butcher
8371;161;162;NOM;PER;the baker
8372;164;166;NOM;PER;the candlestick maker
8373;176;177;NOM;PER;the schoolmaster
8374;182;182;NOM;PER;schoolmasters
8375;192;211;NOM;PER;impostors who might naturally be expected to spring from such a state of things , and to flourish in it
8376;213;215;NOM;PER;these Yorkshire schoolmasters
8377;228;228;NOM;PER;Traders
8378;238;238;NOM;PER;parents
8379;244;244;NOM;PER;children
8380;246;251;NOM;PER;ignorant , sordid , brutal men
8381;255;257;NOM;PER;few considerate persons
8376;272;272;PRON;PER;they
8367;301;302;NOM;LOC;the world
8383;304;304;PRON;PER;We
8384;313;316;NOM;PER;the unqualified medical practitioner
8385;334;355;NOM;PER;the hundreds of thousands of minds that have been deformed for ever by the incapable pettifoggers who have pretended to form them
616;357;357;PRON;PER;I
8386;366;368;NOM;PER;the Yorkshire schoolmasters
8383;398;398;PRON;PER;us
195;405;405;PROP;PER;Heaven
616;429;429;PRON;PER;I
616;439;439;PRON;PER;I
8387;444;445;NOM;FAC;Yorkshire schools
616;447;447;PRON;PER;I
8388;449;453;NOM;PER;a not very robust child
8389;457;462;NOM;LOC;bye - places near Rochester Castle
2;461;462;PROP;FAC;Rochester Castle
196;471;471;PROP;PER;STRAP
197;473;474;PROP;PER;TOM PIPES
198;477;478;PROP;PER;SANCHO PANZA
616;481;481;PRON;PER;I
616;484;484;PRON;PER;my
8390;509;510;NOM;PER;some boy
8391;513;513;NOM;FAC;home
8390;519;519;PRON;PER;his
8392;519;521;NOM;PER;his Yorkshire guide
8393;523;523;NOM;PER;philosopher
8394;526;526;NOM;PER;friend
616;543;543;PRON;PER;me
616;550;550;PRON;PER;me
616;552;552;PRON;PER;I
8387;557;558;NOM;FAC;Yorkshire schools
8396;582;583;NOM;PER;an audience
8387;589;589;PRON;PER;them
616;594;594;PRON;PER;I
3;598;598;PROP;GPE;Yorkshire
616;600;600;PRON;PER;I
616;618;618;PRON;PER;I
8397;622;625;NOM;PER;a schoolmaster or two
8398;631;632;NOM;PER;those gentlemen
8398;636;636;PRON;PER;their
8399;646;694;NOM;PER;the author of the â€œ Pickwick Papers , â€ I consulted with a professional friend who had a Yorkshire connexion , and with whom I concerted a pious fraud . He gave me some letters of introduction , in the name , I think , of my travelling companion
616;655;655;PRON;PER;I
8400;658;674;NOM;PER;a professional friend who had a Yorkshire connexion , and with whom I concerted a pious fraud
3;664;664;PROP;GPE;Yorkshire
616;670;670;PRON;PER;I
8400;676;676;PRON;PER;He
616;678;678;PRON;PER;me
616;688;688;PRON;PER;I
616;692;692;PRON;PER;my
8401;692;694;NOM;PER;my travelling companion
8402;700;749;NOM;PER;"a supposititious little boy who had been left with a widowed mother who did nâ€™t know what to do with him ; the poor lady had thought , as a means of thawing the tardy compassion of her relations in his behalf , of sending him to a Yorkshire school"
8403;709;720;NOM;PER;a widowed mother who did nâ€™t know what to do with him
8400;720;720;PRON;PER;him
8404;722;724;NOM;PER;the poor lady
8404;737;737;PRON;PER;her
8405;737;738;NOM;PER;her relations
8400;740;740;PRON;PER;his
8400;745;745;PRON;PER;him
8406;747;749;NOM;FAC;a Yorkshire school
616;751;751;PRON;PER;I
8404;753;755;NOM;PER;the poor lady
8408;753;757;NOM;PER;the poor lady â€™s friend
8409;765;769;NOM;PER;the recipient of the letter
616;772;772;PRON;PER;me
8410;774;778;NOM;FAC;a school in his neighbourhood
8400;777;777;PRON;PER;his
8411;777;778;NOM;FAC;his neighbourhood
8412;780;781;NOM;PER;the writer
616;788;788;PRON;PER;I
8413;791;808;NOM;GPE;several places in that part of the country where I understood the schools to be most plentifully sprinkled
8414;794;798;NOM;LOC;that part of the country
8415;797;798;NOM;LOC;the country
616;800;800;PRON;PER;I
8416;802;803;NOM;FAC;the schools
616;819;819;PRON;PER;I
8417;822;828;NOM;GPE;a certain town which shall be nameless
8418;830;836;NOM;PER;The person to whom it was addressed
8391;841;841;NOM;FAC;home
8400;844;844;PRON;PER;he
8420;855;860;NOM;FAC;the inn where I was staying
616;858;858;PRON;PER;I
8400;868;868;PRON;PER;he
8400;885;885;PRON;PER;his
616;896;896;PRON;PER;I
8400;899;899;PRON;PER;he
616;904;904;PRON;PER;I
8400;906;906;PRON;PER;he
8421;908;916;NOM;PER;a jovial , ruddy , broad - faced man
8422;919;919;PRON;PER;we
8422;926;926;PRON;PER;we
8400;939;939;PRON;PER;he
8423;950;953;NOM;FAC;any large school near
616;956;956;PRON;PER;I
616;958;958;PRON;PER;him
616;971;971;PRON;PER;he
8424;977;981;NOM;PER;a pratty big â€˜ un
0;992;992;PRON;PER;I
615;996;996;PRON;PER;Ey
616;999;999;PRON;PER;he
8425;1012;1017;NOM;PER;a â€™ a matther of opinion
8426;1030;1031;NOM;FAC;the room
616;1039;1039;PRON;PER;my
8422;1046;1046;PRON;PER;we
616;1051;1051;PRON;PER;he
616;1058;1058;PRON;PER;I
616;1060;1060;PRON;PER;him
616;1065;1065;PRON;PER;I
8427;1071;1072;NOM;FAC;the school
616;1076;1076;PRON;PER;he
616;1088;1088;PRON;PER;his
616;1094;1094;PRON;PER;he
8422;1102;1102;PRON;PER;we
616;1115;1115;PRON;PER;he
616;1119;1119;PRON;PER;his
616;1129;1129;PRON;PER;me
199;1143;1143;PROP;PER;Weel
200;1145;1145;PROP;PER;Misther
8422;1147;1147;PRON;PER;we
0;1158;1158;PRON;PER;my
617;1164;1165;NOM;PER;the weedur
617;1167;1167;PRON;PER;her
618;1167;1169;NOM;PER;her lattle boy
8422;1174;1174;PRON;PER;our
8428;1174;1177;NOM;FAC;our school - measthers
201;1199;1199;PROP;PER;Ar
616;1207;1207;PRON;PER;my
616;1218;1218;PRON;PER;I
8429;1239;1241;NOM;PER;the lattle boy
8430;1243;1246;NOM;PER;a â€™ sike scoondrels
8431;1255;1257;NOM;PER;a â€™ Lunnun
616;1280;1280;PRON;PER;his
616;1293;1293;PRON;PER;he
8425;1300;1300;PRON;PER;I
616;1303;1303;PRON;PER;him
8425;1307;1307;PRON;PER;I
8425;1311;1311;PRON;PER;I
616;1317;1317;PRON;PER;him
202;1319;1320;PROP;PER;John Browdie
