COREF,start_token,end_token,prop,cat,text
1,4775,4775,PROP,GPE,York
4,15352,15352,PROP,GPE,Chaney
5,15366,15367,PROP,GPE,London Docks
6,18191,18191,PROP,GPE,London
7,18233,18233,PROP,GPE,Gog
8,18256,18256,PROP,GPE,England
12,21400,21400,PROP,GPE,Peckham
14,21631,21634,PROP,GPE,Robinson Crusoe â€™s Island
19,22483,22483,PROP,GPE,Cornwall
20,22628,22628,PROP,GPE,Deptford
21,22664,22665,PROP,GPE,Jamaica Harbour
23,24665,24665,PROP,GPE,Kirby
25,33297,33297,PROP,GPE,Saul
28,34157,34158,PROP,GPE,Camden Town
29,36314,36315,PROP,GPE,Banbury Cross
36,52978,52978,PROP,GPE,Brighton
39,55143,55143,PROP,GPE,Rottingdean
40,55158,55158,PROP,GPE,India
41,55219,55219,PROP,GPE,Bengal
264,65073,65073,PROP,GPE,Walâ€r
47,67151,67151,PROP,GPE,Sandhurst
48,67322,67322,PROP,GPE,Bedford
196,72117,72117,PROP,GPE,Florence
55,72932,72932,PROP,GPE,Peruvian
56,74501,74501,PROP,GPE,Greek
57,77896,77896,PROP,GPE,Parnassus
58,78263,78263,PROP,GPE,Tusculum
59,81244,81244,PROP,GPE,Sussex
61,83863,83863,PROP,GPE,Wellington
302,85607,85607,PROP,GPE,Wickam
64,89462,89462,PROP,GPE,Cheapside
65,90374,90374,PROP,GPE,Islington
66,91627,91627,PROP,GPE,Barbados
46,92548,92549,PROP,GPE,West Indies
69,96404,96404,PROP,GPE,Bayswater
72,104961,104961,PROP,GPE,City
378,105032,105032,PROP,GPE,Barnet
75,111809,111809,PROP,GPE,Whitby
77,113179,113179,PROP,GPE,Hampstead
79,115696,115696,PROP,GPE,Birmingham
272,131461,131461,PROP,GPE,Towlinson
83,134182,134182,PROP,GPE,Syracuse
86,141122,141122,PROP,GPE,Europe
87,143417,143417,PROP,GPE,Leamington
88,143807,143808,PROP,GPE,East India
89,149126,149126,PROP,GPE,Eden
90,149551,149551,PROP,GPE,Harrogate
91,149553,149553,PROP,GPE,Scarborough
92,149557,149557,PROP,GPE,Devonshire
211,158057,158057,PROP,GPE,Heaven
95,162718,162718,PROP,GPE,Yorkshire
97,166476,166476,PROP,GPE,Fulham
99,173619,173619,PROP,GPE,Gravesend
101,175847,175847,PROP,GPE,Jericho
318,183326,183326,PROP,GPE,Brogley
103,184979,184979,PROP,GPE,Australia
290,185846,185846,PROP,GPE,Bagstock
106,187795,187795,PROP,GPE,Ours
108,190190,190190,PROP,GPE,Kenilworth
109,190759,190759,PROP,GPE,Warwick
113,204680,204680,PROP,GPE,Ganges
115,211852,211852,PROP,GPE,Denmark
118,219314,219314,PROP,GPE,Paris
119,222653,222653,PROP,GPE,Battlebridge
161,222732,222733,PROP,GPE,Balls Pond
123,224307,224307,PROP,GPE,Kent
125,225459,225461,PROP,GPE,Baden - Baden
129,234419,234419,PROP,GPE,Finchley
130,234522,234522,PROP,GPE,Southampton
131,234563,234563,PROP,GPE,Jamaica
133,237320,237321,PROP,GPE,Barbados Harbour
134,239264,239264,PROP,GPE,Norwood
135,245665,245665,PROP,GPE,Yonder
136,259142,259146,PROP,GPE,Kingston - upon - Thames
138,260649,260649,PROP,GPE,Berkshire
139,260701,260701,PROP,GPE,Anyshire
141,275230,275230,PROP,GPE,Judah
142,276069,276069,PROP,GPE,arnest
143,276291,276292,PROP,GPE,Rule Britannia
146,279711,279711,PROP,GPE,Greenland
151,291028,291028,PROP,GPE,Warwickshire
153,292028,292028,PROP,GPE,Montargis
155,296136,296136,PROP,GPE,Brooksâ€™s
156,312802,312802,PROP,GPE,Essex
158,326536,326536,PROP,GPE,Hell
162,380601,380601,PROP,GPE,Dijon
167,382551,382551,PROP,GPE,Havre
168,382553,382553,PROP,GPE,Rouen
169,382724,382724,PROP,GPE,Sicily
170,387019,387019,PROP,GPE,Italy
172,394882,394882,PROP,GPE,China
173,394967,394967,PROP,GPE,Canton
174,397991,397991,PROP,GPE,Aldgate
177,401609,401609,PROP,GPE,Demerara
179,407302,407302,PROP,GPE,Hooroar
180,410029,410029,PROP,GPE,France
184,443003,443003,PROP,GPE,Geneva
185,443106,443106,PROP,GPE,Switzerland
