COREF,start_token,end_token,prop,cat,text
1,162,162,PROP,GPE,England
2,184,184,PROP,GPE,France
3,285,285,PROP,GPE,London
4,287,287,PROP,GPE,Westminster
5,355,355,PROP,GPE,America
6,511,511,PROP,GPE,Norway
7,580,580,PROP,GPE,Paris
10,1008,1008,PROP,GPE,Newgate
13,1315,1315,PROP,GPE,Blackheath
15,1853,1853,PROP,GPE,Dover
133,2690,2690,PROP,GPE,Lorry
21,5881,5881,PROP,GPE,Calais
22,5966,5966,PROP,GPE,Concord
134,6662,6662,PROP,GPE,Tellson
25,8614,8614,PROP,GPE,Beauvais
26,10432,10432,PROP,GPE,French
34,21900,21900,PROP,GPE,Abyssinia
35,21902,21902,PROP,GPE,Ashantee
37,22434,22434,PROP,GPE,Whitefriars
41,24854,24854,PROP,GPE,Tyburn
42,25253,25253,PROP,GPE,Bedlam
43,26416,26416,PROP,GPE,Canada
44,26418,26419,PROP,GPE,North America
45,27494,27494,PROP,GPE,Britain
46,27499,27499,PROP,GPE,Greece
47,27501,27501,PROP,GPE,Rome
48,28788,28788,PROP,GPE,Boulogne
49,34926,34926,PROP,GPE,Ludgate
177,37229,37229,PROP,GPE,Sydney
54,38065,38065,PROP,GPE,Shrewsbury
57,38872,38872,PROP,GPE,Clerkenwell
58,38927,38927,PROP,GPE,Soho
28,45342,45343,PROP,GPE,Notre Dame
188,45550,45550,PROP,GPE,Monseigneur
64,45622,45622,PROP,GPE,Babel
65,56142,56142,PROP,GPE,Cambridge
66,56197,56197,PROP,GPE,Eden
68,61370,61370,PROP,GPE,Hilary
70,61507,61507,PROP,GPE,Ranelagh
171,63015,63015,PROP,GPE,Stryver
36,63305,63305,PROP,GPE,Tellsonâ€™s
74,64765,64765,PROP,GPE,Devonshire
75,76023,76023,PROP,GPE,Versailles
78,80829,80829,PROP,GPE,Dâ€™Aulnais
80,84715,84715,PROP,GPE,Warwickshire
81,84760,84760,PROP,GPE,Wales
144,94627,94628,PROP,GPE,Saint Antoine
89,97979,97979,PROP,GPE,Hell
237,98532,98532,PROP,GPE,Foulon
91,98718,98718,PROP,GPE,Examination
95,106582,106582,PROP,GPE,Tilson
98,108435,108435,PROP,GPE,Secret
99,112129,112130,PROP,GPE,La Force
170,114753,114753,PROP,GPE,Manette
108,120305,120305,PROP,GPE,Liberty
113,122298,122298,PROP,GPE,La
162,124173,124173,PROP,GPE,Darnay
119,140159,140160,PROP,GPE,St. Antoine
167,167690,167690,PROP,GPE,Barsad
