COREF,start_token,end_token,prop,cat,text
2,628,628,PROP,GPE,Verona
3,651,651,PROP,GPE,Rome
4,682,682,PROP,GPE,Rheims
5,705,705,PROP,GPE,France
6,912,912,PROP,GPE,Columbus
7,944,944,PROP,GPE,Chancery
8,945,945,PROP,GPE,London
248,2188,2188,PROP,GPE,Jarndyce
13,2391,2391,PROP,GPE,Shropshire
16,4270,4270,PROP,GPE,Paris
17,4336,4336,PROP,GPE,Lincolnshire
264,6540,6540,PROP,GPE,Dedlock
19,11227,11227,PROP,GPE,Windsor
20,12822,12822,PROP,GPE,Greenleaf
22,13575,13575,PROP,GPE,Reading
24,13587,13587,PROP,GPE,Piccadilly
244,14357,14357,PROP,GPE,Kenge
28,15920,15920,PROP,GPE,Hertfordshire
29,17183,17183,PROP,GPE,Africa
31,17706,17706,PROP,GPE,Winchester
32,17736,17736,PROP,GPE,Holborn
36,18977,18979,PROP,GPE,Borrioboola - Gha
35,20065,20066,PROP,GPE,Tunbridge Wells
249,24813,24813,PROP,GPE,KROOK
372,25109,25109,PROP,GPE,Nemo
44,30904,30904,PROP,GPE,Barnet
45,30974,30975,PROP,GPE,St. Albans
46,33067,33067,PROP,GPE,India
47,33410,33410,PROP,GPE,China
54,42534,42535,PROP,GPE,Chesney Wold
55,48505,48505,PROP,GPE,England
57,50178,50178,PROP,GPE,Britain
58,50192,50192,PROP,GPE,America
60,58673,58673,PROP,GPE,Europe
280,61724,61724,PROP,GPE,Carboy
64,62155,62155,PROP,GPE,Pentonville
68,64375,64375,PROP,GPE,Tooting
69,64611,64611,PROP,GPE,Christendom
81,78505,78505,PROP,GPE,Avignon
82,78507,78507,PROP,GPE,Marseilles
329,79375,79375,PROP,GPE,Chesney
87,83142,83142,PROP,GPE,Greece
90,85566,85566,PROP,GPE,Chelsea
93,86553,86553,PROP,GPE,ESSE
94,86885,86886,PROP,GPE,Plymouth Harbour
100,95294,95294,PROP,GPE,Brighton
101,96573,96573,PROP,GPE,Kensington
103,99544,99544,PROP,GPE,Waste
104,99570,99570,PROP,GPE,Precedent
453,110172,110177,PROP,GPE,Tom - all - Alone â€™s
110,114192,114192,PROP,GPE,Devon
111,118871,118871,PROP,GPE,Wales
620,128738,128738,PROP,GPE,Britannia
117,128786,128786,PROP,GPE,Switzerland
118,128909,128909,PROP,GPE,Constantinople
119,128927,128927,PROP,GPE,Venice
121,128941,128941,PROP,GPE,Germany
122,129049,129049,PROP,GPE,Margate
123,129051,129051,PROP,GPE,Ramsgate
124,129054,129054,PROP,GPE,Gravesend
126,129183,129183,PROP,GPE,Court
400,132490,132490,PROP,GPE,Tom
129,132599,132599,PROP,GPE,ginâ€™ral
132,135930,135930,PROP,GPE,Deptford
316,140349,140349,PROP,GPE,Halloa
136,141594,141594,PROP,GPE,Albion
139,142432,142433,PROP,GPE,Mount Pleasant
140,149430,149430,PROP,GPE,Saul
143,149801,149801,PROP,GPE,Tartary
147,154309,154310,PROP,GPE,Saint Albans
149,166924,166924,PROP,GPE,Ireland
150,170522,170522,PROP,GPE,Liverpool
530,178115,178115,PROP,GPE,Terewth
154,179966,179966,PROP,GPE,Nero
155,179974,179974,PROP,GPE,Newgate
156,181409,181409,PROP,GPE,Clerkenwell
159,181632,181632,PROP,GPE,Smiffeld
160,182416,182416,PROP,GPE,Cornwall
161,182418,182418,PROP,GPE,Devonshire
162,182421,182421,PROP,GPE,Lancashire
165,187924,187924,PROP,GPE,Scotland
166,189304,189304,PROP,GPE,Whitefriars
169,189356,189356,PROP,GPE,Kent
170,189358,189358,PROP,GPE,Surrey
171,189797,189798,PROP,GPE,New Zealand
172,189800,189800,PROP,GPE,Australey
173,190015,190016,PROP,GPE,North America
546,190412,190412,PROP,GPE,Woolwich
544,192021,192021,PROP,GPE,Quebec
177,193109,193109,PROP,GPE,Foodle
178,193316,193316,PROP,GPE,Bath
181,203193,203193,PROP,GPE,Welsh
186,213021,213021,PROP,GPE,Stolbuns
188,220996,220996,PROP,GPE,Jericho
191,231267,231267,PROP,GPE,Manchester
192,234488,234488,PROP,GPE,Lignum
193,236381,236381,PROP,GPE,Gibraltar
197,246152,246154,PROP,GPE,Ve - ry
247,246760,246760,PROP,GPE,Gridley
199,250140,250140,PROP,GPE,Plymouth
202,264558,264558,PROP,GPE,Taunton
306,267618,267618,PROP,GPE,Borrioboola
63,270161,270162,PROP,GPE,Penton Place
205,270195,270195,PROP,GPE,Middlesex
207,274666,274666,PROP,GPE,Kennington
208,276103,276103,PROP,GPE,Suffolk
209,278193,278194,PROP,GPE,Great Britain
552,279066,279066,PROP,GPE,Volumnia
213,294167,294167,PROP,GPE,Moorish
215,303967,303967,PROP,GPE,Deal
545,331735,331735,PROP,GPE,Malta
245,343264,343264,PROP,GPE,Vholes
226,369218,369218,PROP,GPE,Ascension
227,369220,369221,PROP,GPE,Hong Kong
228,377475,377475,PROP,GPE,Almac
230,381584,381584,PROP,GPE,Highgate
231,384326,384326,PROP,GPE,Lunnun
232,390709,390709,PROP,GPE,Waterloo
233,395185,395185,PROP,GPE,Islington
235,403259,403259,PROP,GPE,Yorkshire
240,425397,425397,PROP,GPE,Lambeth
151,426704,426704,PROP,GPE,Westminster
