COREF,start_token,end_token,prop,cat,text
1,314,314,PROP,GPE,London
2,1408,1408,PROP,GPE,Blunderstone
3,1411,1411,PROP,GPE,Suffolk
4,1423,1423,PROP,GPE,Scotland
5,1724,1724,PROP,GPE,India
473,5004,5004,PROP,GPE,Hamlet
7,10992,10992,PROP,GPE,Lowestoft
234,11072,11072,PROP,GPE,Peggotty
9,11693,11693,PROP,GPE,Sheffield
10,13054,13054,PROP,GPE,Yarmouth
11,15242,15242,PROP,GPE,Sunderland
12,21702,21702,PROP,GPE,DISGRACE
247,25835,25835,PROP,GPE,Murdstone
230,26109,26109,PROP,GPE,Heaven
15,27832,27832,PROP,GPE,Wakefield
19,36067,36067,PROP,GPE,Bloonderstone
20,36069,36069,PROP,GPE,Sooffolk
22,37040,37040,PROP,GPE,Blackheath
24,40007,40007,PROP,GPE,Coventry
26,47439,47439,PROP,GPE,Madrid
27,51650,51650,PROP,GPE,Oncommon
28,51896,51896,PROP,GPE,Gravesen
29,52440,52440,PROP,GPE,Gravesend
30,52686,52686,PROP,GPE,Norfolk
32,75254,75254,PROP,GPE,China
33,77770,77770,PROP,GPE,Blackfriars
39,79141,79141,PROP,GPE,Babylon
23,84756,84757,PROP,GPE,London Bridge
50,84996,84996,PROP,GPE,Germany
51,85726,85726,PROP,GPE,Southwark
52,86376,86376,PROP,GPE,Plymouth
53,89380,89380,PROP,GPE,Dover
54,89389,89389,PROP,GPE,Hythe
55,89391,89391,PROP,GPE,Sandgate
56,89394,89394,PROP,GPE,Folkestone
58,90594,90594,PROP,GPE,Greenwich
60,92316,92316,PROP,GPE,Rochester
62,95152,95152,PROP,GPE,Canterbury
64,95368,95368,PROP,GPE,Maidstone
65,95396,95396,PROP,GPE,Calais
68,107239,107239,PROP,GPE,Chatham
69,108185,108185,PROP,GPE,Providence
337,115389,115389,PROP,GPE,Grinby
228,117512,117512,PROP,GPE,Trotwood
73,121084,121084,PROP,GPE,France
76,132419,132419,PROP,GPE,Pentonville
429,134836,134836,PROP,GPE,Macbeth
78,137324,137324,PROP,GPE,Ashford
83,146128,146128,PROP,GPE,Rome
84,146655,146655,PROP,GPE,Highgate
89,153828,153828,PROP,GPE,England
92,158620,158621,PROP,GPE,Yarmouth Roads
426,159394,159394,PROP,GPE,gentâ€™lmen
96,161667,161668,PROP,GPE,South America
98,166142,166142,PROP,GPE,Hookey
99,166802,166802,PROP,GPE,Russia
100,173144,173144,PROP,GPE,Egypt
449,176993,176993,PROP,GPE,Jorkins
110,180410,180411,PROP,GPE,St. Albans
112,182260,182260,PROP,GPE,Oxford
113,183689,183689,PROP,GPE,Amigoarawaysoo
229,184485,184485,PROP,GPE,Copperfield
357,184487,184487,PROP,GPE,Esquire
116,184618,184619,PROP,GPE,Ely Place
117,184621,184621,PROP,GPE,Holborn
119,189854,189854,PROP,GPE,Newmarket
121,194367,194367,PROP,GPE,CAPTIVITY
122,195385,195385,PROP,GPE,Norwood
123,195416,195416,PROP,GPE,Paris
127,200081,200081,PROP,GPE,Fairyland
129,202283,202284,PROP,GPE,Camden Town
131,204833,204833,PROP,GPE,Devonshire
132,210985,210985,PROP,GPE,Hanbury
135,213184,213184,PROP,GPE,"Piccadilly,--which"
305,218236,218236,PROP,GPE,Steerforth
326,220723,220723,PROP,GPE,Omer
141,234503,234503,PROP,GPE,Norwich
145,242156,242156,PROP,GPE,Court
147,244325,244325,PROP,GPE,Guildford
148,245344,245344,PROP,GPE,Memory
149,247659,247659,PROP,GPE,Sahara
155,255429,255429,PROP,GPE,Hampstead
487,255891,255891,PROP,GPE,Dora
158,259645,259645,PROP,GPE,nankeen
163,267596,267596,PROP,GPE,Peru
166,282318,282318,PROP,GPE,Putney
168,295413,295413,PROP,GPE,Italy
171,298087,298087,PROP,GPE,Calcutta
172,309924,309924,PROP,GPE,ALL
174,336749,336749,PROP,GPE,Switzerland
175,337223,337223,PROP,GPE,Naples
176,338926,338926,PROP,GPE,Spain
179,342049,342049,PROP,GPE,Westminster
181,348237,348237,PROP,GPE,America
182,348488,348488,PROP,GPE,Uxbridge
187,366666,366666,PROP,GPE,Leghorn
188,367948,367948,PROP,GPE,Australia
189,372445,372445,PROP,GPE,Lonâ€™on
191,395080,395080,PROP,GPE,Hornsey
194,397242,397242,PROP,GPE,Ipswich
195,399559,399559,PROP,GPE,Portugal
197,405785,405786,PROP,GPE,Old England
199,407529,407529,PROP,GPE,Britannia
200,407613,407613,PROP,GPE,Albion
201,408218,408218,PROP,GPE,Britain
203,411834,411834,PROP,GPE,Geneva
306,411894,411894,PROP,GPE,Traddles
210,415614,415614,PROP,GPE,Puss
214,417549,417549,PROP,GPE,Kent
218,428117,428117,PROP,GPE,Babel
221,431418,431418,PROP,GPE,Southampton
223,438496,438498,PROP,GPE,Port Middlebay Harbour
225,439156,439156,PROP,GPE,TERPSICHORE
