COREF,start_token,end_token,prop,cat,text
3,8262,8262,PROP,GPE,Yonder
5,10931,10931,PROP,GPE,Hamlet
7,43054,43054,PROP,GPE,England
8,43209,43209,PROP,GPE,London
11,48332,48332,PROP,GPE,Court
13,50132,50133,PROP,GPE,Lunnon town
15,52716,52716,PROP,GPE,France
17,54152,54152,PROP,GPE,Newgate
19,54879,54879,PROP,GPE,Camberwell
20,54959,54960,PROP,GPE,Bosworth Field
21,54968,54968,PROP,GPE,Glastonbury
22,61814,61814,PROP,GPE,Athens
175,71582,71582,PROP,GPE,Pork
25,74937,74937,PROP,GPE,Cheapside
26,75012,75013,PROP,GPE,Little Britain
27,75029,75029,PROP,GPE,Smithfield
267,76758,76758,PROP,GPE,Jaggerth
35,79353,79353,PROP,GPE,Hammersmith
38,81409,81409,PROP,GPE,Tartar
41,84968,84968,PROP,GPE,Ceylon
45,85945,85945,PROP,GPE,Europe
46,88077,88077,PROP,GPE,Harrow
47,88080,88080,PROP,GPE,Cambridge
48,91914,91914,PROP,GPE,Australia
49,93156,93156,PROP,GPE,Walworth
50,93833,93833,PROP,GPE,Somersetshire
54,97845,97845,PROP,GPE,Soho
57,107418,107418,PROP,GPE,Antwerp
59,108420,108420,PROP,GPE,Paris
62,116978,116978,PROP,GPE,Kew
63,117462,117462,PROP,GPE,Roscian
64,117588,117588,PROP,GPE,Denmark
67,123084,123084,PROP,GPE,Richmond
68,123100,123100,PROP,GPE,Richmonds
69,123104,123104,PROP,GPE,Surrey
70,123108,123108,PROP,GPE,Yorkshire
71,123115,123116,PROP,GPE,Surrey Richmond
75,127108,127108,PROP,GPE,America
77,135246,135246,PROP,GPE,Southwark
78,135250,135250,PROP,GPE,Blackfriars
79,135254,135254,PROP,GPE,Waterloo
80,135258,135258,PROP,GPE,Westminster
81,135262,135262,PROP,GPE,Vauxhall
83,136394,136394,PROP,GPE,Liverpool
84,140121,140121,PROP,GPE,Satis
87,145348,145348,PROP,GPE,Marseilles
89,148372,148372,PROP,GPE,Portsmouth
91,154126,154127,PROP,GPE,Botany Bay
95,155416,155418,PROP,GPE,New South Wales
96,156908,156908,PROP,GPE,India
99,160436,160436,PROP,GPE,Essex
100,160960,160960,PROP,GPE,Epsom
102,161685,161685,PROP,GPE,Brentford
103,163138,163138,PROP,GPE,Bridewells
105,169785,169785,PROP,GPE,Middlesex
106,169806,169806,PROP,GPE,Whitefriars
93,171143,171143,PROP,GPE,Temple
112,172761,172761,PROP,GPE,Greenwich
113,173001,173001,PROP,GPE,Dover
114,173682,173682,PROP,GPE,Bridge
117,174156,174156,PROP,GPE,Windsor
122,177007,177007,PROP,GPE,Erith
269,180884,180884,PROP,GPE,Wemmick
131,194069,194069,PROP,GPE,Rotterdam
132,194120,194120,PROP,GPE,Gravesend
133,194234,194234,PROP,GPE,Hamburg
135,202399,202399,PROP,GPE,Kent
138,202820,202820,PROP,GPE,Aberdeen
139,202823,202823,PROP,GPE,Glasgow
140,203153,203153,PROP,GPE,Sunderland
141,203175,203175,PROP,GPE,Yarmouth
144,209541,209541,PROP,GPE,Cairo
164,211471,211471,PROP,GPE,Halloa
147,211604,211604,PROP,GPE,Hymen
282,220027,220027,PROP,GPE,Herbert
