COREF,start_token,end_token,prop,cat,text
1,1580,1580,PROP,GPE,England
4,3468,3468,PROP,GPE,Coketown
6,4231,4231,PROP,GPE,Brentford
8,6315,6315,PROP,GPE,London
12,12131,12131,PROP,GPE,Kidderminster
87,13587,13587,PROP,GPE,Sleary
115,14904,14904,PROP,GPE,Thquire
20,33427,33427,PROP,GPE,Parliamentary
21,34483,34483,PROP,GPE,Babel
92,38956,38956,PROP,GPE,Bounderby
23,42265,42265,PROP,GPE,Wales
24,42337,42337,PROP,GPE,India
25,42345,42345,PROP,GPE,China
26,42352,42352,PROP,GPE,Tartary
29,46775,46775,PROP,GPE,Lyons
33,53406,53406,PROP,GPE,Jerusalem
34,53643,53643,PROP,GPE,Esquire
35,53939,53939,PROP,GPE,Ireland
37,65072,65073,PROP,GPE,Norfolk Island
169,65091,65091,PROP,GPE,Slackbridge
40,73195,73195,PROP,GPE,Antwerp
42,85716,85716,PROP,GPE,Adam
43,87752,87752,PROP,GPE,Rome
44,87890,87890,PROP,GPE,Alderney
45,90033,90033,PROP,GPE,Yorkshire
56,120287,120287,PROP,GPE,Liverpool
57,121085,121085,PROP,GPE,Japan
58,121575,121575,PROP,GPE,bithnith
59,121647,121647,PROP,GPE,Athleyâ€™th
60,121655,121655,PROP,GPE,Parith
80,125106,125106,PROP,GPE,Heaven
65,126514,126514,PROP,GPE,Thleary
66,126519,126519,PROP,GPE,Perthon
67,126707,126707,PROP,GPE,Chethter
