COREF,start_token,end_token,prop,cat,text
1,173,173,PROP,GPE,Chelsea
3,418,418,PROP,GPE,Bermondsey
6,732,733,PROP,GPE,Bleak House
7,796,796,PROP,GPE,London
8,814,814,PROP,GPE,Marseilles
9,838,838,PROP,GPE,France
10,1048,1048,PROP,GPE,Hindoos
11,1064,1064,PROP,GPE,Neapolitans
12,1078,1078,PROP,GPE,Babel
13,2398,2398,PROP,GPE,Toulon
14,2406,2406,PROP,GPE,Spain
15,2410,2410,PROP,GPE,Algiers
16,2423,2423,PROP,GPE,Nice
17,2430,2430,PROP,GPE,Genoa
18,2432,2433,PROP,GPE,Genoa Mole
19,2435,2435,PROP,GPE,Harbour
21,2453,2454,PROP,GPE,Porto Fino
22,2459,2459,PROP,GPE,Leghorn
24,2478,2478,PROP,GPE,Naples
26,2629,2629,PROP,GPE,Cornice
27,2948,2948,PROP,GPE,Lyons
30,5135,5135,PROP,GPE,Swiss
31,5137,5139,PROP,GPE,Canton de Vaud
32,5157,5157,PROP,GPE,Belgium
537,9005,9005,PROP,GPE,Paris
293,9435,9435,PROP,GPE,Tattycoram
38,9625,9625,PROP,GPE,China
41,11481,11481,PROP,GPE,India
42,14566,14566,PROP,GPE,Dover
45,15446,15446,PROP,GPE,Chaymaid
47,15868,15868,PROP,GPE,Cheapside
48,16879,16879,PROP,GPE,Egypt
309,23849,23849,PROP,GPE,Heaven
51,28438,28438,PROP,GPE,Southwark
53,33792,33792,PROP,GPE,Symposium
54,37766,37766,PROP,GPE,Albion
56,37978,37978,PROP,GPE,Billingsgate
331,38066,38066,PROP,GPE,Marshalsea
58,38116,38116,PROP,GPE,Canada
59,38225,38225,PROP,GPE,Liverpool
60,38462,38462,PROP,GPE,Moorfields
63,39936,39936,PROP,GPE,England
64,41484,41484,PROP,GPE,Camberwell
80,61810,61810,PROP,GPE,Chalons
82,63610,63611,PROP,GPE,Great Britain
83,65590,65590,PROP,GPE,Avignon
88,68587,68587,PROP,GPE,Britain
90,70049,70049,PROP,GPE,Cheltenham
91,70128,70128,PROP,GPE,Gloucestershire
97,77493,77493,PROP,GPE,Scotland
98,78872,78872,PROP,GPE,Henley
61,79373,79374,PROP,GPE,London Bridge
102,80515,80515,PROP,GPE,Cornwall
103,80689,80689,PROP,GPE,Smithfield
109,81782,81783,PROP,GPE,Saint Bartholomew
113,82369,82369,PROP,GPE,Holborn
111,83244,83245,PROP,GPE,Covent Garden
117,94076,94076,PROP,GPE,Twickenham
118,94153,94153,PROP,GPE,Fulham
119,94155,94155,PROP,GPE,Putney
122,95252,95252,PROP,GPE,Germany
123,95264,95265,PROP,GPE,St Petersburg
127,97213,97213,PROP,GPE,Birmingham
128,97219,97219,PROP,GPE,Venice
129,97224,97224,PROP,GPE,Switzerland
130,97233,97233,PROP,GPE,Pompeii
131,97249,97249,PROP,GPE,Vesuvius
134,102342,102342,PROP,GPE,Kingston
135,102672,102672,PROP,GPE,Stiltstalking
136,103611,103611,PROP,GPE,Rome
139,106584,106584,PROP,GPE,Turnkey
142,108616,108616,PROP,GPE,Middlesex
466,116624,116624,PROP,GPE,Society
147,122248,122248,PROP,GPE,Millennium
151,124784,124785,PROP,GPE,New Brunswick
152,126785,126785,PROP,GPE,Africa
358,138781,138781,PROP,GPE,Plornish
158,142356,142357,PROP,GPE,Tunbridge Wells
159,143441,143441,PROP,GPE,Calais
161,148883,148883,PROP,GPE,Pentonville
162,151346,151346,PROP,GPE,Bedfordshire
163,151400,151400,PROP,GPE,York
164,151515,151515,PROP,GPE,Durham
165,151527,151527,PROP,GPE,Dunstable
169,160829,160829,PROP,GPE,Strait
172,163652,163652,PROP,GPE,Vanity
179,197687,197687,PROP,GPE,Italy-
180,197694,197694,PROP,GPE,Italy
182,203422,203422,PROP,GPE,Jerusalem
184,205842,205842,PROP,GPE,Dorsetshire
190,218295,218295,PROP,GPE,Martigny
191,219180,219180,PROP,GPE,Geneva
192,224616,224616,PROP,GPE,Europe
194,230406,230406,PROP,GPE,Esquire
197,237521,237521,PROP,GPE,Westminster
199,249891,249891,PROP,GPE,Florence
200,249959,249959,PROP,GPE,Brighton
125,256969,256969,PROP,GPE,Mediterranean
205,263368,263368,PROP,GPE,Marshongers
206,263699,263699,PROP,GPE,Romely
615,268419,268419,PROP,GPE,Mantua
209,277067,277067,PROP,GPE,Pisa
211,279517,279517,PROP,GPE,Banco
213,281320,281320,PROP,GPE,Eton
643,288566,288566,PROP,GPE,Padrona
280,290408,290408,PROP,GPE,Cavalletto
223,293727,293727,PROP,GPE,Albano
226,302844,302844,PROP,GPE,Newton
227,302846,302846,PROP,GPE,Watt
228,304395,304395,PROP,GPE,Sicily
230,305336,305336,PROP,GPE,Vesta
235,311269,311269,PROP,GPE,Blackheath
239,318205,318205,PROP,GPE,Dartford
240,318209,318209,PROP,GPE,Gravesend
241,318213,318213,PROP,GPE,Rochester
242,318217,318217,PROP,GPE,Sittingbourne
243,318222,318222,PROP,GPE,Canterbury
249,325073,325073,PROP,GPE,Surrey
252,338582,338582,PROP,GPE,Southampton
254,339824,339824,PROP,GPE,Marsiglia
259,368823,368838,PROP,GPE,"HIS RIVAL IN A DISTRESSED STATE , AND FELT INCLINED TO HAVE A ROUND WITH HIM"
260,373071,373071,PROP,GPE,Londra
263,392188,392188,PROP,GPE,Gilbert
265,392796,392796,PROP,GPE,Antwerp
267,400401,400401,PROP,GPE,Amsterdam
395,402797,402797,PROP,GPE,Casby
271,414724,414727,PROP,GPE,Saint Paul â€™s Churchyard
