COREF,start_token,end_token,prop,cat,text
1,50,50,PROP,GPE,England
3,598,598,PROP,GPE,Yorkshire
4,1436,1436,PROP,GPE,London
6,2199,2199,PROP,GPE,Brunswick
8,3091,3091,PROP,GPE,Dawlish
9,3093,3093,PROP,GPE,Devonshire
10,3217,3217,PROP,GPE,Exeter
11,4500,4500,PROP,GPE,Florence
22,16323,16323,PROP,GPE,Smithfield
24,17092,17092,PROP,GPE,Midsummer
261,17185,17185,PROP,GPE,Halloa
281,17662,17662,PROP,GPE,Dotheboys
18,17665,17666,PROP,GPE,Greta Bridge
32,25519,25519,PROP,GPE,Islington
34,26430,26430,PROP,GPE,Grantham
35,26828,26829,PROP,GPE,Eton Slocomb
36,27120,27120,PROP,GPE,Stamford
37,27255,27255,PROP,GPE,Newark
38,28940,28940,PROP,GPE,York
39,29359,29360,PROP,GPE,York Minster
253,33963,33963,PROP,GPE,Grogzwig
44,33965,33965,PROP,GPE,Germany
256,34487,34487,PROP,GPE,Lincoln
46,34759,34759,PROP,GPE,Gillingwater
50,35366,35366,PROP,GPE,Swillenhausen
51,37362,37362,PROP,GPE,France
57,63583,63583,PROP,GPE,Cornwall
62,78490,78490,PROP,GPE,Boroughbridge
69,92378,92378,PROP,GPE,Finsbury
71,93401,93401,PROP,GPE,Westminster
72,94228,94228,PROP,GPE,Parliament
73,97808,97808,PROP,GPE,Russia
75,103357,103357,PROP,GPE,Cheltenham
76,105362,105362,PROP,GPE,Hammersmith
77,107971,107973,PROP,GPE,the United States
79,121136,121136,PROP,GPE,Syria
85,130311,130311,PROP,GPE,Chelsea
86,130337,130337,PROP,GPE,Brompton
90,133829,133829,PROP,GPE,Portsmouth
91,138090,138090,PROP,GPE,Guildford
95,143200,143200,PROP,GPE,Southampton
96,144604,144604,PROP,GPE,Canterbury
99,151389,151389,PROP,GPE,"Winchester,--when"
434,160974,160974,PROP,GPE,Ryde
103,165655,165655,PROP,GPE,Cheapside
106,167196,167196,PROP,GPE,Llandaff
108,167206,167207,PROP,GPE,North Wales
109,172618,172618,PROP,GPE,Stratford
110,172632,172632,PROP,GPE,Birmingham
111,172736,172736,PROP,GPE,Paris
115,175346,175346,PROP,GPE,COLOGNE
117,175416,175416,PROP,GPE,MERCIE
118,175469,175469,PROP,GPE,Italy
125,195767,195767,PROP,GPE,Cross
127,199159,199159,PROP,GPE,India
382,199240,199240,PROP,GPE,Kingston
132,205328,205328,PROP,GPE,Whitechapel
133,211935,211935,PROP,GPE,HERE
137,217547,217548,PROP,GPE,Taunton Vale
139,223055,223055,PROP,GPE,Bow
142,231003,231003,PROP,GPE,Camberwell
144,233752,233752,PROP,GPE,Oxford
146,241248,241248,PROP,GPE,Newgate
307,245114,245114,PROP,GPE,Lunnun
154,259211,259212,PROP,GPE,Botany Bay
155,260398,260398,PROP,GPE,Barbary
156,260458,260458,PROP,GPE,Aldgate
157,261214,261214,PROP,GPE,Paving
158,262765,262765,PROP,GPE,Tartary
159,262802,262802,PROP,GPE,China
160,273846,273846,PROP,GPE,Europe
161,273858,273858,PROP,GPE,Asia
162,273871,273871,PROP,GPE,Africa
163,273882,273882,PROP,GPE,America
164,278699,278699,PROP,GPE,Pimlico
195,303689,303689,PROP,GPE,Heaven
171,308328,308328,PROP,GPE,Liverpool
172,313867,313867,PROP,GPE,Tutbury
482,317282,317283,PROP,GPE,Tim Linkinwater
174,317431,317431,PROP,GPE,Blunderbore
175,317469,317469,PROP,GPE,Madagascar
176,317477,317477,PROP,GPE,Diamonds
177,317490,317490,PROP,GPE,Kalydor
178,319280,319280,PROP,GPE,Hampton
179,321952,321952,PROP,GPE,Brussels
180,325118,325118,PROP,GPE,Twickenham
181,325146,325146,PROP,GPE,Petersham
186,356113,356113,PROP,GPE,Scotland
188,365786,365786,PROP,GPE,Lambeth
189,370884,370884,PROP,GPE,Purechurch
191,386433,386433,PROP,GPE,Leicestershire
193,402157,402157,PROP,GPE,Soho
194,403035,403035,PROP,GPE,Piccadilly
