COREF,start_token,end_token,prop,cat,text
4,8323,8323,PROP,GPE,Westminster
5,8325,8325,PROP,GPE,Eton
8,12940,12940,PROP,GPE,Surrey
12,25599,25599,PROP,GPE,Dorsetshire
16,28403,28403,PROP,GPE,Chelsea
17,30089,30089,PROP,GPE,dudgeon
19,39799,39799,PROP,GPE,London
21,52495,52495,PROP,GPE,Margate
24,75170,75170,PROP,GPE,England
25,75172,75172,PROP,GPE,Wales
28,75364,75364,PROP,GPE,Finchley
29,78541,78541,PROP,GPE,Africa
30,83121,83121,PROP,GPE,Demerara
31,95877,95877,PROP,GPE,China
32,95886,95886,PROP,GPE,Canterbury
35,117621,117621,PROP,GPE,Esquire
37,118628,118628,PROP,GPE,Houndsditch
39,123454,123454,PROP,GPE,Whitechapel
42,132165,132165,PROP,GPE,North
44,136335,136335,PROP,GPE,Brassâ€™s
45,143365,143365,PROP,GPE,Thigsberry
47,145323,145323,PROP,GPE,Paradise
51,173774,173774,PROP,GPE,Soho
52,174952,174952,PROP,GPE,Grinidge
95,176814,176814,PROP,GPE,Halloa
54,177994,177994,PROP,GPE,Highgate
55,178728,178729,PROP,GPE,Great Britain
137,200579,200579,PROP,GPE,Witherden
59,200725,200726,PROP,GPE,Peckham Rye
63,227119,227119,PROP,GPE,Damascus
64,227121,227122,PROP,GPE,Grand Cairo
65,240435,240435,PROP,GPE,Cheselbourne
68,265030,265030,PROP,GPE,Hampstead
69,265690,265690,PROP,GPE,Paris
