COREF,start_token,end_token,prop,cat,text
1,3400,3400,PROP,GPE,Z.
2,4743,4743,PROP,GPE,England
3,10678,10678,PROP,GPE,Birmingham
4,19748,19748,PROP,GPE,Bridewell
6,23641,23641,PROP,GPE,LONDON
7,24823,24823,PROP,GPE,Barnet
8,26390,26390,PROP,GPE,Islington
18,31142,31142,PROP,GPE,Clerkenwell
20,33235,33235,PROP,GPE,Newgate
21,36334,36334,PROP,GPE,Pentonville
22,42771,42771,PROP,GPE,Ratcliffe
24,47674,47674,PROP,GPE,Jamaica
26,52691,52691,PROP,GPE,Smithfield
28,58004,58004,PROP,GPE,Clerkinwell
218,59071,59071,PROP,GPE,Heaven
31,64886,64886,PROP,GPE,Whitechapel
34,65844,65844,PROP,GPE,Chertsey
205,67093,67093,PROP,GPE,Ned
38,73421,73421,PROP,GPE,Shoreditch
47,73862,73862,PROP,GPE,Holborn
50,73981,73981,PROP,GPE,Kensington
51,74035,74035,PROP,GPE,Isleworth
52,74207,74207,PROP,GPE,Hammersmith
53,74209,74209,PROP,GPE,Chiswick
55,74214,74214,PROP,GPE,Brentford
57,74922,74922,PROP,GPE,Halliford
58,74929,74929,PROP,GPE,Shepperton
60,75497,75497,PROP,GPE,Sunbury
68,108778,108778,PROP,GPE,Edmonton
69,109006,109006,PROP,GPE,Battlebridge
70,111010,111010,PROP,GPE,Kingston
72,112158,112158,PROP,GPE,Stop
73,143850,143850,PROP,GPE,Spitalfields
80,153341,153341,PROP,GPE,Cod
83,156971,156972,PROP,GPE,Camden Town
88,163185,163185,PROP,GPE,Nowhere
76,173061,173062,PROP,GPE,London Bridge
95,175251,175251,PROP,GPE,Highgate
96,175260,175260,PROP,GPE,Whittington
101,175340,175340,PROP,GPE,Hampstead
103,175471,175471,PROP,GPE,Hendon
104,175491,175491,PROP,GPE,Thither
106,175658,175658,PROP,GPE,Hatfield
107,177117,177118,PROP,GPE,St. Albans
108,178573,178573,PROP,GPE,France
223,178575,178575,PROP,GPE,Damme
110,181083,181083,PROP,GPE,Rome
111,181124,181124,PROP,GPE,Paris
113,183418,183418,PROP,GPE,Rotherhithe
114,183733,183733,PROP,GPE,Dockhead
120,187973,187975,PROP,GPE,pell - mell
121,191133,191133,PROP,GPE,Wales
122,193246,193246,PROP,GPE,Chester
