COREF,start_token,end_token,prop,cat,text
3,273,273,PROP,GPE,Hornsey
4,275,275,PROP,GPE,Highgate
5,277,277,PROP,GPE,Brixton
6,280,280,PROP,GPE,Camberwell
7,533,533,PROP,GPE,London
8,764,764,PROP,GPE,Hampstead
9,1728,1728,PROP,GPE,Aldgate
11,2471,2476,PROP,GPE,St. Martinâ€™s - le - Grand
12,2777,2777,PROP,GPE,Pentonwil
13,4375,4375,PROP,GPE,Rochester
14,4727,4727,PROP,GPE,Whitehall
15,5255,5255,PROP,GPE,Spain
16,5362,5362,PROP,GPE,England
19,6247,6247,PROP,GPE,Stroud
20,6251,6251,PROP,GPE,Chatham
21,6254,6254,PROP,GPE,Brompton
22,6862,6862,PROP,GPE,Kent
23,8282,8282,PROP,GPE,Providence
29,16276,16276,PROP,GPE,Surrey
33,31210,31211,PROP,GPE,Dingley Dell
38,38122,38123,PROP,GPE,MUGGLETON DINED
39,40770,40770,PROP,GPE,Muggleton
40,42004,42004,PROP,GPE,Muggleton--
43,52100,52100,PROP,GPE,Damp
47,55577,55577,PROP,GPE,Borough
50,57009,57009,PROP,GPE,Dorking
52,57620,57620,PROP,GPE,Canterbury
53,62605,62605,PROP,GPE,Cobham
397,69864,69864,PROP,GPE,Eatanswill
58,71191,71191,PROP,GPE,La
67,83905,83905,PROP,GPE,Bristol
65,84065,84065,PROP,GPE,Bilson
69,84067,84067,PROP,GPE,Slum
71,84072,84072,PROP,GPE,City
72,90716,90716,PROP,GPE,France
73,95392,95392,PROP,GPE,England--
74,95394,95394,PROP,GPE,Smorltork
75,97214,97214,PROP,GPE,Bury
82,115178,115178,PROP,GPE,Cornhill
83,116733,116733,PROP,GPE,Scotland
84,119840,119840,PROP,GPE,Tyburn
85,123121,123125,PROP,GPE,HIS LONG - LOST PARENT
88,123201,123201,PROP,GPE,Westminster
89,123287,123287,PROP,GPE,Fogg
90,124863,124863,PROP,GPE,Bardell
93,128295,128295,PROP,GPE,Ipswich
94,128367,128367,PROP,GPE,Chelmsford
256,128601,128601,PROP,GPE,Jingle
96,128686,128686,PROP,GPE,Whitechapel
103,134488,134488,PROP,GPE,Newgate
105,139473,139474,PROP,GPE,Camden Town
110,149638,149638,PROP,GPE,Turkey
113,165482,165483,PROP,GPE,Sierra Leone
114,165486,165487,PROP,GPE,Saugur Point
536,177053,177053,PROP,GPE,Granby
78,190026,190026,PROP,GPE,Hollands
132,201771,201771,PROP,GPE,Merriker
133,202896,202896,PROP,GPE,Chancery
134,203868,203868,PROP,GPE,Lincoln
137,209129,209129,PROP,GPE,Southwark
45,213461,213462,PROP,GPE,London Bridge
142,214302,214302,PROP,GPE,Wultur
145,217594,217594,PROP,GPE,Suffolk
149,226654,226654,PROP,GPE,Garraways
151,230780,230780,PROP,GPE,July
152,233780,233780,PROP,GPE,BATH
418,237204,237204,PROP,GPE,Esquire
630,237208,237208,PROP,GPE,Bantam
158,237221,237223,PROP,GPE,Ba -- ath
159,237541,237542,PROP,GPE,Clapham Green
163,242522,242522,PROP,GPE,Athens
164,242875,242875,PROP,GPE,Britain
165,254000,254000,PROP,GPE,Clifton
168,261443,261443,PROP,GPE,Arternoon
169,268650,268652,PROP,GPE,New South Wales
177,276315,276315,PROP,GPE,consekens
178,277079,277079,PROP,GPE,regâ€™lar
185,288047,288047,PROP,GPE,Houndsditch
497,289053,289053,PROP,GPE,Vell
190,295518,295518,PROP,GPE,Kensington
191,295658,295658,PROP,GPE,Roast
193,301537,301541,PROP,GPE,THE DIMINUTIVE WORLD HE INHABITS
447,313134,313134,PROP,GPE,Dodson
197,314883,314883,PROP,GPE,Holborn
202,319735,319735,PROP,GPE,Birmingham
297,321177,321177,PROP,GPE,Arabella
205,327920,327920,PROP,GPE,Edinburgh
206,327925,327925,PROP,GPE,Glasgow
210,334479,334479,PROP,GPE,Filletoville
213,339549,339549,PROP,GPE,Tewkesbury
214,343858,343858,PROP,GPE,Coventry
216,344556,344556,PROP,GPE,Dunchurch
217,344626,344626,PROP,GPE,Towcester
218,346653,346653,PROP,GPE,China
225,357716,357716,PROP,GPE,Demerara
226,357757,357757,PROP,GPE,Liverpool
227,359134,359134,PROP,GPE,America
232,376399,376399,PROP,GPE,Wulter
234,382976,382976,PROP,GPE,Dulwich
724,385014,385014,PROP,GPE,Richmond
237,385084,385084,PROP,GPE,Bengal
