COREF;start_token;end_token;prop;cat;text
186;2;2;PROP;PER;Dombey
187;4;5;PROP;PER;Son Dombey
680;11;13;NOM;FAC;the darkened room
187;25;25;PROP;PER;Son
187;55;55;PRON;PER;his
187;71;71;PRON;PER;him
187;74;74;PRON;PER;he
186;79;79;PROP;PER;Dombey
187;91;91;PROP;PER;Son
186;100;100;PROP;PER;Dombey
681;110;115;NOM;PER;a handsome well - made man
187;128;128;PROP;PER;Son
682;143;146;NOM;PER;an undeniably fine infant
187;153;153;PRON;PER;his
186;164;164;PROP;PER;Dombey
188;166;166;PROP;PER;Time
187;168;168;PRON;PER;his
683;168;169;NOM;PER;his brother
189;170;170;PROP;PER;Care
684;191;191;PRON;PER;they
684;196;196;PRON;PER;their
685;196;198;NOM;LOC;their human forests
684;202;202;PRON;PER;they
187;209;209;PROP;PER;Son
187;237;237;PRON;PER;his
187;247;247;PRON;PER;his
186;251;251;PROP;PER;Dombey
187;276;276;PRON;PER;his
187;295;295;PROP;PER;Son
187;298;298;PRON;PER;his
187;309;309;PRON;PER;his
187;322;322;PRON;PER;him
9728;327;328;NOM;FAC;The House
186;333;334;PROP;PER;Mrs Dombey
190;338;339;PROP;PER;Mr Dombey
186;350;350;PROP;PER;Dombey
187;352;352;PROP;PER;Son
190;356;356;PRON;PER;he
190;367;367;PRON;PER;his
190;374;374;PRON;PER;he
191;395;397;PROP;PER;Dom - bey
187;399;399;PROP;PER;Son
190;411;411;PRON;PER;he
186;418;419;PROP;PER;Mrs Dombey
686;431;440;NOM;PER;a man but little used to that form of address
186;446;447;PROP;PER;Mrs Dombey
190;449;449;PRON;PER;my
190;451;451;PRON;PER;my
9729;451;452;NOM;PER;my dear
687;462;464;NOM;PER;the sick lady
687;468;468;PRON;PER;she
687;470;470;PRON;PER;her
190;473;473;PRON;PER;him
190;476;476;PRON;PER;He
192;480;480;PROP;PER;Paul
687;482;482;PRON;PER;my
186;484;485;PROP;PER;Mrs Dombey
687;491;491;PRON;PER;She
687;508;508;PRON;PER;her
687;513;513;PRON;PER;her
190;518;518;PRON;PER;His
9730;518;519;NOM;PER;His father
186;523;524;PROP;PER;Mrs Dombey
190;527;527;PRON;PER;his
9731;527;528;NOM;PER;his grandfather
190;531;531;PRON;PER;I
190;533;533;PRON;PER;his
9731;533;534;NOM;PER;his grandfather
193;549;549;PROP;PER;Junior
190;553;554;PROP;PER;Mr Dombey
190;561;561;PRON;PER;his
9728;584;585;NOM;PER;the House
190;596;596;PRON;PER;he
186;599;599;PROP;PER;Dombey
9734;601;601;NOM;PER;Son
190;620;621;PROP;PER;Mr Dombey
688;625;626;NOM;LOC;The earth
186;630;630;PROP;PER;Dombey
9734;632;632;NOM;PER;Son
690;646;646;PRON;PER;them
691;649;651;NOM;LOC;Rivers and seas
690;656;656;PRON;PER;their
692;656;657;NOM;VEH;their ships
690;661;661;PRON;PER;them
690;672;672;PRON;PER;their
690;680;680;PRON;PER;their
690;690;690;PRON;PER;they
190;701;701;PRON;PER;his
194;717;718;PROP;PER;Anno Domini
195;723;724;PROP;PER;anno Dombei
9734;727;727;NOM;PER;Son
190;729;729;PRON;PER;He
190;734;734;PRON;PER;his
9730;734;735;NOM;PER;his father
190;738;738;PRON;PER;him
