COREF;start_token;end_token;prop;cat;text
183;0;3;PROP;PER;The late Mr Waterton
183;11;11;PRON;PER;his
1;20;20;PROP;GPE;England
0;22;22;PRON;PER;I
0;29;29;PRON;PER;my
430;44;46;NOM;PER;two great originals
0;50;50;PRON;PER;I
431;57;59;NOM;PER;the proud possessor
183;68;68;PRON;PER;his
183;72;72;PRON;PER;he
432;76;80;NOM;FAC;a modest retirement in London
2;80;80;PROP;GPE;London
433;83;86;NOM;PER;a friend of mine
0;91;91;PRON;PER;me
183;93;93;PRON;PER;He
184;100;102;PROP;PER;Sir Hugh Evans
185;105;106;PROP;PER;Anne Page
183;114;114;PRON;PER;he
183;126;126;PRON;PER;He
434;129;130;NOM;FAC;a stable
183;143;143;PRON;PER;his
183;148;148;PRON;PER;he
183;158;158;PRON;PER;his
183;173;173;PRON;PER;his
183;176;176;PRON;PER;He
183;192;192;PRON;PER;his
435;192;193;NOM;FAC;his stable
183;198;198;PRON;PER;He
436;200;201;NOM;PER;the workmen
436;206;206;PRON;PER;they
436;221;221;PRON;PER;their
183;226;226;PRON;PER;he
436;230;230;PRON;PER;they
0;254;254;PRON;PER;I
183;259;259;PRON;PER;his
437;262;267;NOM;PER;another friend of mine in Yorkshire
0;265;265;PRON;PER;mine
3;267;267;PROP;GPE;Yorkshire
438;276;280;NOM;FAC;a village public - house
437;283;283;PRON;PER;he
439;286;287;NOM;PER;the landlord
0;299;299;PRON;PER;me
440;305;306;NOM;PER;this Sage
183;316;316;PRON;PER;his
441;316;317;NOM;PER;his predecessor
183;326;326;PRON;PER;he
442;330;331;NOM;FAC;the garden
183;343;343;PRON;PER;he
183;349;349;PRON;PER;his
183;353;353;PRON;PER;he
183;359;359;PRON;PER;he
183;361;361;PRON;PER;himself
183;371;371;PRON;PER;he
183;379;379;PRON;PER;he
0;383;383;PRON;PER;my
0;398;398;PRON;PER;I
183;401;401;PRON;PER;him
183;403;403;PRON;PER;his
183;407;407;PRON;PER;his
443;407;409;NOM;PER;his former master
183;411;411;PRON;PER;his
183;414;414;PRON;PER;him
183;419;419;PRON;PER;I
183;430;430;PRON;PER;I
183;437;437;PRON;PER;him
183;441;441;PRON;PER;I
7182;451;452;NOM;PER;sober people
183;457;457;PRON;PER;I
183;462;462;PRON;PER;him
183;476;476;PRON;PER;He
183;483;483;PRON;PER;I
183;490;490;PRON;PER;me
