COREF;start_token;end_token;prop;cat;text
0;1;1;PRON;PER;I
234;10;10;PRON;PER;I
2708;17;18;NOM;PER;these boys
2709;20;20;NOM;PER;girls
2710;42;42;PRON;PER;You
2708;63;63;PRON;PER;them
234;71;71;PRON;PER;I
234;74;74;PRON;PER;my
2711;74;76;NOM;PER;my own children
234;85;85;PRON;PER;I
2712;88;89;NOM;PER;these children
2713;95;95;NOM;PER;sir
232;101;112;NOM;FAC;a plain , bare , monotonous vault of a school - room
233;109;112;NOM;FAC;a school - room
234;115;116;NOM;PER;the speaker
234;121;121;PRON;PER;his
235;131;132;NOM;PER;the schoolmaster
234;141;142;NOM;PER;the speaker
234;152;152;PRON;PER;his
234;159;159;PRON;PER;his
237;165;167;NOM;LOC;two dark caves
234;179;180;NOM;PER;the speaker
234;199;200;NOM;PER;the speaker
234;218;219;NOM;PER;the speaker
234;229;229;PRON;PER;his
234;275;276;NOM;PER;The speaker
234;290;290;PRON;PER;his
234;297;297;PRON;PER;him
2714;323;323;PRON;PER;we
2713;329;329;NOM;PER;sir
234;336;337;NOM;PER;The speaker
235;340;341;NOM;PER;the schoolmaster
244;344;348;NOM;PER;the third grown person present
245;358;358;PRON;PER;their
70;393;397;PROP;PER;MURDERING THE INNOCENTS THOMAS GRADGRIND
2713;399;399;NOM;PER;sir
247;401;404;NOM;PER;A man of realities
248;406;411;NOM;PER;A man of facts and calculations
249;413;442;NOM;PER;A man who proceeds upon the principle that two and two are four , and nothing over , and who is not to be talked into allowing for anything over
70;444;445;PROP;PER;Thomas Gradgrind
2713;447;447;NOM;PER;sir
70;450;450;PROP;PER;Thomas
70;452;453;PROP;PER;Thomas Gradgrind
70;470;470;PRON;PER;his
2713;473;473;NOM;PER;sir
252;488;488;PRON;PER;you
252;509;509;PRON;PER;You
71;522;523;PROP;PER;George Gradgrind
72;526;527;PROP;PER;Augustus Gradgrind
73;530;531;PROP;PER;John Gradgrind
74;534;535;PROP;PER;Joseph Gradgrind
253;537;543;NOM;PER;all supposititious , non - existent persons
70;551;552;PROP;PER;Thomas Gradgrind
2713;556;556;NOM;PER;sir
75;561;562;PROP;PER;Mr. Gradgrind
75;566;566;PRON;PER;himself
75;570;570;PRON;PER;his
255;578;579;NOM;PER;the public
2716;594;594;NOM;PER;boys
2709;596;596;NOM;PER;girls
2713;601;601;NOM;PER;sir
75;604;605;PROP;PER;Thomas Gradgrind
75;608;609;PROP;PER;Thomas Gradgrind
256;611;615;NOM;PER;the little pitchers before him
75;615;615;PRON;PER;him
257;617;625;NOM;PER;who were to be filled so full of facts
75;630;630;PRON;PER;he
257;634;634;PRON;PER;them
75;641;641;PRON;PER;he
75;670;670;PRON;PER;He
2719;697;699;NOM;PER;Girl number twenty
75;703;704;PROP;PER;Mr. Gradgrind
75;709;709;PRON;PER;his
75;714;714;PRON;PER;I
2720;718;719;NOM;PER;that girl
2720;723;724;NOM;PER;that girl
76;728;729;PROP;PER;Sissy Jupe
2713;731;731;NOM;PER;sir
258;735;736;NOM;PER;number twenty
76;747;747;PROP;PER;Sissy
75;755;756;PROP;PER;Mr. Gradgrind
76;762;762;PRON;PER;yourself
76;763;763;PROP;PER;Sissy
76;766;766;PRON;PER;yourself
76;767;767;PROP;PER;Cecilia
2723;773;773;NOM;PER;father
259;776;776;PRON;PER;me
76;777;777;PROP;PER;Sissy
2713;779;779;NOM;PER;sir
259;783;785;NOM;PER;the young girl
2723;798;798;PRON;PER;he
75;808;809;PROP;PER;Mr. Gradgrind
2723;813;813;PRON;PER;him
2723;814;814;PRON;PER;he
76;818;819;PROP;PER;Cecilia Jupe
75;822;822;PRON;PER;me
76;827;827;PRON;PER;your
2725;827;828;NOM;PER;your father
2723;832;832;PRON;PER;He
2713;841;841;PRON;PER;you
2713;844;844;NOM;PER;sir
75;847;848;PROP;PER;Mr. Gradgrind
75;858;858;PRON;PER;his
2727;862;862;PRON;PER;We
2713;874;874;PRON;PER;You
2727;878;878;PRON;PER;us
76;884;884;PRON;PER;Your
2725;884;885;NOM;PER;Your father
2725;891;891;PRON;PER;he
2713;896;896;PRON;PER;you
2713;899;899;NOM;PER;sir
2730;902;902;PRON;PER;they
2730;909;909;PRON;PER;they
2713;917;917;NOM;PER;sir
2713;921;921;PRON;PER;You
2727;925;925;PRON;PER;us
76;938;938;PRON;PER;your
2725;938;939;NOM;PER;your father
2733;941;942;NOM;PER;a horsebreaker
2725;944;944;PRON;PER;He
75;949;949;PRON;PER;I
2713;958;958;NOM;PER;sir
2725;967;967;PRON;PER;He
2735;969;971;NOM;PER;a veterinary surgeon
2736;973;974;NOM;PER;a farrier
2737;977;977;NOM;PER;horsebreaker
75;980;980;PRON;PER;me
2713;981;981;PRON;PER;your
76;989;990;PROP;PER;Sissy Jupe
75;1013;1014;PROP;PER;Mr. Gradgrind
260;1021;1024;NOM;PER;all the little pitchers
2719;1027;1029;NOM;PER;Girl number twenty
2739;1045;1046;NOM;PER;Some boy
77;1053;1053;PROP;PER;Bitzer
2713;1055;1055;PRON;PER;yours
77;1070;1070;PROP;PER;Bitzer
77;1074;1074;PRON;PER;he
261;1095;1100;NOM;FAC;the intensely white - washed room
76;1103;1103;PROP;PER;Sissy
262;1107;1108;NOM;PER;the boys
2709;1110;1110;NOM;PER;girls
76;1134;1134;PROP;PER;Sissy
77;1159;1159;PROP;PER;Bitzer
264;1166;1171;NOM;LOC;a row on the other side
265;1186;1187;NOM;PER;the girl
265;1199;1199;PRON;PER;she
265;1217;1217;PRON;PER;her
266;1219;1220;NOM;PER;the boy
266;1241;1241;PRON;PER;him
266;1245;1245;PRON;PER;he
266;1249;1249;PRON;PER;His
267;1277;1277;PRON;PER;themselves
267;1280;1280;PRON;PER;their
266;1283;1283;PRON;PER;His
266;1299;1299;PRON;PER;his
266;1304;1304;PRON;PER;His
266;1316;1316;PRON;PER;he
266;1322;1322;PRON;PER;he
266;1326;1326;PRON;PER;he
77;1332;1332;PROP;PER;Bitzer
75;1336;1337;PROP;PER;Thomas Gradgrind
77;1340;1340;PRON;PER;Your
2740;1377;1378;NOM;LOC;marshy countries
2741;1380;1381;NOM;FAC;sheds hoofs
77;1410;1410;PROP;PER;Bitzer
2742;1414;1414;NOM;PER;girl
75;1420;1421;PROP;PER;Mr. Gradgrind
77;1424;1424;PRON;PER;You
268;1432;1432;PRON;PER;She
268;1443;1443;PRON;PER;she
268;1449;1449;PRON;PER;she
77;1456;1456;PROP;PER;Bitzer
75;1462;1463;PROP;PER;Thomas Gradgrind
266;1476;1476;PRON;PER;his
266;1492;1492;PRON;PER;his
266;1495;1495;PRON;PER;his
269;1504;1506;NOM;PER;The third gentleman
270;1511;1517;NOM;PER;A mighty man at cutting and drying
269;1519;1519;PRON;PER;he
271;1522;1524;NOM;PER;a government officer
269;1527;1527;PRON;PER;his
272;1532;1534;NOM;PER;most other people
273;1539;1541;NOM;PER;a professed pugilist
269;1570;1570;PRON;PER;his
274;1570;1574;NOM;FAC;his little Public - office
1;1580;1580;PROP;GPE;England
269;1588;1588;PRON;PER;he
269;1607;1607;PRON;PER;himself
275;1608;1610;NOM;PER;an ugly customer
269;1612;1612;PRON;PER;He
269;1622;1622;PRON;PER;his
269;1628;1628;PRON;PER;his
269;1638;1638;PRON;PER;his
276;1638;1639;NOM;PER;his opponent
269;1641;1641;PRON;PER;he
1;1645;1645;PROP;GPE;England
276;1654;1654;PRON;PER;him
269;1657;1657;PRON;PER;He
277;1671;1673;NOM;PER;that unlucky adversary
269;1682;1682;PRON;PER;he
278;1701;1701;NOM;PER;Commissioners
279;1705;1705;NOM;LOC;earth
280;1713;1714;NOM;PER;this gentleman
280;1721;1721;PRON;PER;his
280;1733;1733;PRON;PER;me
282;1735;1735;PRON;PER;you
2709;1736;1736;NOM;PER;girls
2716;1738;1738;NOM;PER;boys
282;1741;1741;PRON;PER;you
2745;1743;1748;NOM;FAC;a room with representations of horses
281;1755;1759;NOM;PER;one half of the children
282;1758;1759;NOM;PER;the children
2713;1767;1767;NOM;PER;sir
283;1772;1774;NOM;PER;the other half
284;1778;1779;NOM;PER;the gentleman
2747;1795;1795;NOM;PER;sir!â€™â€”as
280;1813;1813;PRON;PER;you
2748;1819;1822;NOM;PER;One corpulent slow boy
2748;1836;1836;PRON;PER;he
2749;1840;1841;NOM;FAC;a room
280;1851;1851;PRON;PER;You
284;1860;1861;NOM;PER;the gentleman
280;1867;1867;PRON;PER;You
75;1874;1875;PROP;PER;Thomas Gradgrind
280;1879;1879;PRON;PER;you
285;1889;1889;PRON;PER;us
280;1891;1891;PRON;PER;you
280;1899;1899;PRON;PER;you
286;1902;1902;NOM;PER;boy
0;1906;1906;PRON;PER;I
280;1910;1910;PRON;PER;you
284;1916;1917;NOM;PER;the gentleman
280;1928;1928;PRON;PER;you
2745;1932;1937;NOM;FAC;a room with representations of horses
280;1940;1940;PRON;PER;you
288;1951;1951;NOM;FAC;rooms
280;1959;1959;PRON;PER;you
2713;1965;1965;NOM;PER;sir
2752;1969;1970;NOM;PER;one half
2713;1975;1975;NOM;PER;sir
284;1989;1990;NOM;PER;the gentleman
2754;1997;1999;NOM;PER;the wrong half
280;2006;2006;PRON;PER;you
280;2014;2014;PRON;PER;you
280;2021;2021;PRON;PER;you
280;2029;2029;PRON;PER;you
75;2049;2050;PROP;PER;Thomas Gradgrind
75;2052;2052;PRON;PER;his
284;2071;2072;NOM;PER;the gentleman
0;2077;2077;PRON;PER;I
280;2080;2080;PRON;PER;you
280;2084;2084;PRON;PER;you
2749;2089;2090;NOM;FAC;a room
280;2093;2093;PRON;PER;you
2713;2118;2118;NOM;PER;sir
280;2127;2128;NOM;PER;this gentleman
2757;2138;2142;NOM;PER;Only a few feeble stragglers
2757;2147;2147;PRON;PER;them
76;2148;2149;PROP;PER;Sissy Jupe
2742;2152;2152;NOM;PER;Girl
284;2158;2159;NOM;PER;the gentleman
76;2169;2169;PROP;PER;Sissy
280;2178;2178;PRON;PER;you
280;2181;2181;PRON;PER;your
294;2181;2182;NOM;FAC;your room
280;2185;2185;PRON;PER;your
295;2185;2186;NOM;PER;your husband
296;2185;2188;NOM;FAC;your husband â€™s room
280;2191;2191;PRON;PER;you
297;2193;2195;NOM;PER;a grown woman
298;2199;2200;NOM;PER;a husband
280;2208;2208;PRON;PER;you
284;2212;2213;NOM;PER;the gentleman
280;2218;2218;PRON;PER;you
2713;2223;2223;PRON;PER;you
2713;2226;2226;NOM;PER;sir
0;2228;2228;PRON;PER;I
265;2237;2238;NOM;PER;the girl
2713;2245;2245;PRON;PER;you
300;2256;2256;NOM;PER;people
301;2259;2259;PRON;PER;them
301;2270;2270;PRON;PER;them
2713;2272;2272;NOM;PER;sir
301;2274;2274;PRON;PER;They
2713;2282;2282;PRON;PER;you
2713;2285;2285;NOM;PER;sir
301;2287;2287;PRON;PER;They
0;2301;2301;PRON;PER;I
2713;2314;2314;PRON;PER;you
284;2321;2322;NOM;PER;the gentleman
284;2331;2331;PRON;PER;his
2713;2339;2339;PRON;PER;You
2713;2347;2347;PRON;PER;You
76;2351;2352;PROP;PER;Cecilia Jupe
75;2355;2356;PROP;PER;Thomas Gradgrind
284;2378;2379;NOM;PER;the gentleman
75;2391;2392;PROP;PER;Thomas Gradgrind
2713;2395;2395;PRON;PER;You
284;2408;2409;NOM;PER;the gentleman
