COREF;start_token;end_token;prop;cat;text
0;5;5;PRON;PER;I
0;21;21;PRON;PER;I
0;30;30;PRON;PER;I
741;44;44;PRON;PER;themselves
0;63;63;PRON;PER;I
742;67;67;PRON;PER;its
743;75;76;NOM;PER;anyone else
742;80;80;PRON;PER;them
0;111;111;PRON;PER;I
272;122;123;PROP;PER;the Barnacles
0;129;129;PRON;PER;I
744;138;139;NOM;PER;an Englishman
0;149;149;PRON;PER;my
1;173;173;PROP;GPE;Chelsea
0;176;176;PRON;PER;I
273;188;189;PROP;PER;Mr Merdle
0;191;191;PRON;PER;I
745;208;211;NOM;FAC;a certain Irish bank
746;210;211;NOM;ORG;Irish bank
747;215;221;NOM;ORG;one or two other equally laudable enterprises
0;224;224;PRON;PER;I
748;278;284;NOM;PER;late Directors of a Royal British Bank
749;281;283;NOM;GPE;a Royal British
2;284;284;PROP;ORG;Bank
0;288;288;PRON;PER;I
0;290;290;PRON;PER;myself
750;325;326;NOM;LOC;this land
751;328;331;NOM;PER;Some of my readers
0;330;330;PRON;PER;my
752;330;331;NOM;PER;my readers
753;345;347;NOM;FAC;the Marshalsea Prison
0;352;352;PRON;PER;I
0;357;357;PRON;PER;myself
0;368;368;PRON;PER;I
0;373;373;PRON;PER;I
754;375;378;NOM;FAC;the outer front courtyard
755;386;388;NOM;FAC;a butter shop
0;391;391;PRON;PER;I
756;399;400;NOM;FAC;the jail
9674;409;414;NOM;FAC;a certain adjacent â€˜ Angel Court
3;418;418;PROP;GPE;Bermondsey
0;421;421;PRON;PER;I
4;425;426;PROP;FAC;Marshalsea Place
757;429;434;NOM;FAC;the houses in which I recognised
0;433;433;PRON;PER;I
758;439;445;NOM;FAC;the great block of the former prison
759;443;445;NOM;FAC;the former prison
760;450;465;NOM;FAC;the rooms that arose in my mindâ€™s - eye when I became Little Dorrit â€™s biographer
0;455;455;PRON;PER;my
0;460;460;PRON;PER;I
274;462;463;PROP;PER;Little Dorrit
761;467;473;NOM;PER;The smallest boy I ever conversed with
0;470;470;PRON;PER;I
762;476;481;NOM;PER;the largest baby I ever saw
0;479;479;PRON;PER;I
763;492;492;PRON;FAC;its
764;503;505;NOM;PER;this young Newton
0;509;509;PRON;PER;I
764;511;511;PRON;PER;him
764;517;517;PRON;PER;his
0;520;520;PRON;PER;I
764;525;525;PRON;PER;he
764;540;540;PRON;PER;himself
0;542;542;PRON;PER;I
765;548;554;NOM;FAC;the room where Little Dorrit was born
274;551;552;PROP;PER;Little Dorrit
274;558;558;PRON;PER;her
766;558;559;NOM;PER;her father
764;566;566;PRON;PER;him
767;572;579;NOM;PER;the lodger who tenanted that apartment at present
768;576;577;NOM;FAC;that apartment
764;581;581;PRON;PER;He
275;585;586;PROP;PER;Tom Pythick
0;589;589;PRON;PER;I
764;591;591;PRON;PER;him
275;594;595;PROP;PER;Tom Pythick
764;598;598;PRON;PER;he
276;602;603;PROP;PER;Joe Pythick
9675;602;605;NOM;PER;Joe Pythick â€™s uncle
0;613;613;PRON;PER;I
769;625;630;NOM;FAC;the pent - up inner prison
770;632;632;NOM;PER;nobody
771;638;638;NOM;PER;ceremony
4;645;646;PROP;FAC;Marshalsea Place
5;651;652;PROP;FAC;Angel Court
3;656;656;PROP;GPE;Bermondsey
772;660;660;PRON;PER;his
773;669;672;NOM;FAC;the extinct Marshalsea jail
773;676;676;PRON;FAC;its
774;676;678;NOM;FAC;its narrow yard
775;701;702;NOM;FAC;the place
776;712;713;NOM;PER;the debtors
6;732;733;PROP;GPE;Bleak House
0;734;734;PRON;PER;I
0;737;737;PRON;PER;I
777;741;743;NOM;PER;so many readers
6;749;749;PRON;FAC;its
778;749;751;NOM;PER;its next successor
274;753;754;PROP;PER;Little Dorrit
0;756;756;PRON;PER;I
779;777;777;PRON;PER;us
0;779;779;PRON;PER;I
0;786;786;PRON;PER;I
779;792;792;PRON;PER;we
7;796;796;PROP;GPE;London
8;814;814;PROP;GPE;Marseilles
9;838;838;PROP;GPE;France
8;853;853;PROP;GPE;Marseilles
8;857;857;PROP;GPE;Marseilles
780;882;882;NOM;PER;Strangers
781;890;891;NOM;FAC;white houses
782;898;899;NOM;FAC;white streets
783;904;905;NOM;FAC;arid road
784;908;914;NOM;LOC;hills from which verdure was burnt away
785;963;968;NOM;LOC;the foul water within the harbour
786;967;968;NOM;FAC;the harbour
787;972;975;NOM;LOC;the beautiful sea without
788;994;996;NOM;LOC;the pure sea
788;1002;1002;PRON;LOC;it
789;1007;1009;NOM;LOC;the abominable pool
790;1017;1019;NOM;PER;Boats without awnings
791;1026;1026;NOM;VEH;ships
791;1029;1029;PRON;PER;their
792;1035;1036;NOM;FAC;the quays
10;1048;1048;PROP;GPE;Hindoos
793;1050;1050;NOM;PER;Russians
794;1052;1052;NOM;PER;Chinese
795;1054;1054;NOM;PER;Spaniards
796;1056;1056;NOM;PER;Portuguese
797;1058;1058;NOM;PER;Englishmen
798;1060;1060;NOM;PER;Frenchmen
799;1062;1062;NOM;PER;Genoese
11;1064;1064;PROP;GPE;Neapolitans
800;1066;1066;NOM;PER;Venetians
801;1068;1068;NOM;PER;Greeks
802;1070;1070;NOM;PER;Turks
803;1072;1078;NOM;PER;descendants from all the builders of Babel
804;1074;1078;NOM;PER;all the builders of Babel
12;1078;1078;PROP;GPE;Babel
8;1084;1084;PROP;GPE;Marseilles
805;1133;1138;NOM;LOC;the distant line of Italian coast
806;1137;1138;NOM;LOC;Italian coast
807;1159;1160;NOM;LOC;the sea
808;1170;1172;NOM;FAC;the staring roads
809;1180;1183;NOM;LOC;the hill - side
810;1187;1188;NOM;LOC;the hollow
811;1192;1194;NOM;LOC;the interminable plain
812;1202;1203;NOM;FAC;wayside cottages
813;1237;1237;NOM;VEH;carts
814;1247;1247;PRON;PER;their
815;1247;1249;NOM;PER;their recumbent drivers
815;1252;1252;PRON;PER;they
816;1262;1267;NOM;PER;the exhausted labourers in the fields
817;1266;1267;NOM;FAC;the fields
818;1282;1290;NOM;PER;the lizard , passing swiftly over rough stone walls
819;1293;1294;NOM;VEH;the cicala
819;1297;1297;PRON;PER;his
277;1346;1346;PROP;PER;Grant
277;1347;1347;PRON;VEH;it
820;1365;1366;NOM;FAC;The churches
821;1408;1410;NOM;LOC;a fiery river
822;1426;1426;NOM;PER;people
8;1458;1458;PROP;GPE;Marseilles
8;1478;1478;PROP;GPE;Marseilles
823;1483;1485;NOM;FAC;a villainous prison
823;1490;1490;PRON;FAC;its
824;1490;1491;NOM;FAC;its chambers
823;1508;1508;PRON;FAC;it
825;1523;1524;NOM;PER;two men
826;1527;1529;NOM;PER;the two men
827;1586;1587;NOM;FAC;the chamber
826;1605;1607;NOM;PER;the two men
829;1644;1646;NOM;FAC;the grating gave
823;1663;1663;PRON;FAC;it
823;1679;1679;PRON;FAC;it
830;1681;1685;NOM;PER;one of the two men
826;1683;1685;NOM;PER;the two men
830;1695;1695;PRON;PER;his
830;1701;1701;PRON;PER;his
830;1723;1723;PRON;PER;his
830;1725;1725;PRON;PER;his
830;1734;1734;PRON;PER;he
830;1740;1740;PRON;PER;his
832;1760;1762;NOM;PER;the imprisoned damps
833;1764;1766;NOM;PER;the imprisoned men
834;1775;1777;NOM;PER;the captive men
835;1814;1815;NOM;FAC;a vault
836;1818;1819;NOM;FAC;a tomb
837;1821;1822;NOM;FAC;the prison
837;1835;1835;PRON;FAC;its
838;1840;1848;NOM;LOC;one of the spice islands of the Indian ocean
839;1842;1848;NOM;LOC;the spice islands of the Indian ocean
840;1846;1848;NOM;LOC;the Indian ocean
841;1850;1859;NOM;PER;The man who lay on the ledge of the grating
841;1864;1864;PRON;PER;He
841;1866;1866;PRON;PER;his
