COREF;start_token;end_token;prop;cat;text
1;35;35;PROP;GPE;England
80;63;79;NOM;PER;Many a wild flower formed by the Almighty Hand to be a perfumed goblet for the dew
81;115;116;NOM;PER;dying men
82;143;144;NOM;LOC;The stream
83;148;150;NOM;LOC;The trodden ground
84;189;189;PRON;PER;us
85;200;201;NOM;FAC;that field
86;212;215;NOM;LOC;distant rising - ground
87;226;226;PRON;PER;she
88;234;235;NOM;LOC;the plain
89;245;245;NOM;PER;mothers
89;249;249;NOM;PER;mothers
84;259;259;PRON;PER;us
91;320;321;NOM;LOC;the earth
92;360;360;NOM;PER;men
87;364;364;PRON;PER;Her
87;376;376;PRON;PER;she
93;434;436;NOM;GPE;the nestling town
92;485;485;NOM;PER;men
95;491;491;NOM;PER;gleaners
96;493;493;NOM;PER;haymakers
97;504;504;NOM;PER;oxen
98;507;507;NOM;PER;boys
99;513;513;NOM;FAC;fields
100;532;533;NOM;PER;old people
101;542;543;NOM;FAC;the field
92;558;558;PRON;PER;their
102;574;576;NOM;PER;thousands upon thousands
103;599;599;NOM;PER;people
103;607;607;PRON;PER;they
92;624;624;NOM;PER;men
105;636;641;NOM;PER;The husbandmen who ploughed those places
106;640;641;NOM;LOC;those places
105;654;654;PRON;PER;they
107;675;676;NOM;PER;no one
108;721;724;NOM;LOC;the battle - ground
109;760;763;NOM;PER;no village - girl
109;766;766;PRON;PER;her
110;775;778;NOM;LOC;that field of death
103;817;817;PRON;PER;their
111;858;860;NOM;PER;the neighbouring people
111;863;863;PRON;PER;their
103;867;867;PRON;PER;they
112;870;871;NOM;PER;old wives
113;902;902;NOM;FAC;gardens
114;906;906;NOM;FAC;houses
115;911;911;NOM;PER;children
116;935;938;NOM;LOC;The deep green patches
117;947;952;NOM;PER;those who lay in dust below
118;983;986;NOM;PER;those who found them
119;991;994;NOM;PER;An old dinted corslet
120;1004;1005;NOM;FAC;the church
121;1010;1029;NOM;PER;the same weak half - blind old man who tried in vain to make them out above the whitewashed arch
122;1034;1034;PRON;PER;them
123;1036;1037;NOM;PER;a baby
124;1040;1041;NOM;PER;the host
101;1044;1045;NOM;LOC;the field
124;1059;1059;PRON;PER;they
124;1071;1071;PRON;PER;his
126;1075;1078;NOM;PER;gashed and ghastly soldiers
127;1098;1102;NOM;FAC;the hearths of quiet homes
128;1101;1102;NOM;FAC;quiet homes
129;1108;1114;NOM;FAC;the garnered store of barns and granaries
130;1112;1112;NOM;FAC;barns
131;1122;1124;NOM;PER;the cradled infant
132;1126;1127;NOM;PER;its nurse
133;1141;1142;NOM;FAC;the mill
134;1146;1147;NOM;FAC;the orchard
135;1151;1152;NOM;LOC;the meadow
81;1160;1161;NOM;PER;dying men
