COREF;start_token;end_token;prop;cat;text
81;3;8;NOM;PER;THE HAUNTED MAN AND THE GHOST
82;16;16;NOM;PER;Everybody
0;24;24;PRON;PER;me
82;29;29;NOM;PER;everybody
82;35;35;NOM;PER;Everybody
82;53;53;NOM;PER;everybody
82;88;88;NOM;PER;Everybody
19;108;109;PROP;PER;Giles Scroggins
20;119;119;PROP;PER;GHOST
0;122;122;PRON;PER;me
82;124;124;NOM;PER;Everybody
82;126;126;PRON;PER;he
88;129;131;NOM;PER;a haunted man
0;136;136;PRON;PER;my
82;140;140;NOM;PER;everybody
82;144;144;PRON;PER;they
82;150;150;PRON;PER;He
82;157;157;PRON;PER;his
82;161;161;PRON;PER;his
82;166;166;PRON;PER;his
82;184;184;PRON;PER;his
82;196;196;PRON;PER;his
82;199;199;PRON;PER;he
82;204;204;PRON;PER;his
21;221;221;PROP;PER;humanity,â€”but
82;225;225;PRON;PER;he
88;228;230;NOM;PER;a haunted man
82;236;236;PRON;PER;his
82;277;277;PRON;PER;his
88;289;291;NOM;PER;a haunted man
82;297;297;PRON;PER;his
82;318;318;PRON;PER;he
82;322;322;PRON;PER;himself
88;336;338;NOM;PER;a haunted man
93;340;348;NOM;PER;Who that had seen him in his inner chamber
82;344;344;PRON;PER;him
82;346;346;PRON;PER;his
94;346;348;NOM;FAC;his inner chamber
95;350;351;NOM;FAC;part library
82;355;355;PRON;PER;he
96;359;360;NOM;LOC;the world
97;367;371;NOM;PER;a learned man in chemistry
98;374;387;NOM;PER;a teacher on whose lips and hands a crowd of aspiring ears and eyes
82;393;393;PRON;PER;him
99;394;394;NOM;FAC;there
82;405;405;PRON;PER;his
82;415;415;PRON;PER;his
100;427;439;NOM;PER;a crowd of spectral shapes raised there by the flickering of the fire
82;445;445;PRON;PER;him
82;469;469;PRON;PER;his
82;489;489;PRON;PER;him
82;492;492;PRON;PER;his
82;497;497;PRON;PER;he
82;500;500;PRON;PER;his
82;511;511;PRON;PER;his
101;530;531;NOM;PER;the man
102;535;536;NOM;FAC;the chamber
82;556;556;PRON;PER;him
82;564;564;PRON;PER;he
103;567;568;NOM;LOC;haunted ground
82;570;570;PRON;PER;His
104;570;571;NOM;FAC;His dwelling
105;584;588;NOM;FAC;an ancient endowment for students
106;588;588;NOM;PER;students
107;591;593;NOM;FAC;a brave edifice
108;607;608;NOM;PER;forgotten architects
109;628;630;NOM;GPE;the great city
104;645;645;PRON;FAC;its
110;645;647;NOM;FAC;its small quadrangles
111;656;659;NOM;FAC;the streets and buildings
104;672;672;PRON;FAC;its
104;677;677;PRON;FAC;its
104;704;704;PRON;FAC;its
104;726;726;PRON;FAC;its
112;753;755;NOM;LOC;the upper world
104;763;763;PRON;FAC;its
113;768;773;NOM;FAC;a little bricked - up corner
82;833;833;PRON;PER;His
104;833;834;NOM;FAC;His dwelling
104;837;837;PRON;FAC;its
82;846;846;PRON;PER;his
115;846;847;NOM;FAC;his fireside
104;863;863;PRON;FAC;its
104;875;875;PRON;FAC;its
116;897;898;NOM;GPE;the town
117;933;936;NOM;FAC;the many low passages
118;938;939;NOM;FAC;empty rooms
119;954;960;NOM;FAC;the forgotten Crypt where the Norman arches
120;966;967;NOM;LOC;the earth
121;969;969;PRON;PER;You
82;973;973;PRON;PER;him
82;975;975;PRON;PER;his
104;975;976;NOM;FAC;his dwelling
123;1029;1032;NOM;PER;sitters by the fire
124;1045;1047;NOM;PER;ambuscades and armies
125;1054;1057;NOM;PER;people in the streets
126;1056;1057;NOM;FAC;the streets
125;1060;1060;PRON;PER;their
127;1069;1075;NOM;PER;those who were obliged to meet it
127;1094;1094;PRON;PER;their
128;1119;1120;NOM;FAC;private houses
129;1135;1136;NOM;FAC;the busy
130;1138;1140;NOM;FAC;the quiet streets
