COREF;start_token;end_token;prop;cat;text
767;4;6;NOM;FAC;THE PICKWICK CLUB
239;9;10;PROP;PER;THE PICKWICKIANS
240;39;41;PROP;PER;the immortal Pickwick
1;61;63;PROP;ORG;the Pickwick Club
768;66;70;NOM;PER;the editor of these papers
768;78;78;PRON;PER;his
769;78;79;NOM;PER;his readers
768;98;98;PRON;PER;his
768;106;106;PRON;PER;him
241;117;118;PROP;PER;Joseph Smiggers
9675;120;121;NOM;PER;Esq .
9676;125;127;NOM;PER;Perpetual Vice- President
1;130;131;PROP;ORG;Pickwick Club
770;144;145;NOM;PER;this Association
240;164;165;PROP;PER;Samuel Pickwick
1;176;177;PROP;ORG;Pickwick Club
771;188;189;NOM;FAC;Hampstead Ponds
770;203;204;NOM;PER;this Association
770;208;208;PRON;PER;its
240;214;215;PROP;PER;Samuel Pickwick
770;229;230;NOM;ORG;this Association
770;251;251;PRON;PER;they
240;264;265;PROP;PER;Samuel Pickwick
3;273;273;PROP;GPE;Hornsey
4;275;275;PROP;GPE;Highgate
5;277;277;PROP;GPE;Brixton
6;280;280;PROP;GPE;Camberwell
770;282;282;PRON;PER;they
9678;303;305;NOM;PER;that learned man
9678;313;313;PRON;PER;his
9678;321;321;PRON;PER;his
770;347;348;NOM;ORG;this Association
770;352;352;PRON;PER;its
774;360;367;NOM;PER;the aforesaid , Samuel Pickwick , Esq .
775;372;375;NOM;PER;three other Pickwickians hereinafter
776;380;397;NOM;ORG;a new branch of United Pickwickians , under the title of The Corresponding Society of the Pickwick Club
777;384;385;NOM;PER;United Pickwickians
778;391;397;NOM;ORG;The Corresponding Society of the Pickwick Club
770;411;412;NOM;ORG;this Association
778;416;422;NOM;ORG;the Corresponding Society of the Pickwick Club
240;430;431;PROP;PER;Samuel Pickwick
780;438;439;NOM;PER;Tracy Tupman
781;444;444;NOM;PER;M.P.C.
242;446;447;PROP;PER;Augustus Snodgrass
276;455;456;PROP;PER;Nathaniel Winkle
781;461;461;NOM;PER;M.P.C.
783;467;471;NOM;PER;appointed members of the same
784;475;475;PRON;PER;they
784;489;489;PRON;PER;their
784;495;495;PRON;PER;their
784;507;507;PRON;PER;their
785;518;519;NOM;GPE;local scenery
1;527;529;PROP;ORG;the Pickwick Club
7;533;533;PROP;GPE;London
770;537;538;NOM;ORG;this Association
9681;544;549;NOM;PER;every member of the Corresponding Society
9681;551;551;PRON;PER;his
9682;564;569;NOM;PER;the members of the said society
786;571;571;PRON;PER;their
786;578;578;PRON;PER;they
786;588;594;NOM;PER;the members of the aforesaid Corresponding Society
786;603;603;PRON;PER;their
786;610;610;PRON;PER;their
786;617;617;PRON;PER;their
770;625;626;NOM;PER;this Association
770;629;630;NOM;ORG;this Association
9683;655;657;NOM;PER;A casual observer
9684;660;661;NOM;PER;the secretary
9685;666;666;PRON;PER;we
9683;674;676;NOM;PER;a casual observer
9684;697;697;PRON;PER;his
9684;699;700;NOM;PER;the secretary
240;722;722;PROP;PER;Pickwick
240;735;735;PROP;PER;Pickwick
9688;752;764;NOM;PER;the man who had traced to their source the mighty ponds of Hampstead
9689;758;758;PRON;PER;their
9690;760;764;NOM;LOC;the mighty ponds of Hampstead
8;764;764;PROP;GPE;Hampstead
9688;772;772;PRON;PER;his
9691;786;791;NOM;PER;the one on a frosty day
240;835;835;PROP;PER;Pickwick
9688;839;839;PRON;PER;his
9692;839;840;NOM;PER;his followers
9693;842;844;NOM;PER;that illustrious man
9688;854;854;PRON;PER;he
9694;862;866;NOM;PER;the club himself had founded
9688;864;864;PRON;PER;himself
9695;872;873;NOM;PER;an artist
240;880;882;PROP;PER;The eloquent Pickwick
9688;890;890;PRON;PER;his
9688;902;902;PRON;PER;his
9688;906;906;PRON;PER;his
9689;918;918;PRON;PER;they
9696;920;928;NOM;PER;an ordinary man , might have passed without observation
240;934;934;PROP;PER;Pickwick
9689;936;936;PRON;PER;them
9697;939;939;PRON;PER;we
9698;953;977;NOM;PER;the men who had volunteered to share the perils of his travels , and who were destined to participate in the glories of his discoveries
9688;963;963;PRON;PER;his
9688;976;976;PRON;PER;his
240;980;980;PRON;PER;his
244;983;985;PROP;PER;Mr. Tracy Tupman
9699;987;1000;NOM;PER;the too susceptible Tupman , who to the wisdom and experience of maturer years
9700;1007;1008;NOM;PER;a boy
244;1059;1059;PROP;PER;Tupman
9701;1079;1082;NOM;PER;the soul of Tupman
244;1082;1082;PROP;PER;Tupman
240;1102;1102;PRON;PER;his
9702;1102;1104;NOM;PER;his great leader
9703;1106;1108;NOM;PER;the poetic Snodgrass
240;1112;1112;PRON;PER;him
240;1156;1157;PROP;PER;Mr. Pickwick
9704;1176;1177;NOM;ORG;the Club
9705;1207;1208;NOM;PER;great men
9706;1210;1210;PRON;PER;we
240;1219;1220;PROP;PER;Mr. Pickwick
9684;1224;1225;NOM;PER;the secretary
790;1235;1236;NOM;PER;every man
240;1246;1246;PRON;PER;his
791;1246;1247;NOM;PER;his friend
242;1248;1248;PROP;PER;Snodgrass
240;1258;1258;PRON;PER;his
791;1258;1259;NOM;PER;his friend
244;1260;1260;PROP;PER;Tupman
240;1287;1287;PRON;PER;his
791;1287;1288;NOM;PER;his friend
276;1289;1289;PROP;PER;Winkle
240;1291;1291;PRON;PER;He
240;1293;1294;PROP;PER;Mr. Pickwick
240;1300;1300;PRON;PER;he
240;1325;1325;PRON;PER;he
240;1341;1341;PRON;PER;his
794;1348;1350;NOM;PER;the human race
795;1360;1360;NOM;PER;mankind
240;1362;1362;PRON;PER;his
240;1367;1367;PRON;PER;his
796;1367;1369;NOM;FAC;his insurance office
240;1376;1376;PRON;PER;He
240;1382;1382;PRON;PER;he
240;1389;1389;PRON;PER;his
797;1389;1390;NOM;PER;his enemies
240;1397;1397;PRON;PER;he
240;1403;1403;PRON;PER;he
240;1405;1405;PRON;PER;his
798;1409;1410;NOM;LOC;the world
240;1435;1435;PRON;PER;He
799;1441;1449;NOM;PER;that honourable Pickwickian whose voice he had just heard
240;1446;1446;PRON;PER;he
800;1466;1472;NOM;LOC;the farthest confines of the known world
801;1470;1472;NOM;LOC;the known world
240;1478;1478;PRON;PER;he
240;1497;1497;PRON;PER;he
240;1500;1500;PRON;PER;him
240;1509;1509;PRON;PER;his
240;1516;1516;PRON;PER;He
802;1518;1520;NOM;PER;a humble individual
240;1531;1531;PRON;PER;he
803;1537;1537;PRON;PER;they
240;1540;1540;PRON;PER;him
804;1564;1564;NOM;PER;coachmen
804;1569;1569;PRON;PER;them
804;1580;1580;PRON;PER;them
805;1584;1584;NOM;PER;coaches
806;1595;1595;NOM;VEH;boats
807;1607;1614;NOM;PER;a voice â€œ No . â€ ) No
245;1621;1628;PROP;PER;that honourable Pickwickian who cried â€œ No â€
240;1638;1638;PRON;PER;he
808;1661;1665;NOM;PER;some vain and disappointed man
240;1667;1667;PRON;PER;he
240;1689;1689;PRON;PER;his
240;1691;1692;PROP;PER;Mr. Pickwick
240;1707;1707;PRON;PER;his
246;1723;1725;PROP;PER;MR . BLOTTON
9;1728;1728;PROP;GPE;Aldgate
245;1735;1737;PROP;PER;the honourable Pickwickian
246;1740;1740;PRON;PER;him
240;1775;1777;PROP;PER;MR . PICKWICK
240;1789;1789;PRON;PER;He
809;1793;1795;NOM;PER;the honourable gentleman
246;1803;1805;PROP;PER;MR . BLOTTON
240;1812;1812;PRON;PER;he
9707;1814;1817;NOM;PER;the hon . gent
9708;1834;1838;NOM;PER;The hon . gent .
9709;1840;1841;NOM;PER;a humbug
247;1862;1864;PROP;PER;Mr. A. SNODGRASS
247;1869;1869;PRON;PER;He
247;1871;1871;PRON;PER;himself
247;1880;1880;PRON;PER;He
810;1889;1893;NOM;PER;two members of that club
811;1892;1893;NOM;ORG;that club
9710;1907;1908;NOM;PER;The CHAIRMAN
245;1912;1915;PROP;PER;the hon . Pickwickian
246;1920;1920;PRON;PER;he
246;1928;1930;PROP;PER;MR . BLOTTON
246;1943;1943;PRON;PER;he
9710;1948;1949;NOM;PER;The CHAIRMAN
9710;1952;1952;PRON;PER;his
809;1958;1960;NOM;PER;the honourable gentleman
9710;1963;1963;PRON;PER;he
9710;1972;1972;PRON;PER;him
246;1979;1981;PROP;PER;MR . BLOTTON
246;1988;1988;PRON;PER;he
246;1992;1992;PRON;PER;he
246;2008;2008;PRON;PER;He
246;2017;2017;PRON;PER;he
809;2025;2027;NOM;PER;the honourable gentleman
246;2029;2029;PRON;PER;he
809;2033;2033;PRON;PER;him
9709;2034;2035;NOM;PER;a humbug
240;2050;2052;PROP;PER;MR . PICKWICK
240;2066;2066;PRON;PER;his
9713;2066;2068;NOM;PER;his honourable friend
240;2070;2070;PRON;PER;He
240;2080;2080;PRON;PER;his
814;2104;2104;PRON;PER;we
814;2124;2124;PRON;PER;We
815;2133;2134;NOM;PER;the reader
816;2152;2155;NOM;PER;other MS . authorities
817;2163;2163;PRON;PER;their
818;2187;2187;PRON;PER;THEIR
819;2189;2194;NOM;PER;That punctual servant of all work
240;2228;2230;PROP;PER;Mr. Samuel Pickwick
240;2236;2236;PRON;PER;his
240;2241;2241;PRON;PER;his
820;2249;2251;NOM;LOC;the world beneath
10;2253;2254;PROP;FAC;Goswell Street
240;2257;2257;PRON;PER;his
10;2260;2261;PROP;FAC;Goswell Street
240;2264;2264;PRON;PER;his
10;2276;2277;PROP;FAC;Goswell Street
240;2280;2280;PRON;PER;his
821;2284;2289;NOM;LOC;the opposite side of Goswell Street
10;2288;2289;PROP;FAC;Goswell Street
240;2300;2301;PROP;PER;Mr. Pickwick
9714;2309;2321;NOM;PER;those philosophers who , content with examining the things that lie before them
9714;2321;2321;PRON;PER;them
240;2336;2336;PRON;PER;I
10;2342;2343;PROP;FAC;Goswell Street
9715;2353;2361;NOM;LOC;the hidden countries which on every side surround it
