COREF,start_token,end_token,prop,cat,text
186,2,2,PROP,PER,Dombey
187,4,5,PROP,PER,Son Dombey
188,166,166,PROP,PER,Time
189,170,170,PROP,PER,Care
190,338,339,PROP,PER,Mr Dombey
191,395,397,PROP,PER,Dom - bey
192,480,480,PROP,PER,Paul
193,549,549,PROP,PER,Junior
194,717,718,PROP,PER,Anno Domini
195,723,724,PROP,PER,anno Dombei
196,1360,1360,PROP,PER,Florence
197,1568,1569,PROP,PER,Miss Florence
198,1589,1590,PROP,PER,Doctor Peps
734,1644,1644,PROP,PER,Mrs
199,1649,1649,PROP,PER,Blockitt
200,1902,1904,PROP,PER,Doctor Parker Pep
201,2158,2159,PROP,PER,Lady Cankaby
202,2278,2279,PROP,PER,Mr Pilkins
203,2320,2322,PROP,PER,Sir Hubert Stanley
204,2808,2808,PROP,PER,Louisa
205,2902,2902,PROP,PER,Fanny
206,2957,2957,PROP,PER,George
207,2959,2959,PROP,PER,Frederick
208,3253,3254,PROP,PER,Mrs Chick
209,4707,4709,PROP,PER,Im - mense
210,5546,5548,PROP,PER,Dr Parker Peps
211,5739,5740,PROP,PER,Good Heaven
212,5815,5815,PROP,PER,Mama
213,6072,6073,PROP,PER,Mr Chick
214,6144,6144,PROP,PER,Loo
215,6348,6349,PROP,PER,Mr C.
216,6578,6578,PROP,PER,Baby
217,7503,7503,PROP,PER,Johnny
218,7854,7854,PROP,PER,Polly
219,7867,7867,PROP,PER,Maâ€™am
220,7943,7943,PROP,PER,Jemima
221,7995,7995,PROP,PER,Youngest
222,8147,8147,PROP,PER,Stoker
223,8175,8176,PROP,PER,Steam ingine
224,8224,8224,PROP,PER,Mum
225,8748,8748,PROP,PER,Grief
226,8781,8781,PROP,PER,Toodles
227,8931,8931,PROP,PER,Richards
228,9009,9010,PROP,PER,Mrs Toodle
893,9382,9382,PROP,PER,Mr
229,10097,10097,PROP,PER,Biler
230,10136,10136,PROP,PER,Sermuchser
231,10250,10251,PROP,PER,The Steamingine
232,10559,10559,PROP,PER,Death
233,11316,11316,PROP,PER,Lor
234,11836,11836,PROP,PER,Bricks
235,11850,11850,PROP,PER,Jâ€™mima
236,12065,12066,PROP,PER,Mr Toodle
237,13238,13240,PROP,PER,Little Paul Dombey
238,13392,13392,PROP,PER,Miss.
9941,13543,13543,PROP,PER,Miss
239,13833,13833,PROP,PER,God
240,14501,14501,PROP,PER,Spitfire
241,14639,14640,PROP,PER,Susan Nipper
242,14724,14724,PROP,PER,Papa
243,14729,14729,PROP,PER,Lork
244,18116,18116,PROP,PER,Temporaries
245,18197,18198,PROP,PER,Bow Bells
246,18235,18235,PROP,PER,Magog
293,19022,19022,PROP,PER,Walter
248,19049,19050,PROP,PER,Solomon Gills
249,19734,19734,PROP,PER,Halloa
250,19736,19737,PROP,PER,Uncle Sol
251,20006,20008,PROP,PER,The Lord Mayor
252,20206,20206,PROP,PER,Hurrah
253,20523,20524,PROP,PER,Mr Morfin
254,20592,20592,PROP,PER,"Uncle,â€”and"
255,21103,21104,PROP,PER,Dear Uncle
256,22213,22213,PROP,PER,"Solomon,â€”â€œthat"
257,22311,22313,PROP,PER,the Charming Sally
258,22606,22607,PROP,PER,the Polyphemus
259,22611,22614,PROP,PER,Private West India Trader
