COREF,start_token,end_token,prop,cat,text
18,81,83,PROP,PER,MARLEY 'S GHOST
26,123,123,PROP,PER,Scrooge
20,147,148,PROP,PER,Old Marley
21,406,406,PROP,PER,Hamlet
22,461,462,PROP,PER,Saint Paul
-1,528,529,PROP,PER,Scrooge Scrooge
23,1311,1311,PROP,PER,God
24,1356,1356,PROP,PER,Humbug
25,2291,2291,PROP,PER,Christmas
27,2513,2514,PROP,PER,Mr. Marley
28,2851,2852,PROP,PER,the Poor
29,2885,2885,PROP,PER,Abundance
30,3473,3476,PROP,PER,the good Saint Dunstan
31,3480,3482,PROP,PER,the Evil Spirit
32,5122,5122,PROP,PER,Cains
33,5124,5124,PROP,PER,Abels
34,5126,5126,PROP,PER,Pharaoh
35,5147,5147,PROP,PER,Abrahams
36,5149,5149,PROP,PER,Belshazzars
37,5151,5151,PROP,PER,Apostles
38,5809,5809,PROP,PER,"Much!""--Marley"
39,6557,6557,PROP,PER,Mercy
40,7398,7398,PROP,PER,Mankind
41,7741,7741,PROP,PER,Thank'ee
42,7757,7758,PROP,PER,Three Spirits
43,11123,11124,PROP,PER,Ali Baba
44,11191,11191,PROP,PER,Valentine
45,11203,11203,PROP,PER,Orson
46,11247,11248,PROP,PER,the Genii
47,11332,11333,PROP,PER,the Parrot
48,11366,11367,PROP,PER,Robin Crusoe
49,11420,11420,PROP,PER,Friday
50,11433,11433,PROP,PER,Hoop
51,11842,11842,PROP,PER,Father
52,12558,12559,PROP,PER,old Fezziwig
53,12572,12573,PROP,PER,Old Fezziwig
54,12666,12667,PROP,PER,Dick Wilkins
55,12764,12765,PROP,PER,Jack Robinson
56,12838,12840,PROP,PER,Hilli - ho
57,13056,13057,PROP,PER,Miss Fezziwigs
58,13087,13087,PROP,PER,In
59,13476,13479,PROP,PER,Sir Roger de Coverley
60,14461,14461,PROP,PER,Idol
61,15963,15963,PROP,PER,Belle
62,17268,17268,PROP,PER,Plenty
63,17593,17594,PROP,PER,the Phantom
64,19457,19458,PROP,PER,Bob Cratchit
65,19513,19514,PROP,PER,Mrs. Cratchit
66,19555,19556,PROP,PER,Belinda Cratchit
67,19569,19571,PROP,PER,Master Peter Cratchit
68,19752,19753,PROP,PER,Tiny Tim
69,19756,19757,PROP,PER,Martha warn't
70,20498,20499,PROP,PER,Miss Belinda
72,21776,21776,PROP,PER,Robert
71,21983,21986,PROP,PER,The two young Cratchits
73,23777,23777,PROP,PER,Fred
74,24258,24258,PROP,PER,Topper
75,26663,26663,PROP,PER,Ignorance
76,26668,26668,PROP,PER,Want
77,28064,28065,PROP,PER,Old Scratch
78,28887,28888,PROP,PER,old Joe
79,29141,29142,PROP,PER,Mrs. Dilber
80,31236,31236,PROP,PER,Illustration
81,31300,31300,PROP,PER,Caroline
83,33015,33015,PROP,PER,Spectre
84,33696,33697,PROP,PER,Good Spirit
85,34703,34703,PROP,PER,Hallo
86,37049,37050,PROP,PER,Charles Dickens
