COREF,start_token,end_token,prop,cat,text
127,246,247,PROP,PER,Mrs. Southcott
128,615,615,PROP,PER,Death
129,1965,1965,PROP,PER,Halloa
130,1980,1980,PROP,PER,Joe
131,2008,2008,PROP,PER,Shooter
132,2205,2205,PROP,PER,Tom
133,2615,2617,PROP,PER,Mr. Jarvis Lorry
134,3104,3104,PROP,PER,Tellson
135,3489,3489,PROP,PER,Hallo
136,4454,4454,PROP,PER,Smith
18,4528,4529,PROP,PER,Temple Bar
138,6753,6754,PROP,PER,The George
140,7314,7315,PROP,PER,Miss Manette
141,8626,8627,PROP,PER,Monsieur Manette
-1,9606,9606,PROP,PER,Miss
142,9832,9832,PROP,PER,Courage
143,11102,11102,PROP,PER,Providence
144,11932,11933,PROP,PER,Saint Antoine
145,12229,12229,PROP,PER,Hunger
146,13301,13302,PROP,PER,Madame Defarge
147,13637,13638,PROP,PER,Monsieur Defarge
148,13682,13682,PROP,PER,Jacques
149,14478,14478,PROP,PER,God
150,18991,18991,PROP,PER,Hark
151,20998,21000,PROP,PER,Monsieur the Officer
152,21449,21449,PROP,PER,Noakes
153,21466,21466,PROP,PER,Heaven--
154,21489,21490,PROP,PER,the House
155,22385,22385,PROP,PER,Cruncher
156,22422,22423,PROP,PER,Mr. Cruncher
157,22472,22473,PROP,PER,Anna Dominoes
158,22824,22824,PROP,PER,Aggerawayter
159,23255,23256,PROP,PER,Young Jerry
160,23660,23661,PROP,PER,Mr. Crunches
161,24145,24145,PROP,PER,Porter
162,26258,26259,PROP,PER,Charles Darnay
163,26321,26321,PROP,PER,Lewis
165,27895,27896,PROP,PER,the Americans
166,28138,28141,PROP,PER,Mr. Solicitor - General
167,28154,28155,PROP,PER,John Barsad
168,28613,28614,PROP,PER,Roger Cly
169,30469,30471,PROP,PER,George the Third
170,30656,30657,PROP,PER,Doctor Manette
171,31331,31332,PROP,PER,Mr. Stryver
172,31346,31347,PROP,PER,Mr. Carton
173,31522,31523,PROP,PER,accursed Judas
174,33270,33271,PROP,PER,Lucie Manette
175,33916,33917,PROP,PER,Miss Lucie
176,36108,36112,PROP,PER,CHAPTER V. The Jackal Those
