COREF,start_token,end_token,prop,cat,text
183,0,3,PROP,PER,The late Mr Waterton
184,100,102,PROP,PER,Sir Hugh Evans
185,105,106,PROP,PER,Anne Page
186,756,758,PROP,PER,the Gordon Riots
187,1013,1014,PROP,PER,Mr Dennis
188,1067,1068,PROP,PER,Mary Jones
189,1130,1132,PROP,PER,Sir Samuel Romilly
190,1159,1161,PROP,PER,SIR WILLIAM MEREDITH
191,1746,1749,PROP,PER,King Henry the Eighth
192,1760,1761,PROP,PER,Queen Elizabeth
193,2516,2517,PROP,PER,John Willet
194,2661,2662,PROP,PER,Mr Willet
195,3586,3588,PROP,PER,short Tom Cobb
196,3599,3601,PROP,PER,long Phil Parkes
197,4082,4082,PROP,PER,Joe
198,4334,4335,PROP,PER,the Maypole
199,4376,4376,PROP,PER,Haredale
206,4378,4380,PROP,PER,Mr Geoffrey Haredale
201,4766,4767,PROP,PER,King George
202,5186,5187,PROP,PER,Long Parkes
203,5484,5484,PROP,PER,Natur
204,5583,5584,PROP,PER,Mr Parkes
205,6633,6634,PROP,PER,Solomon Daisy
207,7301,7302,PROP,PER,Mr Daisy
208,8474,8475,PROP,PER,Mr Rudge
209,9081,9081,PROP,PER,Landlord
210,10191,10191,PROP,PER,Heaven
211,10519,10520,PROP,PER,Father Time
212,11056,11057,PROP,PER,Gabriel Varden
213,12005,12005,PROP,PER,Martha
214,12852,12853,PROP,PER,Mr Varden
215,13581,13581,PROP,PER,chance
216,13691,13691,PROP,PER,Dolly
217,13727,13727,PROP,PER,God
218,13877,13877,PROP,PER,"aforesaid,--and"
219,14027,14028,PROP,PER,Mrs Varden
220,14781,14781,PROP,PER,Barnaby
221,15846,15846,PROP,PER,Gently
222,17272,17272,PROP,PER,Mother
223,17513,17513,PROP,PER,Simon
224,17949,17949,PROP,PER,Sundays
225,18349,18349,PROP,PER,Prometheus
226,18423,18424,PROP,PER,George Barnwell
227,19068,19070,PROP,PER,Young Mr Chester
228,19089,19090,PROP,PER,Mr Edward
229,19227,19228,PROP,PER,Mrs Rudge
230,19245,19246,PROP,PER,Miss Emma
231,19681,19681,PROP,PER,Toby
232,20780,20780,PROP,PER,Whirr
233,21744,21746,PROP,PER,Old Mr Chester
234,22803,22803,PROP,PER,pointing--â€˜yonder
235,24731,24731,PROP,PER,Softly
236,26150,26150,PROP,PER,Halloa
237,26739,26739,PROP,PER,Grip
238,27874,27874,PROP,PER,Macbeth
239,28172,28173,PROP,PER,Miss Miggs
240,28994,28994,PROP,PER,Martha--
241,29189,29189,PROP,PER,It
242,29283,29284,PROP,PER,Poor Gabriel
243,29588,29589,PROP,PER,Mrs V.--not
244,31476,31477,PROP,PER,Even Stagg
245,32120,32120,PROP,PER,Benjamin
246,32526,32526,PROP,PER,Prentice
247,32830,32831,PROP,PER,follows:--â€˜Mark Gilbert
248,32839,32840,PROP,PER,Thomas Curzon
249,32971,32971,PROP,PER,Cheshire
250,32993,32994,PROP,PER,Mr Tappert
251,34423,34424,PROP,PER,Mr Tappertit--â€˜what
7886,36230,36231,PROP,PER,Miss Dolly
252,36873,36873,PROP,PER,Sim--
253,37024,37024,PROP,PER,Donâ€™t!--Iâ€™ve
254,37065,37065,PROP,PER,Simmun
255,37165,37165,PROP,PER,Miggs--
256,37314,37315,PROP,PER,Angelic Miggs
257,38732,38733,PROP,PER,Dear Lord
258,40995,40996,PROP,PER,Old John
259,43614,43614,PROP,PER,Johnny
260,45820,45820,PROP,PER,Frank
261,46779,46780,PROP,PER,Emma Haredale
262,48901,48901,PROP,PER,Barnaby--â€˜theyâ€™re
8189,51925,51926,PROP,PER,Miss Dolly--
8192,52107,52107,PROP,PER,Mrs
263,52384,52384,PROP,PER,Providence
264,52412,52413,PROP,PER,Mr Joseph
265,52417,52418,PROP,PER,Mrs V.
266,54932,54932,PROP,PER,Nature
267,56509,56510,PROP,PER,the Willets
268,57190,57190,PROP,PER,Templars
270,57767,57768,PROP,PER,Fore Gad
271,58328,58328,PROP,PER,"Ned,--great"
272,65340,65340,PROP,PER,Begone
273,65391,65392,PROP,PER,Miserable wretch
274,65461,65461,PROP,PER,Hark
275,66855,66855,PROP,PER,"Barnaby,--â€˜that"
276,68639,68639,PROP,PER,Observe
277,70078,70078,PROP,PER,Miggses
278,71554,71554,PROP,PER,Satan
279,73133,73133,PROP,PER,Damme
280,74287,74288,PROP,PER,the Manual
281,74517,74518,PROP,PER,Mr Tappettit
282,75085,75086,PROP,PER,Miss Varden
283,79611,79611,PROP,PER,Sweetlips
284,79784,79784,PROP,PER,Harkye
285,81923,81924,PROP,PER,wild Islander
286,83008,83009,PROP,PER,Saint Paul
287,85676,85676,PROP,PER,Jezebel
288,86326,86326,PROP,PER,Chesterfield
289,86383,86383,PROP,PER,Shakespeare
290,86392,86392,PROP,PER,Milton
291,86398,86399,PROP,PER,Lord Bacon
292,86590,86591,PROP,PER,the Devil
293,90232,90232,PROP,PER,Faithful
294,90709,90709,PROP,PER,Peak
295,91468,91470,PROP,PER,G. Varden Locksmith
296,92458,92458,PROP,PER,"deputy,--not"
