COREF,start_token,end_token,prop,cat,text
243,137,139,PROP,PER,Richard the Second
244,174,175,PROP,PER,Conversation Kenge
245,178,179,PROP,PER,Mr. Vholes
246,209,209,PROP,PER,Shakespeare
247,294,294,PROP,PER,Gridley
248,457,457,PROP,PER,Jarndyce
249,508,509,PROP,PER,Mr. Krook
250,515,516,PROP,PER,Mr. Lewes
251,609,614,PROP,PER,the Countess Cornelia de Baudi Cesenate
252,622,623,PROP,PER,Giuseppe Bianchini
253,694,695,PROP,PER,Le Cat
254,807,807,PROP,PER,Scotch
255,1057,1057,PROP,PER,Dogs
256,2716,2718,PROP,PER,old Tom Jarndyce
257,2874,2875,PROP,PER,Mr. Blowers
258,3060,3061,PROP,PER,Mr. Chizzle
259,3063,3063,PROP,PER,Mizzle
260,3156,3156,PROP,PER,Drizzle
261,3283,3284,PROP,PER,Mr. Tangle
262,3563,3563,PROP,PER,Begludship
263,4072,4074,PROP,PER,Rip Van Winkles
264,4253,4253,PROP,PER,Dedlock
265,4601,4601,PROP,PER,Dedlocks
266,4811,4813,PROP,PER,Sir Leicester Dedlock
267,5209,5209,PROP,PER,Alexander
268,5405,5408,PROP,PER,the Honourable Bob Stables
269,5755,5756,PROP,PER,Mr. Tulkinghorn
270,6280,6281,PROP,PER,Lemuel Gulliver
271,6305,6305,PROP,PER,Blaze
272,6307,6307,PROP,PER,Sparkle
273,6365,6365,PROP,PER,Sheen
274,6367,6367,PROP,PER,Gloss
275,6423,6424,PROP,PER,Mr. Sladdery
276,6872,6873,PROP,PER,Wat Tyler
277,7375,7375,PROP,PER,Mercury
278,7506,7506,PROP,PER,Dolly
279,8166,8167,PROP,PER,Mrs. Rachael
280,8202,8202,PROP,PER,Esther
281,8622,8622,PROP,PER,Mama
282,9761,9762,PROP,PER,St. John
283,10102,10102,PROP,PER,Kenge
284,10170,10173,PROP,PER,the late Miss Barbary
9549,10231,10231,PROP,PER,Aunt
285,10454,10455,PROP,PER,Mrs. Rachaelâ€â€”I
286,10923,10924,PROP,PER,Mr. Jarndyce
287,12525,12526,PROP,PER,Miss Donny
288,12745,12746,PROP,PER,Messrs. Kenge
289,12923,12924,PROP,PER,Miss Donnys
290,15212,15213,PROP,PER,Miss Ada
291,15352,15353,PROP,PER,Richard Carstone
292,16305,16306,PROP,PER,Lord Chancellor
293,16993,16993,PROP,PER,Youth
294,17039,17040,PROP,PER,Mrs. Jellyby
295,17276,17277,PROP,PER,Mr. Jellyby
296,17503,17503,PROP,PER,Guppy
297,17526,17527,PROP,PER,Mr. Guppy
298,17963,17965,PROP,PER,the young Jellybys
299,18317,18318,PROP,PER,Missis Jellyby
300,19301,19301,PROP,PER,Caddy
301,19310,19311,PROP,PER,Mr. Swallow
302,19355,19355,PROP,PER,Peepy
29,19452,19452,PROP,PER,Africa
304,19736,19737,PROP,PER,Miss Jellyby
305,20020,20023,PROP,PER,Little Red Riding Hood
306,20596,20598,PROP,PER,Borrioboola - Gha
307,20666,20667,PROP,PER,Mr. Quale
308,22172,22172,PROP,PER,Ma
309,22279,22279,PROP,PER,Pa
310,22287,22287,PROP,PER,Priscilla
311,23736,23736,PROP,PER,Methuselah
312,25769,25769,PROP,PER,M
7,26186,26186,PROP,PER,Chancery
314,26243,26244,PROP,PER,Lady Jane
315,30175,30175,PROP,PER,Whittington
316,30190,30190,PROP,PER,Halloa
317,31352,31352,PROP,PER,Rick
9832,32170,32170,PROP,PER,Lord
318,32341,32342,PROP,PER,Cousin John
319,32507,32508,PROP,PER,poor Caroline
320,33398,33399,PROP,PER,Captain Cook
321,33443,33443,PROP,PER,June
322,33526,33527,PROP,PER,Queen Anne
323,34104,34105,PROP,PER,Harold Skimpole
324,37567,37567,PROP,PER,Coavinses
325,38027,38027,PROP,PER,Mankind
326,39414,39415,PROP,PER,Mrs. Skimpole
327,39595,39595,PROP,PER,Michael
328,41562,41563,PROP,PER,Mrs. Rouncewell
329,41819,41820,PROP,PER,Chesney Wold
330,41871,41872,PROP,PER,Mr. Rouncewell
331,42696,42696,PROP,PER,Watt
332,42731,42731,PROP,PER,George
333,42927,42927,PROP,PER,Grandmother
