COREF,start_token,end_token,prop,cat,text
226,306,307,PROP,PER,David Copperfield
227,324,326,PROP,PER,THE CHARLES DICKENS
228,1589,1590,PROP,PER,Miss Trotwood
229,2402,2404,PROP,PER,Mrs. David Copperfield
230,2861,2861,PROP,PER,Heaven
231,2872,2872,PROP,PER,Rookery
232,2927,2928,PROP,PER,Mr. Copperfield
233,3075,3075,PROP,PER,The--
234,3576,3576,PROP,PER,Peggotty
235,3884,3886,PROP,PER,Betsey Trotwood Copperfield
236,4767,4768,PROP,PER,Ham Peggotty
237,5115,5116,PROP,PER,Mr. Chillip
238,6150,6150,PROP,PER,Maâ€™am
239,7162,7162,PROP,PER,Lazarus
240,7603,7604,PROP,PER,Mr. Bodgers
241,7615,7616,PROP,PER,Mrs. Bodgers
242,8267,8268,PROP,PER,St. Paul
865,8337,8337,PROP,PER,Lord
243,8514,8514,PROP,PER,Lawk
244,8848,8849,PROP,PER,the Crorkindills
245,9794,9794,PROP,PER,God
246,9910,9910,PROP,PER,No!â€™--I
247,10959,10960,PROP,PER,Mr. Murdstone
248,11555,11555,PROP,PER,Halloa
249,11614,11614,PROP,PER,Jones
250,11647,11647,PROP,PER,Quinion
251,11710,11710,PROP,PER,Brooks
252,12170,12171,PROP,PER,Mr. Skylark
253,12277,12278,PROP,PER,Mr. Passnidge
254,12839,12839,PROP,PER,Ma
255,13347,13348,PROP,PER,Mrs. Grayper
256,14768,14769,PROP,PER,Masâ€™r Davy
257,14897,14897,PROP,PER,Aladdin
258,15195,15195,PROP,PER,Abraham
259,15201,15201,PROP,PER,Isaac
260,15206,15206,PROP,PER,Daniel
261,15235,15236,PROP,PER,Sarah Jane
262,16109,16110,PROP,PER,Little Emâ€™ly
263,16148,16149,PROP,PER,Mrs. Peggotty
264,16372,16372,PROP,PER,Joe
265,16398,16398,PROP,PER,Drowndead
266,16628,16629,PROP,PER,Missis Gummidge
267,16736,16737,PROP,PER,Mrs. Gummidge
268,17723,17723,PROP,PER,Emily
269,18691,18691,PROP,PER,Time
270,19008,19010,PROP,PER,The Willing Mind
271,19545,19546,PROP,PER,old Mawther
272,19639,19639,PROP,PER,Danâ€™l
273,20225,20228,PROP,PER,the late Mr. Gummidge
274,21479,21479,PROP,PER,Clara
275,22217,22218,PROP,PER,Poor Peggotty
276,22445,22445,PROP,PER,Edward
277,22950,22950,PROP,PER,Dirt
278,23637,23638,PROP,PER,Miss Murdstone
1112,24538,24538,PROP,PER,Mr.
279,24854,24855,PROP,PER,Jane Murdstone
280,27532,27533,PROP,PER,the Murdstones
281,27817,27818,PROP,PER,Roderick Random
282,27820,27821,PROP,PER,Peregrine Pickle
283,27823,27824,PROP,PER,Humphrey Clinker
284,27834,27835,PROP,PER,Don Quixote
285,27837,27838,PROP,PER,Gil Blas
286,27841,27842,PROP,PER,Robinson Crusoe
287,27882,27883,PROP,PER,"the Genii,--and"
288,28101,28102,PROP,PER,Captain Somebody
289,28273,28274,PROP,PER,Tom Pipes
290,28286,28286,PROP,PER,Strap
291,28309,28310,PROP,PER,Commodore Trunnion
292,28315,28316,PROP,PER,Mr. Pickle
293,30223,30224,PROP,PER,the Catâ€™ll
294,32072,32073,PROP,PER,Mr. Barkis
295,32285,32285,PROP,PER,Sweetmeats
296,32315,32315,PROP,PER,Hearts
297,33058,33058,PROP,PER,William
298,33518,33518,PROP,PER,Topsawyer
299,34869,34869,PROP,PER,George
300,37598,37599,PROP,PER,Mrs. Fibbitson
301,38778,38778,PROP,PER,Hallo
302,38829,38830,PROP,PER,Mr. Mell
303,39010,39011,PROP,PER,Mr. Creakle
1323,39024,39024,PROP,PER,Mrs.
304,39026,39027,PROP,PER,Miss Creakle
305,39888,39889,PROP,PER,J. Steerforth
306,39927,39928,PROP,PER,Tommy Traddles
307,41079,41080,PROP,PER,Mrs. Creakle
308,42151,42152,PROP,PER,Mr. Sharp
309,42516,42516,PROP,PER,Towzer
310,43617,43617,PROP,PER,Tungay
311,44215,44217,PROP,PER,old Mrs. Mell
312,45156,45158,PROP,PER,Lord High Admiral
313,45753,45754,PROP,PER,Poor Traddles
314,48472,48473,PROP,PER,Mr. Steerforth
315,48836,48837,PROP,PER,Young Copperfield
316,50328,50329,PROP,PER,James Steerforth
317,50794,50795,PROP,PER,Miss Traddles
318,50830,50830,PROP,PER,Polly
319,51568,51568,PROP,PER,Growed
28,51868,51868,PROP,PER,Gravesen
321,52801,52802,PROP,PER,young genâ€™lâ€™mâ€™n
322,53260,53260,PROP,PER,Crab
323,53762,53763,PROP,PER,the Dolphin
324,54346,54346,PROP,PER,Chrisen
325,60452,60453,PROP,PER,Mistress Peggotty
326,62785,62785,PROP,PER,OMER
327,62982,62982,PROP,PER,RAT
328,63020,63020,PROP,PER,Minnie
329,63094,63094,PROP,PER,Father
330,63962,63962,PROP,PER,Joram
331,65830,65831,PROP,PER,Mr. Grayper
332,71695,71695,PROP,PER,Rudderford
333,71821,71821,PROP,PER,Handsome
334,73980,73981,PROP,PER,Clara Peggotty
335,74662,74663,PROP,PER,Mrs. Barkis
336,75002,75002,PROP,PER,Foxe
