COREF,start_token,end_token,prop,cat,text
249,8,8,PROP,PER,Pirrip
151,66,67,PROP,PER,Joe Gargery
152,371,371,PROP,PER,Alexander
153,373,373,PROP,PER,Bartholomew
154,375,375,PROP,PER,Abraham
155,377,377,PROP,PER,Tobias
156,380,380,PROP,PER,Roger
157,999,999,PROP,PER,Georgiana
4483,1729,1729,PROP,PER,Lord
158,2257,2259,PROP,PER,Mrs. Joe Gargery
159,2749,2749,PROP,PER,Tickler
160,3088,3088,PROP,PER,Pips
161,3095,3095,PROP,PER,Gargerys
162,5286,5286,PROP,PER,Drat
163,5523,5524,PROP,PER,the Hulks
164,6765,6765,PROP,PER,Halloa
165,6978,6978,PROP,PER,Larks
166,9338,9339,PROP,PER,"Mrs. Joe,â€”â€œI"
167,9989,9990,PROP,PER,Mr. Wopsle
168,10004,10005,PROP,PER,Mr. Hubble
169,10009,10010,PROP,PER,Mrs. Hubble
170,10013,10014,PROP,PER,Uncle Pumblechook
171,10238,10239,PROP,PER,the Amens
702,10313,10313,PROP,PER,Mr.
172,10421,10421,PROP,PER,Mum
173,10640,10641,PROP,PER,"Mr. Hubble,â€”I"
174,10983,10984,PROP,PER,Mr. Pumblechook
175,11328,11328,PROP,PER,Pork
729,11361,11362,PROP,PER,"Mr. Wopsle,â€”and"
176,11415,11415,PROP,PER,Swine
177,11753,11753,PROP,PER,Dunstable
178,12482,12482,PROP,PER,Tar
179,17107,17107,PROP,PER,March
180,17918,17918,PROP,PER,God
181,18132,18132,PROP,PER,Noah
182,18280,18280,PROP,PER,"Joe,â€”perhaps"
183,19585,19586,PROP,PER,Mark Antony
184,19593,19593,PROP,PER,Caesar
185,19600,19600,PROP,PER,Collins
186,19746,19746,PROP,PER,Biddy
187,20051,20053,PROP,PER,MI DEER JO
188,20063,20071,PROP,PER,SHAL SON B HABELL 4 2 TEEDGE U JO
189,20075,20080,PROP,PER,SHORL B SO GLODD AN WEN
190,20386,20386,PROP,PER,Joes
191,20603,20603,PROP,PER,Steam
192,21427,21427,PROP,PER,"Pip,â€â€”Joe"
193,22099,22099,PROP,PER,partickler
194,22439,22439,PROP,PER,"Pip,â€”and"
227,23291,23292,PROP,PER,Miss Havisham
196,27125,27125,PROP,PER,Estella
197,27372,27372,PROP,PER,Beggar
198,29905,29906,PROP,PER,knaves Jacks
200,31289,31289,PROP,PER,Howsever
201,32286,32286,PROP,PER,Knaves
202,34066,34069,PROP,PER,the Three Jolly Bargemen
203,34533,34534,PROP,PER,Mr. Gargery
204,35081,35082,PROP,PER,Surname Pip
205,35167,35167,PROP,PER,"pipes,â€”â€œwell"
206,35179,35179,PROP,PER,Nevvy
207,35302,35304,PROP,PER,Richard the Third
208,37041,37041,PROP,PER,Camilla
209,37168,37169,PROP,PER,Cousin Raymond
210,37186,37187,PROP,PER,Sarah Pocket
211,37301,37301,PROP,PER,Tom
212,37359,37359,PROP,PER,Matthew
213,37419,37419,PROP,PER,"Camilla,â€”â€œI"
214,39170,39170,PROP,PER,Accordingly
215,39676,39676,PROP,PER,ginger
216,39951,39951,PROP,PER,Hem
217,40697,40698,PROP,PER,Mrs. Camilla
218,43983,43984,PROP,PER,Old Clem
219,45840,45840,PROP,PER,Cleopatra
220,46923,46924,PROP,PER,"Miss Havisham,â€”â€œand"
221,47477,47479,PROP,PER,Mrs. J. Gargery
222,47614,47615,PROP,PER,young Rantipole
223,47723,47723,PROP,PER,Jorge
224,47926,47926,PROP,PER,Handsome
225,48188,48188,PROP,PER,Goodness
226,48953,48954,PROP,PER,The Commercials
228,51651,51651,PROP,PER,Orlick
229,51660,51660,PROP,PER,"Dolge,â€”a"
230,51773,51773,PROP,PER,Cain
231,52073,52074,PROP,PER,Dolge Orlick
233,52728,52729,PROP,PER,Mother Gargery
234,53465,53465,PROP,PER,Pip:â€”such
235,53772,53772,PROP,PER,"Estella,â€”and"
236,53962,53963,PROP,PER,George Barnwell
237,54307,54307,PROP,PER,Millwood
238,54624,54625,PROP,PER,Mr. Orlick
239,57753,57753,PROP,PER,Daylight
240,57844,57844,PROP,PER,"Estella,â€”but"
241,59466,59466,PROP,PER,Dissatisfied
242,61505,61505,PROP,PER,"Biddy,â€”when"
243,61819,61819,PROP,PER,Coriolanus
244,62164,62165,PROP,PER,"Mr. Wopsle,â€”as"
245,63477,63477,PROP,PER,Jaggers
246,63835,63835,PROP,PER,Bear
247,63841,63841,PROP,PER,Brag
248,63848,63848,PROP,PER,Holdfast
5279,64909,64912,PROP,PER,The Matthew whom Mr.
250,65098,65098,PROP,PER,"once,â€”â€œno"
251,65170,65171,PROP,PER,Mr. Jaggers.â€”And
252,65553,65553,PROP,PER,Money
253,67825,67825,PROP,PER,"Joe,â€”not"
254,68053,68053,PROP,PER,Heaven
255,69802,69803,PROP,PER,Mr. Trabb
256,70351,70352,PROP,PER,Number Four
257,70865,70866,PROP,PER,Mother Hubbard
258,71254,71254,PROP,PER,Joseph.â€”Joseph
259,71328,71329,PROP,PER,the Boar
260,71449,71449,PROP,PER,Fortune
261,71482,71482,PROP,PER,One
263,73588,73588,PROP,PER,Pip!â€”you
264,75556,75556,PROP,PER,Mike
265,76281,76284,PROP,PER,the Lord Chief Justice
266,76665,76665,PROP,PER,Melia
267,76755,76756,PROP,PER,O Jaggerth
268,76765,76767,PROP,PER,Cag - Maggerth
269,76950,76950,PROP,PER,Wemmick
270,77221,77221,PROP,PER,Amelia
271,77495,77498,PROP,PER,Ma thear Mithter Jaggerth
272,77503,77504,PROP,PER,Habraham Latharuth
273,77635,77636,PROP,PER,Mithter Wemmick
274,77810,77811,PROP,PER,Masâ€™r Jaggers
275,77966,77966,PROP,PER,Spooney
276,77987,77988,PROP,PER,Soft Head
277,79493,79494,PROP,PER,Mr. Barnard
278,79876,79876,PROP,PER,"stairs,â€”which"
279,79920,79925,PROP,PER,"MR . POCKET , JUN ."
280,80095,80096,PROP,PER,"Mr. Wemmick,â€”â€œexcept"
