COREF,start_token,end_token,prop,cat,text
70,393,397,PROP,PER,MURDERING THE INNOCENTS THOMAS GRADGRIND
71,522,523,PROP,PER,George Gradgrind
72,526,527,PROP,PER,Augustus Gradgrind
73,530,531,PROP,PER,John Gradgrind
74,534,535,PROP,PER,Joseph Gradgrind
75,561,562,PROP,PER,Mr. Gradgrind
76,728,729,PROP,PER,Sissy Jupe
77,1053,1053,PROP,PER,Bitzer
78,2648,2649,PROP,PER,Mr. Mâ€™Choakumchild
79,2968,2968,PROP,PER,Morgiana
80,3212,3212,PROP,PER,Heaven
81,3304,3306,PROP,PER,the Great Bear
82,3308,3310,PROP,PER,a Professor Owen
83,3314,3314,PROP,PER,Charles
84,3369,3370,PROP,PER,Tom Thumb
85,3662,3664,PROP,PER,The little Gradgrinds
86,3738,3739,PROP,PER,Peter Piper
87,4006,4006,PROP,PER,Sleary
88,4035,4037,PROP,PER,Miss Josephine Sleary
89,4083,4084,PROP,PER,Signor Jupe
90,4207,4209,PROP,PER,Mr. William Button
91,4409,4409,PROP,PER,Louisa
92,5032,5033,PROP,PER,Mr. Bounderby
93,5129,5130,PROP,PER,Mrs. Grundy
94,5471,5472,PROP,PER,Mrs. Gradgrind
95,6239,6239,PROP,PER,Vagabond
96,6259,6262,PROP,PER,Josiah Bounderby of Coketown
97,8098,8099,PROP,PER,Adam Smith
98,8101,8101,PROP,PER,Malthus
99,8115,8116,PROP,PER,little Jane
100,8313,8313,PROP,PER,Loo
101,8362,8365,PROP,PER,Messrs. Bounderby and Gradgrind
102,9334,9335,PROP,PER,A. B.
103,9879,9879,PROP,PER,Halloa
104,10943,10943,PROP,PER,Merrylegs
105,11002,11003,PROP,PER,The Pegasus
106,11230,11230,PROP,PER,Father
107,11764,11768,PROP,PER,Mr. E. W. B. Childers
108,12128,12128,PROP,PER,Cupid
109,12142,12143,PROP,PER,Master Kidderminster
506,12441,12441,PROP,PER,Lord
110,12532,12535,PROP,PER,the Tight - Jeff
111,12603,12605,PROP,PER,Slack - Jeff
112,13181,13184,PROP,PER,Dick Jones of Wapping
113,13746,13748,PROP,PER,the Lord Harry
114,13932,13932,PROP,PER,Punch
115,14775,14775,PROP,PER,Thquire
116,14938,14938,PROP,PER,Therry
117,15810,15810,PROP,PER,Thethilia
118,15829,15830,PROP,PER,Emma Gordon
119,15850,15850,PROP,PER,Jothâ€™phine
564,16240,16240,PROP,PER,Mr.
65,16244,16244,PROP,PER,Thleary
121,16834,16835,PROP,PER,hith mathter
