COREF,start_token,end_token,prop,cat,text
272,122,123,PROP,PER,the Barnacles
273,188,189,PROP,PER,Mr Merdle
274,462,463,PROP,PER,Little Dorrit
275,585,586,PROP,PER,Tom Pythick
276,602,603,PROP,PER,Joe Pythick
277,1346,1346,PROP,PER,Grant
278,2842,2844,PROP,PER,Signor John Baptist
279,3115,3116,PROP,PER,Monsieur Rigaud
280,3606,3608,PROP,PER,John Baptist Cavalletto
27,4006,4008,PROP,PER,the Lyons sausage
282,4225,4226,PROP,PER,Signor Cavalletto
283,4722,4722,PROP,PER,ALTRO
284,5409,5411,PROP,PER,Monsieur Henri Barronneau
285,5570,5571,PROP,PER,Madame Barronneau
286,5806,5807,PROP,PER,Madame Rigaud
287,7611,7612,PROP,PER,Fellow Travellers
288,8040,8041,PROP,PER,Mr Meagles
289,8245,8246,PROP,PER,Mrs Meagles
290,8304,8304,PROP,PER,Father
291,8321,8321,PROP,PER,Pet
8,8357,8357,PROP,PER,Marseilles
293,8640,8640,PROP,PER,Tattycoram
295,9424,9425,PROP,PER,Fairy Godmother
296,9446,9446,PROP,PER,George
297,9470,9471,PROP,PER,Harriet Beadle
298,9486,9486,PROP,PER,Hattey
299,9491,9491,PROP,PER,Tatty
300,9734,9734,PROP,PER,Coram
301,9997,9997,PROP,PER,Petâ€™s
302,10186,10186,PROP,PER,God
303,10458,10459,PROP,PER,Captain Cook
304,10503,10504,PROP,PER,Mr Clennam
294,11355,11356,PROP,PER,Mother Meagles
305,11628,11629,PROP,PER,Miss Wade
306,11652,11652,PROP,PER,Mademoiselle
307,13710,13710,PROP,PER,Baby
308,13811,13811,PROP,PER,Hush
309,14990,14990,PROP,PER,Heaven
45,15506,15506,PROP,PER,Chaymaid
311,15705,15705,PROP,PER,Adam
312,17538,17538,PROP,PER,Affery
313,17590,17591,PROP,PER,Mrs Clennam
9902,17722,17723,PROP,PER,The Lord
314,18749,18749,PROP,PER,Jeremiah
315,19692,19693,PROP,PER,Affery Flintwinch
316,19819,19820,PROP,PER,Mrs Flintwinch
317,20207,20207,PROP,PER,Jere-_mi_-ah
318,20416,20416,PROP,PER,Well!--Jeremiah
9956,21151,21151,PROP,PER,Mr
319,21419,21422,PROP,PER,King Alfred the Great
320,21665,21666,PROP,PER,Mr Flintwinch
321,21938,21938,PROP,PER,Double
322,23307,23307,PROP,PER,Rovinghams
10015,23815,23815,PROP,PER,Lord
323,27147,27148,PROP,PER,Mrs Affery
324,29297,29297,PROP,PER,Niece
325,29299,29299,PROP,PER,nevy
326,29616,29616,PROP,PER,Missis
327,30280,30280,PROP,PER,Childbed
328,30538,30539,PROP,PER,Mrs Bangham
329,30894,30895,PROP,PER,Dr Haggage
330,31328,31328,PROP,PER,Halloa
331,32045,32046,PROP,PER,The Marshalsea
332,32135,32135,PROP,PER,Edâ€™cated
333,33077,33078,PROP,PER,Old Gooseberry
334,33082,33082,PROP,PER,Snooks
335,33084,33084,PROP,PER,Mops
336,33086,33086,PROP,PER,Cutaway
337,33460,33460,PROP,PER,benignantly
338,33842,33843,PROP,PER,Doctor Haggage
339,34731,34731,PROP,PER,Bob
340,34796,34796,PROP,PER,Prime
341,34811,34811,PROP,PER,Hem
342,37184,37184,PROP,PER,Fanny
343,37570,37570,PROP,PER,Edward
344,37578,37578,PROP,PER,Tip
345,38365,38365,PROP,PER,Slingo
346,38416,38416,PROP,PER,Horses
347,40187,40188,PROP,PER,William Dorrit
348,43862,43863,PROP,PER,The Snuggery
349,46007,46008,PROP,PER,Miss Dorrit
350,46020,46021,PROP,PER,Miss Dorrits
351,46263,46264,PROP,PER,MR CRIPPLES
352,46273,46274,PROP,PER,EVENING TUITION
353,46345,46347,PROP,PER,Mr _ Dorrit
354,46392,46393,PROP,PER,Old Dorrit
355,46398,46399,PROP,PER,Dirty Dick
356,47841,47842,PROP,PER,Beau Nash
357,49350,49352,PROP,PER,Mr Tite Barnacle
358,49932,49932,PROP,PER,Plornish
359,52855,52855,PROP,PER,Legion
360,53335,53338,PROP,PER,The Tite Barnacle Branch
361,53534,53535,PROP,PER,Barnacle Junior
362,53599,53603,PROP,PER,Mrs Tite Barnacle nee Stiltstalking
363,54418,54419,PROP,PER,Young Barnacle
364,54622,54622,PROP,PER,Punch
365,55486,55488,PROP,PER,Sir Thomas Lawrence
366,55807,55808,PROP,PER,the Crown
367,56436,56436,PROP,PER,Egad
368,56692,56692,PROP,PER,Jenkinson
369,56702,56703,PROP,PER,Mr Wobbler
370,56951,56951,PROP,PER,Dog
371,57184,57185,PROP,PER,Mr Clive
372,57413,57414,PROP,PER,"Arthur Clennam,--and"
373,58616,58616,PROP,PER,Thankâ€™ee
374,59222,59222,PROP,PER,Doyce
375,61709,61709,PROP,PER,Britannia
80,61860,61860,PROP,PER,Chalons
377,61870,61870,PROP,PER,Cain
378,61903,61903,PROP,PER,miry
379,63818,63818,PROP,PER,Biraud
380,63974,63974,PROP,PER,Day
381,64104,64104,PROP,PER,Ay
382,64459,64459,PROP,PER,Hola
383,65214,65214,PROP,PER,Lagnier
384,65660,65660,PROP,PER,Bacchus
385,66864,66865,PROP,PER,William Shakespeare
386,67371,67373,PROP,PER,the Bleeding Heart
387,67709,67710,PROP,PER,Mrs Plornish
389,68849,68850,PROP,PER,Little Dorrit.--I
390,68978,68978,PROP,PER,Intimate
391,69024,69026,PROP,PER,The Bleeding Hearts
392,69179,69179,PROP,PER,Dursnâ€™t
393,69367,69367,PROP,PER,Sally
394,69524,69526,PROP,PER,Ho Miss Dorrit
395,69690,69691,PROP,PER,Mr Casby
396,69705,69705,PROP,PER,Pancks
397,70125,70186,PROP,PER,"Captain Maroon of Gloucestershire , a private friend of Captain Barbary ) ; who happened to be there , in a friendly way , to mention these little circumstances concerning the remarkably fine grey gelding to any real judge of a horse and quick snapper - up of a good thing , who might look in at that address as per advertisement"
398,70975,70975,PROP,PER,Beef
399,71062,71062,PROP,PER,Hallo
499,71597,71598,PROP,PER,Flora Casby
402,72743,72745,PROP,PER,Old Christopher Casby
403,72752,72755,PROP,PER,Lord Decimus Tite Barnacle
404,73544,73544,PROP,PER,Little--
405,73772,73773,PROP,PER,The Patriarchs
406,74864,74865,PROP,PER,Robinson Crusoe
407,75305,75305,PROP,PER,Papa
408,75361,75361,PROP,PER,Mama
409,76024,76024,PROP,PER,Arthur!--pray
410,76252,76253,PROP,PER,Mrs Finching
411,76332,76333,PROP,PER,Mr F.
412,76626,76626,PROP,PER,Mandarinesses
413,76873,76873,PROP,PER,Clennam--â€˜all
414,76933,76933,PROP,PER,Paul
415,76935,76935,PROP,PER,Virginia
416,76989,76990,PROP,PER,Pekin Nankeen
417,78752,78753,PROP,PER,the Mind
418,78874,78874,PROP,PER,Barnes
419,79768,79768,PROP,PER,Fate
420,81294,81294,PROP,PER,Porteghee
421,81306,81306,PROP,PER,Prooshan
422,81697,81697,PROP,PER,Courage
11230,84893,84893,PROP,PER,Uncle
423,85512,85513,PROP,PER,Little Dorrit--â€˜this
425,93181,93183,PROP,PER,Sleepy - Head
426,94727,94728,PROP,PER,Mr Doyce
427,97343,97343,PROP,PER,Neptune
428,97495,97497,PROP,PER,Sebastian del Piombo
429,97522,97522,PROP,PER,Titian
430,97833,97833,PROP,PER,Minnie
431,97838,97838,PROP,PER,Lillie
432,98891,98892,PROP,PER,Miss Wade?--where
433,99646,99647,PROP,PER,Mrs Tickit
434,99790,99791,PROP,PER,Doctor Buchan
435,99844,99845,PROP,PER,Dr Buchan
436,101651,101652,PROP,PER,Miss Minnie
437,101968,101968,PROP,PER,Confusion
438,102320,102320,PROP,PER,Lion
576,102379,102380,PROP,PER,Mrs Gowan
440,102528,102529,PROP,PER,Clarence Barnacle
441,102631,102633,PROP,PER,Lady Jemima Bilberry
442,102654,102655,PROP,PER,Lady Seraphina
443,102674,102677,PROP,PER,the Honourable Clementina Toozellem
444,102715,102716,PROP,PER,a Joddleby.--I
445,102847,102848,PROP,PER,Lady Stiltstalking
446,104078,104078,PROP,PER,Claudes
447,104239,104239,PROP,PER,Mahomet
448,104483,104483,PROP,PER,Ecod
449,105994,105995,PROP,PER,Young John
450,106589,106590,PROP,PER,Head Turnkey
451,106742,106743,PROP,PER,Mrs Chivery
452,106929,106930,PROP,PER,Mr Chivery
453,106969,106970,PROP,PER,Good Fortune
454,107255,107256,PROP,PER,Chivery Senior
455,107405,107406,PROP,PER,the Chiveries
456,107923,107924,PROP,PER,The Collegians
11511,108226,108226,PROP,PER,Miss
457,108957,108958,PROP,PER,Mr John
458,111438,111438,PROP,PER,Frederick--
459,113191,113192,PROP,PER,the Collegian
460,113677,113679,PROP,PER,a certain Jackson
461,113778,113779,PROP,PER,Captain Martin
462,118192,118192,PROP,PER,Fanny--
463,119228,119228,PROP,PER,Amys
464,119727,119728,PROP,PER,Mrs Merdle
465,119793,119793,PROP,PER,powder
466,120455,120455,PROP,PER,Society
467,120469,120469,PROP,PER,Bird
468,122305,122305,PROP,PER,Lo
469,122327,122327,PROP,PER,Indians
470,124299,124299,PROP,PER,Storr
471,124301,124301,PROP,PER,Mortimer
472,124864,124864,PROP,PER,Sparkler
473,125249,125250,PROP,PER,Brother Bellows
474,125330,125330,PROP,PER,Admiralty
475,125339,125339,PROP,PER,Treasury
476,125363,125363,PROP,PER,Bishop
477,125745,125745,PROP,PER,Juno
478,125750,125750,PROP,PER,Judith
479,125752,125752,PROP,PER,Bar
480,125764,125765,PROP,PER,Brothers Bellows
481,125767,125767,PROP,PER,Bench
482,126536,126536,PROP,PER,Societyâ€™s
483,127609,127609,PROP,PER,Achilles
484,127830,127830,PROP,PER,Patience
485,127868,127871,PROP,PER,A Puzzle Mr Clennam
486,128460,128461,PROP,PER,Bengal Cheroots
137,129094,129095,PROP,PER,Horsemonger Lane
488,129362,129362,PROP,PER,Similarly
489,131054,131054,PROP,PER,Lor
490,132923,132923,PROP,PER,Whereas
491,134052,134052,PROP,PER,Abel
492,134347,134347,PROP,PER,"Arthur,--I"
493,134675,134676,PROP,PER,Dear Arthur
38,134745,134745,PROP,PER,China
4034,134916,134916,PROP,PER,Aunt
495,135915,135916,PROP,PER,Mr F.â€™s--
496,136698,136698,PROP,PER,Mercy
497,137700,137700,PROP,PER,Heâ€™--too
498,141363,141364,PROP,PER,Miss Floraâ€™--Flora
500,141815,141815,PROP,PER,Jews
501,144599,144599,PROP,PER,Regarded
502,145275,145275,PROP,PER,Deuce
503,146029,146029,PROP,PER,Fame
504,147494,147494,PROP,PER,Chicking
506,148938,148938,PROP,PER,RUGG
507,149126,149127,PROP,PER,Miss Rugg
508,150354,150358,PROP,PER,the yellow - haired Ruggs
509,150502,150502,PROP,PER,Anastatia
510,150863,150863,PROP,PER,Bawkins
511,152305,152305,PROP,PER,British
512,152413,152413,PROP,PER,Providence
513,152658,152659,PROP,PER,the Plornishes
514,152855,152855,PROP,PER,Friday
515,154529,154529,PROP,PER,Yes!--I
516,154614,154615,PROP,PER,Miss Meagles
517,154655,154655,PROP,PER,Mr--
518,155804,155804,PROP,PER,Jove
519,156257,156257,PROP,PER,Jupiter
520,157394,157396,PROP,PER,Lord Lancaster Stiltstalking
521,157443,157443,PROP,PER,Englishman
522,157709,157710,PROP,PER,John Barnacle
523,157774,157775,PROP,PER,Augustus Stiltstalking
524,157808,157809,PROP,PER,William Barnacle
525,157811,157812,PROP,PER,Tudor Stiltstalking
526,157925,157926,PROP,PER,Harry Barnacle
527,158492,158493,PROP,PER,Miss Mickles
528,158495,158495,PROP,PER,Miggles
529,161173,161173,PROP,PER,Clennam!--Tattycoram
531,163674,163675,PROP,PER,The pastrycook
532,167447,167447,PROP,PER,Pump
533,175449,175449,PROP,PER,Preserve
534,175464,175464,PROP,PER,Timorous
535,175627,175627,PROP,PER,Blandois
536,175662,175662,PROP,PER,Paris--
537,175671,175671,PROP,PER,Paris
538,176012,176013,PROP,PER,M. Blandois
539,179003,179003,PROP,PER,Belgians
540,181594,181595,PROP,PER,Holy Blue
541,183440,183441,PROP,PER,Old Nandy
542,183601,183602,PROP,PER,Lord Chancellor
543,183628,183629,PROP,PER,Lord Chamberlain
544,183650,183650,PROP,PER,Chloe
545,183653,183653,PROP,PER,Phyllis
546,183656,183656,PROP,PER,Strephon
547,184564,184566,PROP,PER,John Edward Nandy
548,185847,185847,PROP,PER,Pa
176,188340,188340,PROP,PER,Union
550,189126,189126,PROP,PER,Spirit
551,190346,190346,PROP,PER,Christian
553,191009,191009,PROP,PER,Harmony
13051,191233,191235,PROP,PER,Dear Little Dorrit
505,192910,192910,PROP,PER,Princess
554,194524,194524,PROP,PER,Pancks.--â€˜Eh
555,194603,194604,PROP,PER,Mr Clennam?--Eh
556,195704,195705,PROP,PER,the Miggleses
557,197173,197174,PROP,PER,Edmund Sparkler
558,197215,197216,PROP,PER,John Barnacleâ€™s!--and
559,197228,197228,PROP,PER,Thingummy
560,201061,201061,PROP,PER,Prospero
561,203227,203229,PROP,PER,Miss Tite Barnacles
562,203414,203415,PROP,PER,Old Rome
563,203650,203650,PROP,PER,Bill
564,204224,204247,PROP,PER,"less distinguished Parliamentary Barnacles , who had not as yet got anything snug , and were going through their probation to prove their worthiness"
565,204783,204784,PROP,PER,the Meagleses
566,207734,207736,PROP,PER,the Woodpecker Tapping
567,209105,209105,PROP,PER,Mines
568,212993,212996,PROP,PER,Messrs Peddle and Pool
569,215410,215413,PROP,PER,Sir Roger de Coverley
570,215522,215523,PROP,PER,Good Gracious
571,215982,215983,PROP,PER,Dear Amy
193,217374,217377,PROP,PER,the Great Saint Bernard
573,218422,218423,PROP,PER,Mrs General
574,219592,219592,PROP,PER,Sparks
575,220108,220108,PROP,PER,Maâ€™amselle
5835,223807,223825,PROP,PER,"William Dorrit , Esquire Frederick Dorrit , Esquire Edward Dorrit , Esquire Miss Dorrit Miss Amy Dorrit Mrs General"
577,225132,225133,PROP,PER,Mrs General--â€˜though
578,227524,227525,PROP,PER,Mr Edward
5925,227698,227699,PROP,PER,Neither Mr
579,228266,228266,PROP,PER,Hum
580,229445,229448,PROP,PER,"Frederick Dorrit , Esquire"
581,229912,229912,PROP,PER,Monseigneur
582,230232,230234,PROP,PER,Monsieur the Courier
5975,230720,230720,PROP,PER,Lady
583,230922,230922,PROP,PER,Row
584,230964,230964,PROP,PER,Regularly
585,234038,234042,PROP,PER,Little Dorrit Dear Mr Clennam
6161,234560,234563,PROP,PER,Mr and Mrs Plornish
586,236014,236015,PROP,PER,Mr Tinkler
587,237492,237495,PROP,PER,the celebrated Mr Eustace
190,242075,242075,PROP,PER,Martigny
590,244437,244439,PROP,PER,Monsieur Blandois of
591,245726,245727,PROP,PER,the Merdles
592,246580,246581,PROP,PER,Professore Mio
593,246603,246605,PROP,PER,Cattivo Soggetto Mio
594,246725,246727,PROP,PER,di San Marco
595,247989,247990,PROP,PER,Young Sparkler
596,248431,248432,PROP,PER,Little Dorrit--â€˜I
597,249850,249850,PROP,PER,Dante
598,250267,250267,PROP,PER,Venus
599,251154,251155,PROP,PER,The Merman
600,251414,251415,PROP,PER,the Doges
601,251423,251423,PROP,PER,Prunes
602,252373,252373,PROP,PER,Pa.
6587,253464,253464,PROP,PER,Master
603,256259,256261,PROP,PER,the Mrs Generals
604,257895,257895,PROP,PER,Clennam--â€˜this
605,259085,259085,PROP,PER,Nay
606,260920,260921,PROP,PER,Poor Henry
607,261089,261090,PROP,PER,Pretty One
608,262262,262262,PROP,PER,Maâ€™am
609,263093,263093,PROP,PER,Disappearance
610,263365,263366,PROP,PER,the Allongers
611,263918,263918,PROP,PER,Cavallooro
612,267781,267782,PROP,PER,Arthur Doyce
613,268254,268254,PROP,PER,Belvederes
614,268361,268361,PROP,PER,Maccaroni
615,268409,268409,PROP,PER,Mantua
616,269474,269474,PROP,PER,Miss--
617,269575,269576,PROP,PER,Mr Casby--
618,272481,272490,PROP,PER,"his old Blandois , who comes from arriving in England"
619,277934,277935,PROP,PER,Little D.
620,278855,278855,PROP,PER,Jobbery
621,278935,278935,PROP,PER,Whittington
622,279085,279087,PROP,PER,the Chief Butler
623,279544,279544,PROP,PER,Ferdinand
624,279789,279789,PROP,PER,Humph
625,279888,279889,PROP,PER,Captain Macheath
626,280122,280122,PROP,PER,Gay
627,280317,280319,PROP,PER,Young Mr Bishop
628,280669,280669,PROP,PER,Humbug
629,280700,280701,PROP,PER,Dr Johnson
631,280936,280936,PROP,PER,Chorus
632,281012,281012,PROP,PER,Cuyp
633,283219,283220,PROP,PER,Mr Darrit
634,284602,284603,PROP,PER,Blinkiter Doddles
636,284992,284992,PROP,PER,Dresser
213,285100,285100,PROP,PER,Eton
638,285410,285411,PROP,PER,respectable Nemesis
639,285928,285929,PROP,PER,Mary Anne
640,286263,286263,PROP,PER,Defaulter
641,287173,287174,PROP,PER,M. Plornish
642,287729,287729,PROP,PER,Millions
643,288744,288744,PROP,PER,Padrona
645,293427,293429,PROP,PER,the remiss Britons
646,293675,293676,PROP,PER,the Bosom
647,294196,294197,PROP,PER,little Mole
648,294296,294297,PROP,PER,Miss Bat
649,295270,295271,PROP,PER,Poor Edward
650,296624,296624,PROP,PER,Figure
651,297925,297926,PROP,PER,Mr Sparkler--â€˜and
652,300512,300513,PROP,PER,Mrs General--
653,302840,302840,PROP,PER,Milton
654,302842,302842,PROP,PER,Bacon
655,303845,303846,PROP,PER,little Tortoise
656,305163,305164,PROP,PER,Edgardo Dorrit
202,305461,305462,PROP,PER,St Peter
658,305503,305503,PROP,PER,Bride
659,306996,306996,PROP,PER,Nature
660,307278,307279,PROP,PER,Mrs Sparkler
661,307318,307319,PROP,PER,Guy Fawkes
662,307963,307964,PROP,PER,Miss Mairdale
663,310784,310784,PROP,PER,Substitute
664,311432,311432,PROP,PER,Goodness
665,311522,311525,PROP,PER,the late Mr Finching
666,313121,313122,PROP,PER,Mr F
667,316263,316264,PROP,PER,Miss Biffin
668,318480,318480,PROP,PER,Charity
669,318509,318510,PROP,PER,Le Brun
670,321616,321617,PROP,PER,Dear Frederick
671,323121,323121,PROP,PER,Potatoes
672,323123,323123,PROP,PER,Poultry
673,325851,325852,PROP,PER,gentle turnkey
674,328179,328179,PROP,PER,Seer
675,330344,330344,PROP,PER,Wrung
676,333209,333209,PROP,PER,Charlotte
677,334411,334411,PROP,PER,Dawes
172,335179,335179,PROP,PER,Vanity
679,338871,338872,PROP,PER,Saxon Alfred
680,340295,340295,PROP,PER,Benefactor
681,340552,340554,PROP,PER,Giovanni Baptista Cavalletto
682,343150,343150,PROP,PER,mackerel
683,345811,345811,PROP,PER,Arthurâ€™s
684,345906,345906,PROP,PER,Affery--â€˜Jeremiah
685,347212,347212,PROP,PER,Rumour
686,348471,348472,PROP,PER,Quinbus Flestrin
687,349484,349485,PROP,PER,Dearest Amy
688,349790,349790,PROP,PER,Mouse
689,350032,350032,PROP,PER,Perfection
690,350200,350201,PROP,PER,Yellow Jack
691,352106,352107,PROP,PER,Greenwich Pensioner
692,352879,352879,PROP,PER,Banquo
693,357381,357381,PROP,PER,Beast
694,365511,365513,PROP,PER,Poor John Chivery
695,366901,366901,PROP,PER,Certainty!â€™--as
696,368007,368008,PROP,PER,Mooshattonisha padrona
217,368297,368298,PROP,PER,Happy Cottage
698,371017,371018,PROP,PER,the Nobs
699,372616,372616,PROP,PER,Salve
700,373081,373082,PROP,PER,the French
701,373088,373089,PROP,PER,the Germans
703,373468,373468,PROP,PER,Signore
704,373493,373494,PROP,PER,Signor Panco
705,373696,373696,PROP,PER,Philosopher
706,375670,375671,PROP,PER,RIGAUD BLANDOIS
707,375688,375689,PROP,PER,Madame F.
708,376062,376062,PROP,PER,Pig
709,376278,376280,PROP,PER,Della bella Gowana
710,376441,376441,PROP,PER,Effectively
711,377489,377490,PROP,PER,the Pigs
712,377646,377647,PROP,PER,Beau Flintwinch
713,383418,383418,PROP,PER,Faith
714,383439,383439,PROP,PER,Death
715,384224,384224,PROP,PER,Chatterbox
716,386331,386331,PROP,PER,Accident
717,387804,387805,PROP,PER,Madame Flintwinch
719,388951,388952,PROP,PER,Mr Beelzebub
720,389296,389299,PROP,PER,old Mr Gilbert Clennam
721,390228,390228,PROP,PER,Satan
722,390720,390720,PROP,PER,Jehovah
723,391069,391069,PROP,PER,Wretch
724,391191,391193,PROP,PER,Monsieur Gilbert Clennam
725,392751,392752,PROP,PER,Little Flintwinch
726,393069,393070,PROP,PER,Madame Clennam
727,393076,393077,PROP,PER,Monsieur Flintwinch
728,393851,393851,PROP,PER,Jezebel
729,394047,394047,PROP,PER,Ephraim
730,394922,394923,PROP,PER,Monsieur Frederick
731,396354,396354,PROP,PER,Bedlam
732,400409,400411,PROP,PER,Mynheer von Flyntevynge
733,403020,403020,PROP,PER,Grind
734,403172,403172,PROP,PER,Shabby
736,410076,410076,PROP,PER,Blossom
