COREF,start_token,end_token,prop,cat,text
218,171,172,PROP,PER,Mr Pecksniff
219,211,212,PROP,PER,Jonas Chuzzlewit
220,506,507,PROP,PER,Mr Bevan
221,556,557,PROP,PER,Young Martin
222,559,560,PROP,PER,Mark Tapley
223,772,774,PROP,PER,Mrs Sarah Gamp
224,831,833,PROP,PER,Mrs Betsey Prig
225,1624,1625,PROP,PER,CHARLES DICKENS
226,1659,1661,PROP,PER,the Chuzzlewit Family
227,1690,1690,PROP,PER,Adam
228,1692,1692,PROP,PER,Eve
229,1918,1919,PROP,PER,the Chuzzlewits
230,1992,1994,PROP,PER,William the Conqueror
231,2192,2194,PROP,PER,William the Conquered
232,2235,2235,PROP,PER,Fawkes
233,2899,2900,PROP,PER,Guy Fawkes
234,3073,3074,PROP,PER,Diggory Chuzzlewit
235,3083,3084,PROP,PER,Duke Humphrey
236,3180,3181,PROP,PER,Gracious Company
237,3285,3286,PROP,PER,Toby Chuzzlewit
238,3339,3342,PROP,PER,The Lord No Zoo
239,4513,4514,PROP,PER,THE READER
241,5918,5919,PROP,PER,Miss Pecksniff
242,6459,6459,PROP,PER,Pa
243,6576,6578,PROP,PER,the Miss Pecksniffs
244,7144,7144,PROP,PER,Mercy
245,7369,7369,PROP,PER,Nature
246,8814,8815,PROP,PER,Silly Merry
247,9330,9331,PROP,PER,John Westlock
248,10320,10320,PROP,PER,Pray
249,10926,10927,PROP,PER,Poor Pinch
250,11304,11304,PROP,PER,Savage
251,11856,11856,PROP,PER,Heaven
252,16204,16204,PROP,PER,Father
253,16574,16574,PROP,PER,Mary
254,16724,16725,PROP,PER,Dear heart
255,17119,17120,PROP,PER,Mrs Lupin
256,23945,23946,PROP,PER,Saint George
257,24332,24333,PROP,PER,Chevy Slyme
258,24669,24669,PROP,PER,Miltonic
259,24997,24997,PROP,PER,"sir,--which"
260,25040,25041,PROP,PER,Napoleon Bonaparte
261,25164,25164,PROP,PER,Tigg
262,25169,25170,PROP,PER,Montague Tigg
263,25227,25227,PROP,PER,Lucifer
264,25333,25333,PROP,PER,Shakspearian
265,25699,25699,PROP,PER,Chiv
266,25825,25825,PROP,PER,Hamlet
267,25828,25828,PROP,PER,Hercules
1206,26585,26585,PROP,PER,Mr
268,26587,26588,PROP,PER,Mrs Spottletoe
270,26713,26714,PROP,PER,Anthony Chuzzlewit
271,26752,26752,PROP,PER,Mammon
272,27027,27027,PROP,PER,Hem
273,27729,27730,PROP,PER,Messrs Tigg
274,28692,28693,PROP,PER,Mr Spottletoe
9383,28932,28934,PROP,PER,Mr Martin Chuzzlewit
275,29162,29163,PROP,PER,George Chuzzlewit
276,30944,30944,PROP,PER,Bridewell
277,31414,31414,PROP,PER,Sirens
278,31609,31610,PROP,PER,Mrs Ned
279,33447,33447,PROP,PER,Sam
11,34650,34650,PROP,PER,Salisbury
281,34693,34693,PROP,PER,Thankee
1353,35444,35444,PROP,PER,Lord
282,36125,36125,PROP,PER,Undertaking
283,37219,37219,PROP,PER,Geneva
284,37532,37534,PROP,PER,poor Robinson Crusoe
285,37557,37558,PROP,PER,Philip Quarn
286,37633,37633,PROP,PER,Abudah
287,37665,37666,PROP,PER,Cassim Baba
1415,39110,39118,PROP,PER,the Mr Martin for whom you were to inquire
