COREF,start_token,end_token,prop,cat,text
195,405,405,PROP,PER,Heaven
196,471,471,PROP,PER,STRAP
197,473,474,PROP,PER,TOM PIPES
198,477,478,PROP,PER,SANCHO PANZA
199,1143,1143,PROP,PER,Weel
200,1145,1145,PROP,PER,Misther
201,1199,1199,PROP,PER,Ar
202,1319,1320,PROP,PER,John Browdie
203,1393,1394,PROP,PER,Mr. Squeers
204,2023,2025,PROP,PER,the BROTHERS CHEERYBLE
207,2237,2237,PROP,PER,Nicholas
206,2309,2374,PROP,PER,"one Mr. Godfrey Nickleby : a worthy gentleman , who , taking it into his head rather late in life that he must get married , and not being young enough or rich enough to aspire to the hand of a lady of fortune , had wedded an old flame out of mere attachment , who in her turn had taken him for the same reason"
208,2818,2820,PROP,PER,Mr. Ralph Nickleby
209,4332,4332,PROP,PER,Fiddle
210,4387,4387,PROP,PER,Kate
211,6308,6308,PROP,PER,Noggs
212,6631,6631,PROP,PER,Ruddle
213,6817,6818,PROP,PER,Mr. Bonney
214,6920,6922,PROP,PER,Sir Matthew Pupker
215,7067,7074,PROP,PER,United Metropolitan Improved Hot Muffin and Crumpet Baking
216,8344,8345,PROP,PER,Mr. Punch
217,8726,8728,PROP,PER,the Muffin Boys
218,9007,9007,PROP,PER,Snooks
219,9011,9011,PROP,PER,Walker
220,9015,9015,PROP,PER,Ferguson
221,9020,9020,PROP,PER,Murphy
222,11402,11403,PROP,PER,La Creevy
223,11474,11474,PROP,PER,Hannah
224,11604,11605,PROP,PER,Mrs. La
225,11823,11823,PROP,PER,God
226,15693,15694,PROP,PER,Miss Nickleby
227,15944,15944,PROP,PER,Saracen
228,16392,16392,PROP,PER,Saracens
229,17500,17500,PROP,PER,Richard
230,17552,17552,PROP,PER,Affecting
231,17654,17655,PROP,PER,Mrs. Squeers
232,17874,17874,PROP,PER,Snawley
233,17959,17959,PROP,PER,Hem
3,18140,18140,PROP,PER,Yorkshire
235,19497,19499,PROP,PER,Mr Nicholas Nickleby
236,19607,19607,PROP,PER,Dorker
237,20051,20052,PROP,PER,Master Belling
238,21006,21006,PROP,PER,Porson
239,21017,21018,PROP,PER,Doctor Johnson
8907,21407,21407,PROP,PER,Uncle
240,22710,22710,PROP,PER,Romans
241,22850,22850,PROP,PER,Necessity
242,23549,23549,PROP,PER,William
243,26178,26178,PROP,PER,Dick
244,27382,27382,PROP,PER,Gentlemen
245,27452,27452,PROP,PER,Matther
246,28605,28605,PROP,PER,Landlord
247,29434,29437,PROP,PER,King Henry the Fourth
248,29710,29710,PROP,PER,Eden
249,29832,29832,PROP,PER,Alice
250,29973,29974,PROP,PER,St Benedict
251,30509,30509,PROP,PER,Father
252,31467,31467,PROP,PER,Sisters
253,33952,33955,PROP,PER,THE BARON OF GROGZWIG
254,34757,34757,PROP,PER,Nimrod
256,34946,34948,PROP,PER,the Lincoln greens
257,34994,34997,PROP,PER,the Baron Von Swillenhausen
258,35758,35761,PROP,PER,the Baroness Von Koeldwethout
259,36008,36010,PROP,PER,Baroness Von Swillenhausen
260,36682,36685,PROP,PER,the Lord of Grogzwig
261,36949,36949,PROP,PER,Halloa
262,38164,38164,PROP,PER,Dispatch
263,38230,38232,PROP,PER,the Von Swillenhausens
9375,38668,38668,PROP,PER,Mr.
264,39222,39222,PROP,PER,Smike
1577,39302,39302,PROP,PER,Missus
265,39638,39638,PROP,PER,Murray
266,39779,39779,PROP,PER,Squeery
267,40710,40710,PROP,PER,Devil
9442,41019,41019,PROP,PER,Mrs.
268,41088,41089,PROP,PER,Mr. Knuckleboy
269,41409,41409,PROP,PER,Lor
270,41861,41861,PROP,PER,Nickelby
271,41875,41875,PROP,PER,Brooks
272,41898,41898,PROP,PER,Jennings
273,41900,41901,PROP,PER,little Bolder
274,41903,41903,PROP,PER,Graymarsh
275,43170,43170,PROP,PER,Drat
277,46303,46304,PROP,PER,Mr. Squeer
278,47190,47190,PROP,PER,Cobbey
279,47445,47445,PROP,PER,Providence
280,47578,47578,PROP,PER,Mobbs
281,48276,48277,PROP,PER,Dotheboys Hall
282,49140,49141,PROP,PER,Miss Squeers
283,49163,49164,PROP,PER,the Squeerses
284,52620,52620,PROP,PER,Tilda
285,53971,53973,PROP,PER,Miss Matilda Price
286,54132,54133,PROP,PER,Old wooman
287,54258,54258,PROP,PER,Ecod
288,56546,56546,PROP,PER,Minx
289,60335,60335,PROP,PER,Mantalini
290,60337,60338,PROP,PER,Madame Mantalini
