COREF,start_token,end_token,prop,cat,text
70,8,9,PROP,PER,Charles Dickens
71,1533,1533,PROP,PER,God
72,2155,2155,PROP,PER,Nell
74,2762,2762,PROP,PER,Heaven
75,3082,3084,PROP,PER,dear old Kit
76,3992,3992,PROP,PER,Tush
77,7206,7207,PROP,PER,Dick Swiveller
78,7236,7237,PROP,PER,Mr Swiveller
79,7487,7487,PROP,PER,Fred
80,8420,8420,PROP,PER,Jamaica
81,10073,10073,PROP,PER,Harkee
82,10075,10075,PROP,PER,Mr--
83,10087,10087,PROP,PER,Quilp
84,10103,10104,PROP,PER,Daniel Quilp
85,11874,11874,PROP,PER,Grandfather
598,12797,12797,PROP,PER,Mr
86,13763,13765,PROP,PER,Mrs Jiniwinâ€™--Mrs Quilp
87,13769,13770,PROP,PER,Miss Jiniwin
88,13798,13799,PROP,PER,Mrs Jiniwin
89,13965,13965,PROP,PER,Betsy
90,14522,14522,PROP,PER,Mother
91,14703,14704,PROP,PER,Mrs George
92,15140,15141,PROP,PER,Mrs Simmons
93,15162,15163,PROP,PER,Henrietta Simmons
94,18699,18699,PROP,PER,Having
95,19927,19927,PROP,PER,Halloa
96,20063,20063,PROP,PER,Humph
97,21571,21572,PROP,PER,Nelly Trent
98,21762,21763,PROP,PER,Dear Quilp
100,24490,24491,PROP,PER,Young Trent
101,24549,24549,PROP,PER,Pshaw
102,24578,24579,PROP,PER,Mr Trent
103,24815,24816,PROP,PER,the Swivellers
104,24850,24850,PROP,PER,Bah!â€™d
105,26432,26433,PROP,PER,Mister Snivelling
106,26507,26508,PROP,PER,Sophy Wackles
107,26632,26634,PROP,PER,The Goddess Diana
108,28558,28560,PROP,PER,Miss Melissa Wackles
109,28592,28594,PROP,PER,Miss Jane Wackles
110,28608,28609,PROP,PER,Mrs Wackles
111,29212,29212,PROP,PER,Cheggs
112,29233,29234,PROP,PER,Miss Cheggs
113,29323,29323,PROP,PER,Alick
115,29908,29909,PROP,PER,Richard Swiviller
116,29915,29916,PROP,PER,Mr Swiviller
117,29952,29952,PROP,PER,Jane--
118,30165,30166,PROP,PER,Mr Chegg
119,30258,30258,PROP,PER,Hem
914,30545,30545,PROP,PER,Mrs
120,31247,31247,PROP,PER,Maâ€™am
121,34567,34567,PROP,PER,Neighbour
122,36027,36027,PROP,PER,Nelly--
123,37391,37392,PROP,PER,Mrs Nubbles
124,37867,37867,PROP,PER,Kit--
125,39683,39683,PROP,PER,Brass
126,40017,40017,PROP,PER,Luckily
127,40088,40089,PROP,PER,Mr Brass
129,43925,43925,PROP,PER,Thursday
130,46069,46073,PROP,PER,Sampson Brass of Bevis Marks
131,47253,47253,PROP,PER,Damme
132,48147,48148,PROP,PER,Frederick Trent
133,48857,48858,PROP,PER,Perpetual Grand
134,49113,49113,PROP,PER,Seated
135,49936,49937,PROP,PER,little Jacob
136,51527,51527,PROP,PER,Whisker
137,51592,51592,PROP,PER,Witherden
138,52179,52180,PROP,PER,Mr Garland
139,52404,52404,PROP,PER,Chuckster
140,52499,52500,PROP,PER,Mr Tomkinley
141,52912,52913,PROP,PER,Young Snob
143,58447,58447,PROP,PER,Punch
144,58695,58696,PROP,PER,Tommy Codlin
145,61899,61899,PROP,PER,Trotters
146,62028,62028,PROP,PER,Harris
147,62611,62611,PROP,PER,Punches
148,63069,63069,PROP,PER,Grinder
149,63078,63079,PROP,PER,Mr Short
150,63902,63904,PROP,PER,The Jolly Sandboys
151,66041,66041,PROP,PER,Jerry
152,66305,66305,PROP,PER,Pedro
153,66505,66505,PROP,PER,Toby
154,67145,67145,PROP,PER,Carlo
155,67402,67402,PROP,PER,Vuffin
156,67418,67419,PROP,PER,Sweet William
157,67952,67953,PROP,PER,old Maunders
158,68934,68934,PROP,PER,Shortâ€™--a
159,70637,70638,PROP,PER,Dear Nelly
160,73609,73609,PROP,PER,Father
161,74692,74693,PROP,PER,Mrs Garland
162,75147,75148,PROP,PER,Mrs Green
163,75176,75177,PROP,PER,Mr Brown
164,75638,75638,PROP,PER,Sundays
165,75932,75932,PROP,PER,Holloa
166,77444,77446,PROP,PER,Mrs Richard Swiveller
167,77494,77494,PROP,PER,Cheggs--
