COREF,start_token,end_token,prop,cat,text
123,7,8,PROP,PER,OLIVER TWIST
124,433,433,PROP,PER,Nature
125,697,697,PROP,PER,Lor
126,881,882,PROP,PER,Mrs. Thingummy
127,2233,2234,PROP,PER,Mrs. Mann
128,2250,2251,PROP,PER,Mr. Bumble
129,2302,2302,PROP,PER,Susan
130,2737,2737,PROP,PER,Beadles
131,2972,2973,PROP,PER,Mr. B.
132,2985,2985,PROP,PER,Daffy
133,3368,3368,PROP,PER,Unwin
134,3373,3373,PROP,PER,Vilkins
136,5691,5691,PROP,PER,Child
137,5882,5883,PROP,PER,Mr. Limbkins
138,6758,6759,PROP,PER,Mr. Gamfield
139,8422,8423,PROP,PER,Oliver!â€”seventy shillins
140,9575,9575,PROP,PER,Beadle
141,10320,10321,PROP,PER,Mr. Sowerberry
142,11605,11605,PROP,PER,Hem
143,12707,12708,PROP,PER,Mrs. Sowerberry
144,12997,12997,PROP,PER,Charlotte
145,14250,14250,PROP,PER,Workâ€™us
146,14288,14290,PROP,PER,Mister Noah Claypole
783,14961,14961,PROP,PER,Mr.
147,15688,15688,PROP,PER,Bayton
4810,17375,17375,PROP,PER,Lord
148,17417,17417,PROP,PER,Lord!â€”to
149,18102,18102,PROP,PER,Bill
150,19768,19768,PROP,PER,Crimson
151,19949,19949,PROP,PER,Char
152,20364,20365,PROP,PER,Poor Noah
153,20673,20677,PROP,PER,OLIVER CONTINUES REFRACTORY Noah Claypole
154,21234,21234,PROP,PER,Jove
155,23316,23316,PROP,PER,Dick
156,23537,23537,PROP,PER,Angels
157,25715,25715,PROP,PER,Morrice
158,26205,26206,PROP,PER,Jack Dawkins
159,26226,26227,PROP,PER,Mr. Dawkins
160,26892,26892,PROP,PER,Greenland
161,26895,26895,PROP,PER,Fagin
162,27431,27431,PROP,PER,Dodger
163,28636,28636,PROP,PER,Tush
164,29033,29034,PROP,PER,Charley Bates
165,29155,29155,PROP,PER,Lined
166,29976,29976,PROP,PER,Bet
167,29981,29981,PROP,PER,Nancy
168,30124,30124,PROP,PER,French
170,30583,30584,PROP,PER,THE CHARACTERS
171,32254,32254,PROP,PER,God
172,33734,33737,PROP,PER,the renowned Mr. Fang
173,34087,34087,PROP,PER,Brownlow
174,34963,34964,PROP,PER,Tom White
175,36266,36267,PROP,PER,THE NARRATIVE
176,36270,36273,PROP,PER,THE MERRY OLD GENTLEMAN
177,36737,36738,PROP,PER,Pretty creetur
178,37187,37188,PROP,PER,Mrs. Bedwin
179,39074,39075,PROP,PER,Oliver White
180,40572,40573,PROP,PER,CHAPTER XIII
181,40588,40590,PROP,PER,VARIOUS PLEASANT MATTERS
183,42250,42252,PROP,PER,Mr. William Sikes
185,45080,45081,PROP,PER,Dear heart
1792,46316,46317,PROP,PER,Mr. Grimwig
186,47461,47461,PROP,PER,Mealy
182,49249,49252,PROP,PER,THE MERRY OLD JEW
187,50656,50656,PROP,PER,Barney
188,50735,50735,PROP,PER,Dobody
189,50737,50738,PROP,PER,Biss Dadsy
190,52114,52114,PROP,PER,Bullâ€™s
191,52331,52332,PROP,PER,CHAPTER XVI
192,57572,57572,PROP,PER,Lauk
193,58064,58066,PROP,PER,The Clerkinwell Sessions
195,61766,61766,PROP,PER,Spiders
196,62647,62647,PROP,PER,So
197,62682,62682,PROP,PER,peaching
198,62936,62937,PROP,PER,young Green
199,64038,64039,PROP,PER,Tom Chitling
200,64063,64064,PROP,PER,Mr. Chitling
201,66249,66250,PROP,PER,Toby Crackit
202,67621,67621,PROP,PER,These
203,72290,72290,PROP,PER,Dâ€™ye
204,73052,73053,PROP,PER,THE EXPEDITION
205,74141,74141,PROP,PER,Ned
206,74499,74499,PROP,PER,Hampton
207,74859,74859,PROP,PER,Ecod
208,74957,74957,PROP,PER,Becky
209,76061,76062,PROP,PER,Bister Sikes
210,76425,76428,PROP,PER,Wud of Bister Fagid
211,79189,79190,PROP,PER,Mrs. Corney
212,79579,79580,PROP,PER,Mr. Corney
213,80366,80367,PROP,PER,Mr. Grannett
214,82159,82160,PROP,PER,Old Sally
215,82515,82520,PROP,PER,TREATS ON A VERY POOR SUBJECT
216,83359,83359,PROP,PER,Anny
217,83804,83804,PROP,PER,Martha
218,84865,84866,PROP,PER,kind Heaven
20,85964,85964,PROP,PER,Newgate
220,86188,86188,PROP,PER,Thoroughly
221,87263,87263,PROP,PER,Faguey
222,87378,87378,PROP,PER,Martin
223,87895,87895,PROP,PER,Damme
224,88601,88601,PROP,PER,Lively
225,88879,88880,PROP,PER,the Cripples
226,89872,89872,PROP,PER,Monks
227,90068,90069,PROP,PER,Phil Barker
228,90926,90927,PROP,PER,Jack Ketch
229,95440,95441,PROP,PER,Mr. Slout
230,97053,97054,PROP,PER,PROCEEDS WITH
231,97575,97575,PROP,PER,Pincher
232,97577,97577,PROP,PER,Neptune
233,97687,97688,PROP,PER,Mr. Giles
234,97850,97850,PROP,PER,Brittles
235,100331,100331,PROP,PER,Brittle
236,102208,102209,PROP,PER,Mrs. Maylie
237,102402,102403,PROP,PER,Miss Rose
238,102701,102702,PROP,PER,Mr. Losberne
239,102986,102987,PROP,PER,Doctor Losberne
240,103665,103665,PROP,PER,Vice
2775,103890,103890,PROP,PER,Aunt
241,105287,105287,PROP,PER,Misses
242,106531,106531,PROP,PER,Blathers
243,106533,106533,PROP,PER,Duff
244,106772,106773,PROP,PER,Messrs. Blathers
245,108814,108815,PROP,PER,Conkey Chickweed
246,108959,108959,PROP,PER,Nosey
247,109361,109362,PROP,PER,Jem Spyers
248,111708,111709,PROP,PER,Miss Maylie
249,112262,112262,PROP,PER,Halloa
250,117350,117351,PROP,PER,Harry Maylie
251,117973,117973,PROP,PER,Death
252,118283,118284,PROP,PER,Rose Maylie
253,119573,119581,PROP,PER,A YOUNG GENTLEMAN WHO NOW ARRIVES UPON THE SCENE
254,120399,120400,PROP,PER,Mr. Harry
255,120573,120574,PROP,PER,Mr. Maylie
256,120711,120711,PROP,PER,Mother
258,129553,129554,PROP,PER,Mrs. Bumble
259,129906,129906,PROP,PER,Goodness
260,132796,132797,PROP,PER,Young Twist
7393,133524,133524,PROP,PER,MR
261,137020,137020,PROP,PER,Agnes
262,138647,138647,PROP,PER,Illness
263,144413,144413,PROP,PER,Joe
264,144762,144762,PROP,PER,Brass
265,144810,144811,PROP,PER,the Dianas
266,148084,148085,PROP,PER,FRESH DISCOVERIES
267,149656,149657,PROP,PER,Mr. Browlow
268,152494,152498,PROP,PER,EXHIBITING DECIDED MARKS OF GENIUS
269,154499,154501,PROP,PER,Frob the cuttry
270,154819,154819,PROP,PER,Pockets
271,157099,157100,PROP,PER,Mr. Bolter
272,157121,157122,PROP,PER,Mrs. Bolter
80,157381,157381,PROP,PER,Cod
274,162191,162192,PROP,PER,CHAPTER XLIV
275,165011,165011,PROP,PER,_
276,166728,166728,PROP,PER,Dow
277,168709,168710,PROP,PER,the Mussulman
278,176821,176821,PROP,PER,Ben
279,177451,177451,PROP,PER,Providence
281,183400,183401,PROP,PER,CHAPTER L.
282,184030,184030,PROP,PER,Jacob
283,184299,184299,PROP,PER,Kags
284,184829,184829,PROP,PER,King
285,184875,184875,PROP,PER,G
286,185582,185583,PROP,PER,Young Bates
287,186851,186851,PROP,PER,Strokes
288,190165,190166,PROP,PER,Edwin Leeford
