COREF,start_token,end_token,prop,cat,text
245,349,349,PROP,PER,Allied
246,525,525,PROP,PER,Lizzie
247,1139,1139,PROP,PER,Father!â€”I
248,1433,1433,PROP,PER,Gaffer
249,1558,1558,PROP,PER,George
250,1755,1755,PROP,PER,Easy
251,1840,1840,PROP,PER,Pardner
8593,2332,2332,PROP,PER,Mr
260,2334,2335,PROP,PER,Mrs Veneering
253,2358,2359,PROP,PER,the Veneerings
254,2460,2460,PROP,PER,French
271,2602,2602,PROP,PER,Twemlow
256,2608,2609,PROP,PER,Lord Snigsworth
257,2877,2878,PROP,PER,Saint James
258,3031,3031,PROP,PER,Shakespeare
261,3334,3334,PROP,PER,Tootleums
262,3371,3372,PROP,PER,Mr Boots
263,3374,3375,PROP,PER,Mr Brewer
264,3432,3433,PROP,PER,the Podsnaps
265,3581,3582,PROP,PER,Mrs Podsnap
266,4325,4325,PROP,PER,Chablis
267,4576,4577,PROP,PER,Professor Owen
268,4740,4742,PROP,PER,old Lady Tippins
269,4872,4872,PROP,PER,Eugene
287,4876,4876,PROP,PER,Mortimer
272,5935,5935,PROP,PER,Martin
273,6051,6051,PROP,PER,Harmon
274,6104,6106,PROP,PER,a Dust Contractor
276,7081,7082,PROP,PER,Same Buffer
277,7426,7426,PROP,PER,Advertisement
438,7499,7500,PROP,PER,Mr Podsnap
279,7698,7699,PROP,PER,Don Juan
281,8020,8021,PROP,PER,Jesse Hexam
282,8355,8355,PROP,PER,Pharaoh
283,8375,8375,PROP,PER,Lazarus
284,8394,8394,PROP,PER,Halloa
285,8996,8997,PROP,PER,Cassim Baba
286,10277,10279,PROP,PER,G. F. T.
288,11511,11512,PROP,PER,Mr Inspector
289,12153,12154,PROP,PER,Julius Handford
290,12404,12404,PROP,PER,Stomach
291,12684,12684,PROP,PER,Charley
292,13098,13098,PROP,PER,Noah
293,14363,14363,PROP,PER,Father
294,14616,14617,PROP,PER,Job Potterson
295,14626,14628,PROP,PER,Mr Jacob Kibble
296,14720,14720,PROP,PER,Burial
297,15082,15083,PROP,PER,Reginald Wilfer
298,15179,15180,PROP,PER,R. Wilfer
299,15536,15536,PROP,PER,Rusty
300,15576,15576,PROP,PER,Rumty
301,15706,15706,PROP,PER,Stobbles
302,15956,15957,PROP,PER,Mrs Wilfer
303,16128,16130,PROP,PER,Hal - loa
304,16227,16228,PROP,PER,R. W.
305,16408,16409,PROP,PER,the Wilfers
306,16504,16504,PROP,PER,Susan
307,16642,16642,PROP,PER,Bella
308,16971,16972,PROP,PER,Poor Bella
309,17153,17154,PROP,PER,Poor Lavinia
310,17160,17161,PROP,PER,Miss Lavinia
311,17218,17218,PROP,PER,Cecilia
312,18518,18519,PROP,PER,Mr Wilfer
313,18801,18801,PROP,PER,Conscience
314,19067,19069,PROP,PER,John Rokesmith Esquire
315,19083,19084,PROP,PER,Mr Rokesmith
580,19308,19308,PROP,PER,Pa
317,19444,19444,PROP,PER,Lavvy
318,21001,21001,PROP,PER,BOFFIN
319,21431,21432,PROP,PER,Silas Wegg
320,21591,21592,PROP,PER,Miss Elizabeth
321,21601,21602,PROP,PER,Aunt Jane
8994,21606,21607,PROP,PER,Uncle Parkerâ€™â€”having
322,21915,21916,PROP,PER,Magna Charta
323,22184,22185,PROP,PER,Uncle Parker
324,23187,23188,PROP,PER,Mr Boffin
325,23206,23206,PROP,PER,Nick
326,23209,23209,PROP,PER,Noddy
327,23875,23875,PROP,PER,Lard
328,24464,24465,PROP,PER,Henerietty Boffin
329,24473,24473,PROP,PER,Henery
330,24481,24481,PROP,PER,Hetty
331,24669,24669,PROP,PER,Hem
332,25620,25621,PROP,PER,the Rooshan
333,25921,25921,PROP,PER,Print
334,26157,26157,PROP,PER,Fall
336,26324,26325,PROP,PER,Fair Rosamond
337,26389,26390,PROP,PER,Old Harmon
338,26427,26427,PROP,PER,Eddard
339,26479,26479,PROP,PER,Whisper
335,26487,26489,PROP,PER,Boffin â€™s Bower
340,26511,26511,PROP,PER,Edward
341,26579,26581,PROP,PER,Ev - verajail
342,26834,26834,PROP,PER,Supper
343,28113,28113,PROP,PER,Mellers
344,29135,29135,PROP,PER,Hadrian
345,29137,29137,PROP,PER,Trajan
346,29140,29141,PROP,PER,the Antonines
347,29145,29145,PROP,PER,Polybius
348,29148,29149,PROP,PER,Polly Beeious
349,29180,29182,PROP,PER,Titus Antoninus Pius
350,29190,29190,PROP,PER,Augustus
351,29366,29367,PROP,PER,the Romans
352,29416,29416,PROP,PER,Commodious
353,29495,29495,PROP,PER,Vittle
355,30425,30425,PROP,PER,Purl
356,30541,30541,PROP,PER,Cosy
357,30543,30544,PROP,PER,Miss Potterson
358,30650,30650,PROP,PER,Abigail
359,30874,30876,PROP,PER,Abbey the supreme
360,31631,31631,PROP,PER,Riderhood
361,31707,31708,PROP,PER,Gracious Lud
362,31922,31923,PROP,PER,George Jones
363,31972,31973,PROP,PER,William Williams
364,31975,31976,PROP,PER,Bob Glamour
365,31979,31979,PROP,PER,Jonathan
366,32051,32052,PROP,PER,Captain Joey
367,32163,32164,PROP,PER,Tom Tootle
368,32196,32198,PROP,PER,Mr Jack Mullins
369,32432,32433,PROP,PER,Bob Gliddery
370,32595,32595,PROP,PER,Miss.
371,32605,32605,PROP,PER,Goodness
372,33361,33362,PROP,PER,Miss Abbey!â€”Will
373,34074,34075,PROP,PER,The Fellowships
374,34298,34298,PROP,PER,Missis
375,34856,34856,PROP,PER,Tide
376,34944,34945,PROP,PER,Poor Charley
377,35733,35733,PROP,PER,"Charley,â€”yes"
378,37958,37958,PROP,PER,Nature
379,38496,38497,PROP,PER,Mr Venus
380,38881,38882,PROP,PER,Cock Robin
381,40143,40143,PROP,PER,Molars
382,40946,40946,PROP,PER,Fain
383,41392,41392,PROP,PER,Birds
384,42507,42509,PROP,PER,the amiable Pertinax
385,42573,42573,PROP,PER,Blight
386,42709,42710,PROP,PER,Mr Aggs
387,42712,42713,PROP,PER,Mr Baggs
388,42715,42716,PROP,PER,Mr Caggs
389,42718,42719,PROP,PER,Mr Daggs
390,42721,42722,PROP,PER,Mr Faggs
391,42724,42725,PROP,PER,Mr Gaggs
392,42831,42832,PROP,PER,Mr Alley
393,42834,42835,PROP,PER,Mr Balley
394,42837,42838,PROP,PER,Mr Calley
395,42840,42841,PROP,PER,Mr Dalley
396,42843,42844,PROP,PER,Mr Falley
397,42846,42847,PROP,PER,Mr Galley
398,42849,42850,PROP,PER,Mr Halley
399,42852,42853,PROP,PER,Mr Lalley
400,42855,42856,PROP,PER,Mr Malley
9271,44226,44226,PROP,PER,Lord
401,44637,44637,PROP,PER,Cressy
402,45483,45484,PROP,PER,Doctor Scommons
403,47432,47432,PROP,PER,Punch
404,47440,47440,PROP,PER,Clifford
405,48258,48258,PROP,PER,Sparrows
406,48669,48669,PROP,PER,Secretary
407,49056,49056,PROP,PER,Harmoon
408,49073,49073,PROP,PER,Harmarn
409,50745,50745,PROP,PER,Fashion
410,51107,51108,PROP,PER,the Boffins
411,51141,51146,PROP,PER,Nod - dy Bof - fin
412,51248,51251,PROP,PER,the Reverend Frank Milvey
413,51444,51445,PROP,PER,Mr Milvey
414,51532,51533,PROP,PER,the Kings
415,51645,51645,PROP,PER,Margaretta
416,51872,51874,PROP,PER,old Mrs Goody
417,52170,52170,PROP,PER,Harrison
418,52264,52265,PROP,PER,Tom Bocker
420,56714,56714,PROP,PER,Shares
421,56943,56943,PROP,PER,Anastatia
625,56960,56961,PROP,PER,Sophronia Akershem
423,56976,56977,PROP,PER,Alfred Lammle
9603,57215,57237,PROP,PER,"the dear friend Podsnap who covered him with so much confusion , and he says he does know him , and Podsnap reciprocates"
424,57833,57833,PROP,PER,Hamilton
425,58267,58270,PROP,PER,the Reverend Blank Blank
426,58274,58277,PROP,PER,the Reverend Dash Dash
427,58286,58288,PROP,PER,Alfred Lammle Esquire
428,58302,58307,PROP,PER,"the late Horatio Akershem , Esquire"
429,58336,58339,PROP,PER,"Melvin Twemlow , Esquire"
430,58895,58899,PROP,PER,the late Sir Thomas Tippins
431,59051,59052,PROP,PER,Lady Tippinses
432,59108,59109,PROP,PER,perennial youth
433,59406,59406,PROP,PER,Bride
434,59782,59782,PROP,PER,Buffers
435,59811,59811,PROP,PER,Pokey
436,60120,60120,PROP,PER,Medusa
437,61044,61045,PROP,PER,Mr Lammle
439,63797,63797,PROP,PER,Providence
440,63932,63933,PROP,PER,Miss Podsnap
441,64428,64428,PROP,PER,Georgiana
442,64738,64739,PROP,PER,the Podsnap
443,64807,64807,PROP,PER,Everything
444,65082,65083,PROP,PER,Madame Podsnap
445,65091,65092,PROP,PER,Mademoiselle Podsnap
