COREF,start_token,end_token,prop,cat,text
12,1436,1437,PROP,PER,Madame Anybody
13,1823,1824,PROP,PER,Doctor Jeddler
14,1928,1928,PROP,PER,Grace
15,1932,1932,PROP,PER,Marion
16,2002,2002,PROP,PER,Puss
17,2318,2318,PROP,PER,Alfred
18,3259,3259,PROP,PER,Halloa
19,3312,3312,PROP,PER,Britain
20,3446,3446,PROP,PER,Clemency
21,3926,3926,PROP,PER,Clementina
22,4077,4078,PROP,PER,Messrs. Snitchey
23,4080,4080,PROP,PER,Craggs
24,4138,4139,PROP,PER,Mr. Snitchey
25,4143,4143,PROP,PER,Self
856,4155,4155,PROP,PER,Miss
26,4905,4905,PROP,PER,Alf
27,5149,5152,PROP,PER,the -- Good Heavens
28,5168,5169,PROP,PER,Jonathan Snitchey
29,5171,5172,PROP,PER,Thomas Craggs
30,5333,5335,PROP,PER,Grand Carver of
31,5409,5411,PROP,PER,Illustration ] Having
32,7171,7172,PROP,PER,Martha Jeddler
33,7281,7281,PROP,PER,Heaven
34,7469,7469,PROP,PER,Humanity
35,7604,7605,PROP,PER,Benjamin Britain
36,7609,7610,PROP,PER,Little Britain
37,7616,7616,PROP,PER,Great
38,7622,7623,PROP,PER,Young England
39,7652,7652,PROP,PER,Miles
40,7659,7659,PROP,PER,Bacon
930,7953,7953,PROP,PER,Lord
42,8260,8261,PROP,PER,Mrs. Newcome
43,8332,8332,PROP,PER,jocosely
44,9776,9777,PROP,PER,Dear Grace
46,10278,10278,PROP,PER,"Alfred,--""I"
47,10434,10434,PROP,PER,"Alfred--""these"
48,10967,10969,PROP,PER,SNITCHEY AND CRAGGS
49,11467,11468,PROP,PER,Mrs. Snitchey
50,11492,11493,PROP,PER,Mrs. Craggs
51,11557,11557,PROP,PER,Snitcheys
52,12058,12061,PROP,PER,"Michael Warden , Esquire"
53,12330,12331,PROP,PER,Mr. Warden
54,12370,12370,PROP,PER,Devil
55,14515,14515,PROP,PER,Craggs.--Both
56,14850,14851,PROP,PER,Mr. Craggs?--
58,18055,18055,PROP,PER,Clemmy
59,18180,18180,PROP,PER,Lor
60,22109,22109,PROP,PER,Prospective
537,22291,22291,PROP,PER,Mr.
61,22641,22641,PROP,PER,Ma'am
62,23390,23393,PROP,PER,The Bird of Paradise
63,24279,24279,PROP,PER,Doe
64,24281,24281,PROP,PER,Roe
65,26827,26828,PROP,PER,Mrs. B.
66,26855,26856,PROP,PER,Mrs. Britain
67,26966,26966,PROP,PER,Memorandum
68,27366,27366,PROP,PER,Harry
69,27540,27541,PROP,PER,Doctor Heathfield
70,28400,28400,PROP,PER,Betsey
71,32292,32301,PROP,PER,"Michael Warden , who had still been observant of Clemency"
72,33795,33795,PROP,PER,GOD
73,35432,35434,PROP,PER,good Aunt Martha
1398,36347,36347,PROP,PER,Aunt
74,36472,36472,PROP,PER,Brother
75,36517,36517,PROP,PER,Anthony
8,37449,37451,PROP,PER,the Nutmeg Grater
77,37969,37969,PROP,PER,Thimble
78,38036,38037,PROP,PER,Dr. Jeddler
79,38290,38290,PROP,PER,Time
