COREF,start_token,end_token,prop,cat,text
16,393,394,PROP,PER,the Dead
17,756,757,PROP,PER,old Chimes
18,858,860,PROP,PER,Henry the Eighth
19,1013,1014,PROP,PER,Toby Veck
20,1022,1023,PROP,PER,Trotty Veck
21,2345,2345,PROP,PER,Faces
22,3139,3140,PROP,PER,poor creetur
854,3300,3300,PROP,PER,Lord
23,3847,3847,PROP,PER,Hope
24,3923,3923,PROP,PER,Pet
25,3944,3944,PROP,PER,Meg
26,4479,4479,PROP,PER,Trotters
27,4504,4504,PROP,PER,Polonies
28,4507,4507,PROP,PER,Liver
29,4549,4549,PROP,PER,Cocks
30,4642,4642,PROP,PER,Tripe
31,5692,5692,PROP,PER,Father
32,5970,5970,PROP,PER,Richard
33,7091,7091,PROP,PER,Halloa
34,7374,7374,PROP,PER,Filer
35,7440,7440,PROP,PER,Alderman
36,7922,7922,PROP,PER,jocosely
37,8187,8187,PROP,PER,Strutt
39,8921,8921,PROP,PER,Starvation
40,9125,9127,PROP,PER,Mr. Alderman Cute
41,9349,9349,PROP,PER,Methuselah
42,11868,11870,PROP,PER,Sir Joseph Bowley
43,12258,12259,PROP,PER,Mr. Fish
44,13727,13727,PROP,PER,Deedles
45,13750,13750,PROP,PER,Fern
46,14077,14077,PROP,PER,Hem
47,14668,14669,PROP,PER,Mrs. Chickenstalker
48,16493,16494,PROP,PER,the Almighty
49,16593,16593,PROP,PER,Tanâ€™t
50,16609,16609,PROP,PER,God
51,16775,16775,PROP,PER,Lilian
52,17381,17382,PROP,PER,Uncle Will
38,17457,17458,PROP,PER,Ticket Porter
53,17750,17751,PROP,PER,the Bells
54,18424,18425,PROP,PER,Will Fern
55,18676,18676,PROP,PER,Solomon
56,19505,19505,PROP,PER,Haunt
57,19523,19526,PROP,PER,Toby Veck Toby Veck
58,22248,22249,PROP,PER,the Bell
59,23070,23070,PROP,PER,Mercy
60,23080,23081,PROP,PER,the Shadow
61,23259,23259,PROP,PER,Shadows
62,24135,24135,PROP,PER,Hark
63,24644,24645,PROP,PER,Lady Bowley
64,24672,24672,PROP,PER,Providence
65,24940,24942,PROP,PER,old King Hal
66,25707,25707,PROP,PER,Man
67,26158,26159,PROP,PER,Master Bowley
68,27142,27142,PROP,PER,Ordained
69,29695,29695,PROP,PER,Beauty
71,31151,31151,PROP,PER,Anne
72,31282,31283,PROP,PER,Sally Lunns
73,31347,31347,PROP,PER,Tugby
74,31489,31490,PROP,PER,Mr. Tugby
75,31676,31676,PROP,PER,Christians
76,34576,34576,PROP,PER,Patient
77,37124,37124,PROP,PER,Nature
1507,38352,38352,PROP,PER,Uncle
