COREF,start_token,end_token,prop,cat,text
12,16,17,PROP,PER,Mrs. Peerybingle
13,84,85,PROP,PER,the Cricket
14,637,639,PROP,PER,the Royal George
15,1602,1603,PROP,PER,Good Heaven
16,1934,1934,PROP,PER,Kettle
17,2392,2392,PROP,PER,John
18,2396,2397,PROP,PER,Mrs. P.
19,2455,2455,PROP,PER,Dot
20,2858,2859,PROP,PER,Tilly Slowboy
21,2916,2918,PROP,PER,John the Carrier
22,3064,3064,PROP,PER,Halloa
24,3843,3844,PROP,PER,Miss Slowboy
25,4114,4114,PROP,PER,Fame
26,5051,5051,PROP,PER,Heart
27,5260,5260,PROP,PER,Gruff
28,5384,5384,PROP,PER,Gruffs
29,5993,5995,PROP,PER,The Old Gentleman
30,6645,6645,PROP,PER,Baby
31,6828,6828,PROP,PER,Ketcher
32,6830,6830,PROP,PER,Ketcherâ€™â€”which
33,7052,7052,PROP,PER,Mum
34,7082,7082,PROP,PER,Caleb
35,7236,7237,PROP,PER,the Philosopher
36,7302,7302,PROP,PER,Shems
37,7304,7304,PROP,PER,Hams
38,7683,7683,PROP,PER,Thankâ€™ee
39,7704,7705,PROP,PER,the Dolls
40,8002,8002,PROP,PER,Natur
41,8174,8175,PROP,PER,Mr. Tackleton
42,8494,8495,PROP,PER,Vampire Kites
43,8582,8582,PROP,PER,Darkness
44,8603,8603,PROP,PER,Giants
45,9352,9353,PROP,PER,Mrs. Tackleton
46,10306,10306,PROP,PER,Mary
47,10608,10608,PROP,PER,Humph
48,11906,11906,PROP,PER,Dots
49,12046,12047,PROP,PER,Peerybingle Brothers
50,12587,12587,PROP,PER,Nature
51,12822,12822,PROP,PER,Spirit
52,13293,13293,PROP,PER,Noah
53,14059,14061,PROP,PER,Happy Blind Girl
62,14572,14572,PROP,PER,Bertha
55,15680,15681,PROP,PER,the Peerybingles
56,15688,15689,PROP,PER,May Fielding
57,16172,16172,PROP,PER,Father
58,17561,17562,PROP,PER,Robinson Crusoe
59,17597,17599,PROP,PER,Ham - Pie
23,19662,19663,PROP,PER,Mr. Boxer
60,19668,19669,PROP,PER,Mrs. Boxer
61,20688,20688,PROP,PER,Hollow
63,23560,23561,PROP,PER,Mrs. Fielding
64,23815,23817,PROP,PER,that Young Peerybingle
65,24243,24243,PROP,PER,Wheels
66,27284,27286,PROP,PER,the Fairy Voice
67,27828,27828,PROP,PER,Fairies
68,29562,29562,PROP,PER,Stranger
69,29996,29996,PROP,PER,Oh!â€”Well
70,31479,31480,PROP,PER,Staunch Cricket
71,33581,33581,PROP,PER,God
72,35719,35719,PROP,PER,Edward
73,37504,37504,PROP,PER,Speedily
74,39414,39415,PROP,PER,the Babby
75,40207,40208,PROP,PER,Old Dot
76,40224,40225,PROP,PER,Mrs. Dot
