COREF,start_token,end_token,prop,cat,text
19,108,109,PROP,PER,Giles Scroggins
20,119,119,PROP,PER,GHOST
21,221,221,PROP,PER,"humanity,â€”but"
22,1267,1268,PROP,PER,Cassim Baba
23,2114,2115,PROP,PER,Mrs. William
24,2172,2173,PROP,PER,Mr. Redlaw
25,2483,2485,PROP,PER,Charley Swidger junior
26,2558,2559,PROP,PER,Mr. Swidger
27,2600,2600,PROP,PER,Swidgers!â€”Pepper
28,2689,2689,PROP,PER,Salt
29,2711,2711,PROP,PER,Swidgers
30,3347,3347,PROP,PER,Swidge
1038,3353,3353,PROP,PER,Lord
31,3720,3720,PROP,PER,Milly
32,3862,3862,PROP,PER,Holly
33,3949,3949,PROP,PER,Death
34,3962,3962,PROP,PER,Philip
35,4402,4402,PROP,PER,Merry
36,4814,4814,PROP,PER,George
37,4866,4866,PROP,PER,God
38,5066,5067,PROP,PER,Queen Elizabeth
39,5430,5430,PROP,PER,Mouse
40,5748,5748,PROP,PER,Milly!â€”him
41,5831,5831,PROP,PER,Shakespeare
42,6193,6194,PROP,PER,Mrs. Williams
43,7097,7097,PROP,PER,Heaven
44,7632,7633,PROP,PER,the Phantom
45,9124,9124,PROP,PER,Mocker
46,9163,9163,PROP,PER,Forbear
47,9528,9528,PROP,PER,Tempter
49,10591,10591,PROP,PER,Halloa
50,12015,12015,PROP,PER,Tetterby
51,12050,12052,PROP,PER,little Johnny Tetterby
52,12066,12067,PROP,PER,the Tumblers
53,12106,12107,PROP,PER,little Moloch
54,12295,12298,PROP,PER,A. TETTERBY AND CO
55,12319,12319,PROP,PER,Co.
56,12928,12929,PROP,PER,Mr. Tetterby
57,12991,12991,PROP,PER,Dolphus
58,13115,13115,PROP,PER,Sally
59,14710,14710,PROP,PER,Pepper
60,14758,14760,PROP,PER,Pup - per
61,15057,15057,PROP,PER,Sophia
62,15647,15648,PROP,PER,Mrs. Tetterby.â€”â€œJohnny
63,15779,15779,PROP,PER,Dolf
64,16049,16050,PROP,PER,the Tetterbys
65,16612,16612,PROP,PER,Mars
66,16635,16635,PROP,PER,Pa
67,18119,18120,PROP,PER,Mr. Denham
69,20183,20183,PROP,PER,Longford
70,21144,21144,PROP,PER,Father
71,21371,21373,PROP,PER,Dear Mr. Edmund
72,29210,29210,PROP,PER,with?â€”no
73,30207,30207,PROP,PER,Phantoms
48,31297,31297,PROP,PER,Spectre
1618,33256,33256,PROP,PER,Mr.
74,35037,35038,PROP,PER,Dr. Watts
75,37364,37364,PROP,PER,Hush
76,38334,38334,PROP,PER,William?â€”I
77,39168,39168,PROP,PER,Providence
78,39787,39787,PROP,PER,Longford.â€”You
79,39869,39869,PROP,PER,"Milly,â€”â€œYou"
80,42081,42081,PROP,PER,Christ
