COREF,start_token,end_token,prop,cat,text
239,9,10,PROP,PER,THE PICKWICKIANS
240,39,41,PROP,PER,the immortal Pickwick
241,117,118,PROP,PER,Joseph Smiggers
242,446,447,PROP,PER,Augustus Snodgrass
276,455,456,PROP,PER,Nathaniel Winkle
244,983,985,PROP,PER,Mr. Tracy Tupman
245,1621,1628,PROP,PER,that honourable Pickwickian who cried â€œ No â€
246,1723,1725,PROP,PER,MR . BLOTTON
247,1862,1864,PROP,PER,Mr. A. SNODGRASS
248,2606,2606,PROP,PER,Tommy
249,2755,2755,PROP,PER,Weeks
250,2959,2959,PROP,PER,Down
251,3128,3128,PROP,PER,Sam!--and
252,3305,3306,PROP,PER,arter aggerawatin
253,4393,4393,PROP,PER,Commodore
254,4890,4890,PROP,PER,Mars
255,4894,4894,PROP,PER,Apollo
256,5001,5002,PROP,PER,Mr. Jingle
257,5105,5105,PROP,PER,Ponto
258,5288,5290,PROP,PER,Don Bolaro Fizzgig
259,5297,5298,PROP,PER,Donna Christina
260,5863,5863,PROP,PER,Wright
261,6665,6665,PROP,PER,Soles
262,7342,7342,PROP,PER,Bacchus
263,8668,8670,PROP,PER,Honourable Wilmot Snipe
264,8675,8675,PROP,PER,Snipes
265,8681,8683,PROP,PER,Sir Thomas Clubber
266,8685,8686,PROP,PER,Lady Clubber
268,8836,8837,PROP,PER,Mr. Smithie
269,8839,8840,PROP,PER,Mrs. Smithie
270,8843,8845,PROP,PER,the Misses Smithie
271,8920,8921,PROP,PER,Mrs. Somebody
272,8936,8937,PROP,PER,Colonel Bulder
273,8944,8945,PROP,PER,Miss Bulder
274,9033,9034,PROP,PER,the Bulders
275,9118,9119,PROP,PER,Mrs. Tomlinson
277,9502,9503,PROP,PER,Mrs. Budger
278,10345,10345,PROP,PER,Boots
279,11708,11709,PROP,PER,Fort Pitt
280,14028,14028,PROP,PER,Payne
281,14310,14311,PROP,PER,Lieutenant Tappleton
282,15300,15301,PROP,PER,Dismal Jemmy
283,17187,17188,PROP,PER,Mr. Hutley
284,17190,17190,PROP,PER,John
285,17386,17386,PROP,PER,Jem
286,19828,19829,PROP,PER,Doctor Slammer.--â€˜He
287,19952,19955,PROP,PER,the irascible Doctor Payne
20,20852,20852,PROP,PER,Chatham
