COREF;start_token;end_token;prop;cat;text
63;2;3;PROP;PER;Edith Wharton
0;5;5;PRON;PER;I
144;6;7;NOM;PER;A girl
64;11;12;PROP;PER;lawyer Royall
145;11;14;NOM;FAC;lawyer Royall 's house
146;20;25;NOM;FAC;the one street of North Dormer
147;53;57;NOM;FAC;the roofs of the village
148;56;57;NOM;GPE;the village
149;61;66;NOM;LOC;the pastures and larchwoods surrounding it
148;66;66;PRON;LOC;it
150;81;82;NOM;LOC;the hills
151;88;89;NOM;FAC;the fields
152;92;94;NOM;FAC;the grassy road
153;100;100;NOM;FAC;street
1;105;106;PROP;LOC;North Dormer
154;108;109;NOM;FAC;The place
155;123;128;NOM;GPE;the more protected New England villages
156;137;139;NOM;LOC;the duck pond
64;159;160;PROP;PER;lawyer Royall
145;159;162;NOM;FAC;lawyer Royall 's house
158;169;174;NOM;LOC;the other end of the village
148;173;174;NOM;GPE;the village
160;176;177;NOM;FAC;the road
161;180;181;NOM;FAC;the church
162;189;190;NOM;FAC;the cemetery
163;199;200;NOM;FAC;the street
164;216;222;NOM;PER;a young man just passing under them
160;229;230;NOM;FAC;the road
166;232;235;NOM;LOC;the duck - pond
164;238;238;PRON;PER;he
167;244;250;NOM;PER;the girl on lawyer Royall 's doorstep
64;247;248;PROP;PER;lawyer Royall
164;253;253;PRON;PER;he
168;255;256;NOM;PER;a stranger
164;259;259;PRON;PER;he
164;266;266;PRON;PER;he
164;271;271;PRON;PER;his
169;275;278;NOM;PER;the young and careless
167;284;284;PRON;PER;Her
167;297;297;PRON;PER;her
167;299;299;PRON;PER;she
170;301;304;NOM;PER;people with holiday faces
167;306;306;PRON;PER;her
171;310;311;NOM;FAC;the house
167;320;320;PRON;PER;she
167;322;322;PRON;PER;she
167;327;327;PRON;PER;her
167;347;347;PRON;PER;she
167;351;351;PRON;PER;her
167;360;360;PRON;PER;she
65;365;366;PROP;PER;Annabel Balch
172;368;382;NOM;PER;the girl who sometimes came from Springfield to spend a week with old Miss Hatchard
2;374;374;PROP;GPE;Springfield
66;380;382;PROP;PER;old Miss Hatchard
65;389;389;PRON;PER;her
167;404;404;PRON;PER;I
167;409;409;PRON;PER;she
173;412;414;NOM;PER;The young man
167;423;423;PRON;PER;she
163;425;426;NOM;FAC;the street
167;428;428;PRON;PER;herself
1;430;431;PROP;FAC;North Dormer
175;436;438;NOM;FAC;an empty place
176;448;453;NOM;PER;its few able - bodied men
151;457;458;NOM;LOC;the fields
178;460;460;NOM;LOC;woods
179;463;471;NOM;PER;the women indoors , engaged in languid household drudgery
180;473;474;NOM;PER;The girl
180;479;479;PRON;PER;her
180;488;488;PRON;PER;her
168;498;499;NOM;PER;a stranger
182;501;503;NOM;FAC;a familiar place
167;507;507;PRON;PER;she
1;511;512;PROP;FAC;North Dormer
183;518;522;NOM;LOC;other parts of the world
184;521;522;NOM;LOC;the world
167;524;524;PRON;PER;She
167;525;525;PRON;PER;herself
185;528;528;NOM;FAC;there
185;539;539;PRON;FAC;it
186;542;546;NOM;FAC;a place of some importance
67;554;555;PROP;PER;Mr. Miles
187;557;589;NOM;PER;the new Episcopal clergyman at Hepburn , who drove over every other Sunday -- when the roads were not ploughed up by hauling -- to hold a service in the North Dormer church
4;562;562;PROP;GPE;Hepburn
188;572;573;NOM;FAC;the roads
189;586;589;NOM;FAC;the North Dormer church
