COREF;start_token;end_token;prop;cat;text
0;1;1;PRON;PER;I
0;7;7;PRON;PER;I
252;9;17;NOM;FAC;the surgical ward of the Hope Hospital at Hanaford
253;13;15;NOM;FAC;the Hope Hospital
1;17;17;PROP;GPE;Hanaford
254;19;20;NOM;PER;a nurse
255;24;37;NOM;PER;a young man whose bandaged right hand and arm lay stretched along the bed
255;39;39;PRON;PER;His
254;46;46;PRON;PER;her
255;49;49;PRON;PER;him
254;50;50;PRON;PER;she
254;66;66;PRON;PER;she
255;70;70;PRON;PER;he
255;72;72;PRON;PER;his
255;86;86;PRON;PER;I
255;98;98;PRON;PER;me
255;104;104;PRON;PER;he
255;109;109;PRON;PER;his
256;118;119;NOM;PER;the mechanic
254;129;129;PRON;PER;Her
255;139;139;PRON;PER;his
254;143;143;PRON;PER;she
3322;147;147;PRON;PER;We
95;165;165;PROP;PER;Dr.
255;195;195;PRON;PER;you
255;199;199;PRON;PER;yourself
254;209;209;PRON;PER;myself
254;211;211;PRON;PER;I
254;234;234;PRON;PER;she
254;237;237;PRON;PER;She
254;249;249;PRON;PER;her
254;252;252;PRON;PER;she
257;260;261;NOM;PER;the sufferer
254;263;263;PRON;PER;Her
254;274;274;PRON;PER;her
254;284;284;PRON;PER;her
254;291;291;PRON;PER;her
258;302;303;NOM;PER;the patient
258;305;305;PRON;PER;his
255;312;312;PRON;PER;His
255;340;340;PRON;PER;his
259;353;354;NOM;LOC;the world
260;362;363;NOM;PER;The nurse
260;368;368;PRON;PER;her
261;375;376;NOM;PER;the matron
262;378;386;NOM;PER;a sharp - featured woman with a soft intonation
96;391;392;PROP;PER;Mr. Amherst
97;394;395;PROP;PER;Miss Brent
3323;397;402;NOM;PER;The assistant manager from the mills
3324;401;402;NOM;FAC;the mills
255;404;404;PRON;PER;He
98;408;408;PROP;PER;Dillon
99;411;412;PROP;PER;John Amherst
263;419;430;NOM;PER;The nurse , sensitive by nature and training to all physical characteristics
255;440;440;PRON;PER;his
255;451;451;PRON;PER;he
260;454;454;PRON;PER;She
264;483;486;NOM;PER;the mover of men
265;486;486;NOM;PER;men
255;500;500;PRON;PER;he
260;503;503;PRON;PER;her
100;512;513;PROP;PER;Justine Brent
266;526;529;NOM;PER;the persons she met
