COREF;start_token;end_token;prop;cat;text
0;2;2;PRON;PER;I
322;6;6;PRON;PER;them
322;8;8;PRON;PER;their
323;14;18;NOM;LOC;the waters of a lake
324;17;18;NOM;LOC;a lake
325;22;26;NOM;LOC;the scene of romantic raptures
322;28;28;PRON;PER;they
324;39;39;PRON;LOC;it
322;44;44;PRON;PER;their
322;64;64;PRON;PER;ours
159;72;73;PROP;PER;Susy Lansing
322;77;77;PRON;PER;they
322;86;86;PRON;PER;their
326;94;95;NOM;LOC;the waters
322;97;97;PRON;PER;their
267;107;107;PROP;PER;Strefford
2176;107;109;NOM;FAC;Strefford â€™s villa
159;112;112;PRON;PER;her
327;112;113;NOM;PER;her husband
328;139;143;NOM;FAC;a white house - front
322;150;150;PRON;PER;we
327;160;160;PRON;PER;you
1;163;163;PROP;GPE;Chicago
322;169;169;PRON;PER;we
327;172;172;PRON;PER;you
327;176;176;PRON;PER;He
327;178;178;PRON;PER;his
159;181;181;PRON;PER;hers
327;184;184;PRON;PER;his
322;197;197;PRON;PER;their
159;202;202;PRON;PER;her
159;208;208;PRON;PER;she
159;213;213;PRON;PER;her
159;227;227;PRON;PER;I
161;237;238;PROP;PER;Violet Melrose
2177;237;242;NOM;FAC;Violet Melrose â€™s place at Versailles
2;242;242;PROP;GPE;Versailles
327;244;244;PRON;PER;your
2178;244;245;NOM;PER;your aunt
2179;244;250;NOM;FAC;your aunt â€™s villa at Monte Carlo
3;249;250;PROP;GPE;Monte Carlo
2180;253;254;NOM;LOC;a moor
159;257;257;PRON;PER;She
327;281;281;PRON;PER;he
159;285;285;PRON;PER;her
327;292;292;PRON;PER;he
162;303;305;PROP;PER;Poor old Fred
327;308;308;PRON;PER;he
159;313;313;PRON;PER;she
327;323;323;PRON;PER;His
159;328;328;PRON;PER;hers
329;337;337;PRON;PER;they
159;348;348;PRON;PER;she
329;366;366;PRON;PER;them
330;373;373;NOM;LOC;shore
330;375;375;NOM;LOC;shore
163;377;378;PROP;PER;Nick Lansing
2;384;384;PROP;GPE;Versailles
329;393;393;PRON;PER;our
2181;393;395;NOM;PER;our Paris crowd
4;394;394;PROP;GPE;Paris
329;399;399;PRON;PER;us
3;408;409;PROP;GPE;Monte Carlo
2182;417;425;NOM;LOC;the kind of place everybody expected us to go
2183;421;421;NOM;PER;everybody
329;423;423;PRON;PER;us
332;433;433;PRON;PER;you
5;446;446;PROP;GPE;Como
327;449;449;PRON;PER;His
332;449;450;NOM;PER;His wife
332;456;456;PRON;PER;her
327;469;469;PRON;PER;you
329;471;471;PRON;PER;we
5;477;477;PROP;GPE;Como
332;483;483;PRON;PER;I
332;495;495;PRON;PER;I
332;497;497;PRON;PER;I
329;500;500;PRON;PER;we
2184;502;502;NOM;FAC;here
332;505;505;PRON;PER;I
2185;508;509;NOM;GPE;this place
2186;513;513;NOM;PER;one
332;530;530;PRON;PER;She
332;539;539;PRON;PER;I
164;543;543;PROP;PER;Streffy
327;557;557;PRON;PER;you
164;560;560;PRON;PER;him
332;565;565;PRON;PER;She
327;570;570;PRON;PER;You
329;575;575;PRON;PER;we
332;584;584;PRON;PER;I
329;600;600;PRON;PER;we
165;623;623;PROP;PER;Stephanotis
333;631;631;PRON;PER;I
333;670;670;PRON;PER;They
333;683;683;PRON;PER;their
163;695;695;PRON;PER;I
163;700;700;PROP;PER;Lansing
2187;705;706;NOM;PER;a nightingale
333;719;719;PRON;PER;them
333;734;734;PRON;PER;their
333;747;747;PRON;PER;them
333;749;749;PRON;PER;they
329;754;754;PRON;PER;we
159;758;758;PROP;PER;Susy
159;762;762;PRON;PER;I
329;765;765;PRON;PER;our
329;768;768;PRON;PER;we
2188;775;776;NOM;PER;each other
159;784;784;PRON;PER;her
327;784;785;NOM;PER;her husband
333;792;792;PRON;PER;They
2189;805;805;NOM;PER;family
327;818;818;PRON;PER;his
159;823;823;PROP;PER;Susy
327;826;826;PRON;PER;he
159;829;829;PRON;PER;her
159;833;833;PRON;PER;her
333;840;840;PRON;PER;them
335;849;850;NOM;LOC;the lake
336;864;865;NOM;LOC;the mountains
335;883;884;NOM;LOC;the lake
338;888;890;NOM;GPE;a little town
339;899;901;NOM;LOC;the distant shore
333;914;914;PRON;PER;their
340;920;921;NOM;FAC;the garden
341;940;941;NOM;PER;The nightingales
342;951;952;NOM;FAC;the house
159;958;958;PROP;PER;Susy
159;970;970;PRON;PER;I
159;976;976;PRON;PER;she
333;981;981;PRON;PER;we
159;997;997;PRON;PER;Her
327;997;998;NOM;PER;Her husband
327;1010;1010;PRON;PER;his
327;1014;1014;PRON;PER;he
159;1018;1018;PRON;PER;her
159;1032;1032;PRON;PER;You
327;1036;1036;PRON;PER;he
159;1045;1045;PRON;PER;your
2190;1045;1046;NOM;PER;your grandmother
327;1059;1059;PRON;PER;He
327;1074;1074;PRON;PER;me
2191;1082;1082;PRON;PER;â€™s
327;1090;1090;PRON;PER;I
327;1097;1097;PRON;PER;He
327;1099;1099;PRON;PER;himself
159;1107;1107;PRON;PER;she
159;1119;1119;PRON;PER;her
327;1122;1122;PRON;PER;his
159;1127;1127;PRON;PER;her
159;1130;1130;PRON;PER;she
159;1132;1132;PRON;PER;her
159;1135;1135;PRON;PER;she
344;1158;1158;PRON;PER;them
159;1168;1168;PRON;PER;her
345;1190;1190;PRON;FAC;its
159;1212;1212;PROP;PER;Susy
159;1220;1220;PRON;PER;her
346;1224;1227;NOM;PER;People with a balance
159;1231;1232;PROP;PER;Susy Branch
347;1231;1234;NOM;PER;Susy Branch â€™s bugbear
346;1236;1236;PRON;PER;they
159;1246;1247;PROP;PER;Susy Lansing
159;1250;1250;PRON;PER;She
346;1252;1252;PRON;PER;them
346;1255;1255;PRON;PER;them
348;1259;1263;NOM;PER;the natural enemies of mankind
349;1266;1275;NOM;PER;the people one always had to put one â€™s self
2186;1273;1273;NOM;PER;one
159;1283;1283;PRON;PER;her
346;1289;1289;PRON;PER;them
159;1291;1291;PRON;PER;she
346;1301;1301;PRON;PER;them
346;1305;1305;PRON;PER;them
159;1322;1322;PRON;PER;her
159;1339;1339;PRON;PER;she
351;1344;1346;NOM;PER;those very people
159;1357;1357;PRON;PER;she
163;1359;1359;PROP;PER;Nick
352;1362;1362;PRON;PER;their
352;1380;1380;PRON;PER;we
351;1382;1382;PRON;PER;them
159;1386;1386;PRON;PER;she
159;1389;1389;PRON;PER;Her
327;1389;1390;NOM;PER;Her husband
327;1404;1404;PRON;PER;his
159;1408;1408;PRON;PER;she
327;1417;1417;PRON;PER;he
159;1426;1426;PRON;PER;she
352;1435;1435;PRON;PER;they
352;1448;1448;PRON;PER;their
352;1451;1451;PRON;PER;their
352;1469;1469;PRON;PER;them
159;1479;1479;PRON;PER;she
352;1494;1494;PRON;PER;their
162;1505;1507;PROP;PER;the Fred Gillows
2192;1513;1537;NOM;PER;the young man who chanced to sit next to her , and of whom it was vaguely rumoured that he had â€œ written , â€
159;1522;1522;PRON;PER;her
162;1532;1532;PRON;PER;he
162;1540;1540;PRON;PER;himself
159;1542;1542;PRON;PER;her
159;1551;1552;PROP;PER;Susy Branch
354;1554;1554;NOM;PER;heiress
159;1560;1560;PRON;PER;herself
159;1566;1567;PROP;PER;Susy Branch
355;1569;1569;NOM;PER;pauper
356;1576;1578;NOM;PER;this fancied double
159;1581;1581;PRON;PER;her
159;1588;1588;PRON;PER;her
159;1592;1592;PRON;PER;her
357;1592;1594;NOM;PER;her rich friends
357;1596;1596;PRON;PER;they
357;1599;1599;PRON;PER;theirs
159;1604;1604;PRON;PER;I
2193;1608;1611;NOM;PER;a husband like that
2194;1613;1616;NOM;VEH;a steam - yacht
159;1619;1619;PRON;PER;she
159;1626;1626;PRON;PER;her
358;1629;1645;NOM;PER;the young man who had written , and as to whom it had at once been clear
159;1647;1647;PRON;PER;her
356;1650;1650;PRON;PER;his
356;1663;1663;PRON;PER;him
356;1669;1669;PRON;PER;his
332;1669;1670;NOM;PER;his wife
360;1675;1678;NOM;VEH;a row - boat
356;1681;1681;PRON;PER;His
332;1681;1682;NOM;PER;His wife
356;1686;1686;PRON;PER;he
2186;1690;1690;NOM;PER;one
356;1693;1693;PRON;PER;he
2197;1701;1702;NOM;VEH;a yacht
159;1709;1709;PRON;PER;her
159;1712;1712;PROP;PER;Susy
361;1735;1739;NOM;PER;those of the opposite sex
159;1744;1744;PRON;PER;her
159;1746;1746;PRON;PER;She
362;1752;1761;NOM;PER;people who gloried in what they need only have endured
362;1757;1757;PRON;PER;they
159;1763;1763;PRON;PER;She
159;1764;1764;PRON;PER;herself
2186;1771;1771;NOM;PER;one
364;1778;1779;NOM;PER;rich people
159;1782;1782;PRON;PER;she
159;1788;1788;PRON;PER;she
365;1790;1804;NOM;PER;some one who combined the maximum of wealth with at least a minimum of companionableness
159;1806;1806;PRON;PER;She
163;1812;1812;PROP;PER;Lansing
163;1821;1821;PRON;PER;he
163;1826;1826;PRON;PER;he
159;1840;1840;PRON;PER;She
163;1848;1848;PRON;PER;him
159;1850;1850;PRON;PER;her
366;1876;1876;PRON;PER;They
167;1889;1891;PROP;PER;Mrs. Fred Gillow
159;1898;1898;PROP;PER;Susy
159;1902;1902;PRON;PER;she
159;1906;1906;PRON;PER;herself
159;1914;1914;PROP;PER;Susy
159;1921;1921;PRON;PER;her
367;1921;1922;NOM;PER;her friend
168;1936;1937;PROP;PER;Ursula Gillow
159;1944;1944;PRON;PER;you
163;1946;1946;PROP;PER;Nick
168;1948;1948;PRON;PER;me
168;1956;1956;PRON;PER;I
159;1962;1962;PRON;PER;you
168;1966;1966;PRON;PER;I
159;1970;1970;PROP;PER;Susy
159;1977;1977;PRON;PER;she
159;1980;1980;PRON;PER;she
159;1985;1985;PRON;PER;she
159;1991;1991;PRON;PER;her
168;1993;1993;PROP;PER;Ursula
168;1995;1995;PROP;PER;Ursula
159;2000;2000;PRON;PER;her
368;2006;2006;PRON;PER;they
159;2011;2011;PRON;PER;She
162;2019;2020;PROP;PER;the Gillows
6;2022;2022;PROP;GPE;Newport
7;2032;2032;PROP;GPE;California
169;2034;2035;PROP;PER;the Bockheimers
159;2038;2038;PRON;PER;she
168;2052;2052;PRON;PER;you
168;2058;2058;PROP;PER;Ursula
159;2063;2063;PRON;PER;my
159;2066;2066;PROP;PER;Susy
168;2079;2079;PRON;PER;you
159;2082;2082;PRON;PER;I
170;2087;2087;PRON;PER;him
159;2092;2092;PRON;PER;She
168;2101;2101;PROP;PER;Ursula
159;2106;2107;PROP;PER;Susy Branch
159;2113;2113;PRON;PER;her
159;2120;2120;PRON;PER;she
159;2123;2123;PRON;PER;her
170;2130;2132;PROP;PER;young Mr. Lansing
170;2134;2134;PRON;PER;his
369;2134;2135;NOM;FAC;his lodgings
159;2137;2137;PRON;PER;She
159;2142;2142;PRON;PER;her
168;2145;2145;PROP;PER;Ursula
159;2148;2148;PRON;PER;she
159;2152;2152;PRON;PER;her
159;2155;2155;PRON;PER;she
159;2159;2159;PRON;PER;She
370;2164;2166;NOM;PER;the young man
370;2174;2174;PRON;PER;he
159;2193;2193;PRON;PER;her
159;2214;2214;PRON;PER;she
159;2217;2217;PRON;PER;she
370;2219;2219;PRON;PER;his
159;2234;2234;PRON;PER;she
370;2245;2245;PRON;PER;him
370;2250;2250;PRON;PER;his
171;2253;2254;PROP;PER;Miss Branch
171;2256;2256;PRON;PER;her
371;2261;2268;NOM;FAC;The apartment to which Mr. Lansing admitted her
170;2265;2266;PROP;PER;Mr. Lansing
159;2268;2268;PRON;PER;her
370;2281;2281;PRON;PER;his
372;2281;2282;NOM;FAC;his staircase
159;2284;2284;PROP;PER;Susy
370;2287;2287;PRON;PER;him
370;2297;2297;PRON;PER;him
373;2299;2301;NOM;FAC;a bare room
170;2348;2348;PROP;PER;Lansing
170;2350;2350;PRON;PER;his
374;2350;2351;NOM;PER;his visitor
159;2365;2365;PRON;PER;she
370;2368;2368;PRON;PER;his
170;2371;2371;PRON;PER;He
170;2378;2378;PRON;PER;his
159;2382;2382;PRON;PER;her
375;2387;2387;PRON;PER;they
159;2396;2396;PROP;PER;Susy
159;2402;2402;PRON;PER;her
159;2409;2409;PRON;PER;she
159;2413;2413;PRON;PER;her
159;2423;2423;PRON;PER;she
170;2426;2426;PRON;PER;him
375;2437;2437;PRON;PER;their
170;2442;2442;PROP;PER;Lansing
159;2451;2451;PRON;PER;her
170;2459;2459;PRON;PER;his
374;2459;2460;NOM;PER;his visitor
159;2468;2468;PRON;PER;her
159;2491;2491;PRON;PER;she
170;2493;2493;PRON;PER;him
159;2495;2495;PRON;PER;she
170;2508;2508;PRON;PER;he
168;2512;2513;PROP;PER;Ursula Gillow
375;2518;2518;PRON;PER;they
2188;2525;2526;NOM;PER;each other
370;2528;2530;NOM;PER;The young man
159;2538;2538;PRON;PER;her
159;2545;2545;PRON;PER;she
168;2554;2554;PROP;PER;Ursula
170;2560;2560;PRON;PER;his
170;2571;2571;PRON;PER;I
159;2573;2573;PRON;PER;you
170;2574;2574;PRON;PER;my
170;2585;2585;PRON;PER;I
168;2589;2589;PRON;PER;she
170;2592;2592;PRON;PER;me
170;2598;2598;PRON;PER;he
