COREF;start_token;end_token;prop;cat;text
0;2;2;PRON;PER;I
67;14;14;PROP;PER;Anna
1;21;22;PROP;FAC;Charing Cross
2;24;24;PROP;GPE;Dover
167;25;26;NOM;VEH;the train
71;35;36;PROP;PER;George Darrow
71;71;71;PRON;PER;his
168;88;91;NOM;PER;the gods of malice
71;97;97;PRON;PER;he
71;100;100;PRON;PER;his
169;100;101;NOM;FAC;his compartment
170;103;104;NOM;FAC;the pier
171;115;118;NOM;LOC;the angry sea beyond
172;120;120;PRON;PER;they
71;124;124;PRON;PER;him
71;137;137;PRON;PER;him
67;156;156;PROP;PER;Anna
173;159;159;PRON;PER;She
71;162;162;PRON;PER;him
71;177;177;PRON;PER;him
173;181;181;PRON;PER;her
173;189;189;PRON;PER;her
71;196;196;PRON;PER;he
173;211;211;PRON;PER;her
174;211;212;NOM;PER;her husband
175;211;216;NOM;PER;her husband â€™s uncle â€™s widow
71;232;232;PRON;PER;him
173;237;237;PRON;PER;her
176;242;242;PRON;PER;their
173;261;261;PRON;PER;she
71;264;264;PRON;PER;him
176;266;266;PRON;PER;their
176;271;271;PRON;PER;They
177;274;275;NOM;PER;each other
3;279;279;PROP;GPE;London
178;290;292;NOM;FAC;the American Embassy
173;296;296;PRON;PER;she
71;301;301;PRON;PER;him
173;302;302;PRON;PER;her
173;312;312;PRON;PER;her
179;312;313;NOM;PER;her widow
71;317;317;PRON;PER;He
180;332;335;NOM;PER;the season â€™s diners
71;337;337;PRON;PER;he
173;341;341;PRON;PER;her
71;357;357;PRON;PER;he
71;366;366;PRON;PER;he
181;381;389;NOM;FAC;a room he had played in as a child
71;383;383;PRON;PER;he
182;388;389;NOM;PER;a child
183;395;398;NOM;PER;the plumed starred crowd
173;400;400;PRON;PER;she
71;405;405;PRON;PER;him
71;414;414;PRON;PER;he
184;420;420;PRON;PER;their
71;425;425;PRON;PER;he
71;429;429;PRON;PER;himself
173;431;431;PRON;PER;her
173;437;437;PRON;PER;her
173;447;447;PRON;PER;I
173;453;453;PRON;PER;I
71;457;457;PRON;PER;you
173;467;467;PRON;PER;her
71;471;471;PRON;PER;his
173;473;473;PRON;PER;her
184;478;478;PRON;PER;their
184;488;488;PRON;PER;their
71;499;499;PRON;PER;you
69;501;502;PROP;PER;Mrs. Leath
70;509;510;PROP;PER;General Farnham
71;513;513;PRON;PER;meâ€--had
184;515;515;PRON;PER;them
185;521;524;NOM;FAC;the dining - room
71;526;526;PROP;PER;Darrow
71;536;536;PRON;PER;his
3;552;552;PROP;GPE;London
2279;559;560;NOM;PER;a mob
186;570;571;NOM;PER;most women
69;579;580;PROP;PER;Mrs. Leath
173;592;592;PRON;PER;her
187;601;606;NOM;PER;an intent grave - eyed girl
173;608;608;PRON;PER;she
173;612;612;PRON;PER;her
71;617;617;PROP;PER;Darrow
173;621;621;PRON;PER;her
173;636;636;PRON;PER;she
184;640;640;PRON;PER;Their
173;652;652;PRON;PER;She
71;656;656;PRON;PER;him
173;667;667;PRON;PER;her
184;672;672;PRON;PER;they
173;680;680;PRON;PER;She
71;683;683;PRON;PER;him
173;685;685;PRON;PER;her
72;688;689;PROP;PER;Fraser Leath
173;693;693;PRON;PER;her
4;697;697;PROP;GPE;France
173;700;700;PRON;PER;her
188;700;703;NOM;PER;her husband â€™s mother
189;706;707;NOM;PER;a widow
72;709;709;PRON;PER;his
73;718;721;PROP;PER;the Marquis de Chantelle
190;734;735;NOM;PER;the son
190;739;739;PRON;PER;himself
173;741;741;PRON;PER;She
173;754;754;PRON;PER;her
191;754;756;NOM;PER;her little girl
74;757;757;PROP;PER;Effie
75;776;777;PROP;PER;Owen Leath
192;779;793;NOM;PER;the charming clever young stepson whom her husband â€™s death had left to her care
173;785;785;PRON;PER;her
174;785;786;NOM;PER;her husband
173;792;792;PRON;PER;her
194;795;796;NOM;PER;A porter
71;800;800;PROP;PER;Darrow
71;805;805;PRON;PER;him
71;810;810;PRON;PER;he
71;820;820;PRON;PER;his
2280;826;826;NOM;PER;sir
71;830;830;PRON;PER;he
71;833;833;PRON;PER;He
71;847;847;PRON;PER;he
195;849;850;NOM;PER;the porter
196;852;854;NOM;VEH;the luggage van
71;858;858;PRON;PER;his
197;858;859;NOM;FAC;his property
197;866;866;PRON;FAC;it
198;868;871;NOM;FAC;the gang - way
71;878;878;PRON;PER;him
71;886;886;PRON;PER;his
71;889;889;PRON;PER;he
71;895;895;PRON;PER;his
2280;904;904;NOM;PER;sir
195;907;908;NOM;PER;the porter
71;912;912;PRON;PER;him
200;914;914;PRON;PER;they
200;916;916;PRON;PER;their
201;919;921;NOM;FAC;the narrow walk
170;923;924;NOM;FAC;the pier
71;946;946;PROP;PER;Darrow
71;951;951;PRON;PER;he
71;958;958;PRON;PER;his
71;960;960;PRON;PER;his
71;969;969;PRON;PER;He
203;976;984;NOM;PER;the man whom Anna Summers had preferred to him
67;979;980;PROP;PER;Anna Summers
71;984;984;PRON;PER;him
71;988;988;PRON;PER;he
67;991;991;PRON;PER;her
71;993;993;PRON;PER;he
71;997;997;PRON;PER;his
67;1004;1004;PRON;PER;her
67;1011;1011;PRON;PER;Her
174;1011;1012;NOM;PER;Her husband
71;1015;1015;PRON;PER;him
71;1034;1034;PRON;PER;he
5;1037;1037;PROP;GPE;Europe
5;1055;1055;PROP;GPE;Europe
76;1057;1058;PROP;PER;Mr. Leath
76;1068;1068;PRON;PER;he
