COREF;start_token;end_token;prop;cat;text
0;1;1;PRON;PER;I
0;3;3;PRON;PER;I
101;4;5;PROP;PER;MISS BRUSS
275;7;9;NOM;PER;the perfect secretary
102;12;13;PROP;PER;Nona Manford
102;18;18;PRON;PER;her
276;18;19;NOM;PER;her mother
277;18;21;NOM;FAC;her mother 's boudoir
2608;24;25;NOM;FAC;the office
103;28;29;PROP;PER;Mrs. Manford
278;28;31;NOM;PER;Mrs. Manford 's children
103;44;44;PRON;PER;She
102;48;48;PRON;PER;you
2609;51;51;NOM;PER;dear
102;53;53;PRON;PER;your
2610;53;54;NOM;PER;your mother
102;59;59;PRON;PER;you
104;63;64;PROP;PER;Maisie Bruss
101;80;81;PROP;PER;Miss Bruss
103;85;86;PROP;PER;Mrs. Manford
279;92;93;NOM;PER;the latter
102;100;100;PROP;PER;Nona
102;102;102;PRON;PER;her
101;112;112;PRON;PER;she
102;120;120;PRON;PER;her
280;132;134;NOM;PER;the Manford household
102;140;140;PRON;PER;her
281;149;150;NOM;PER;the secretary
102;260;260;PRON;PER;your
2610;260;261;NOM;PER;your mother
2612;263;263;NOM;PER;everybody
2613;269;270;NOM;GPE;This New
1;271;271;PROP;GPE;York
102;275;275;PRON;PER;her
102;279;279;PRON;PER;I
102;286;287;PROP;PER;Nona Manford
102;305;305;PRON;PER;you
2614;305;306;NOM;PER;you girls
102;309;309;PRON;PER;your
102;314;314;PRON;PER;You
105;316;316;PROP;PER;Lita
102;320;320;PRON;PER;you
101;326;327;PROP;PER;Miss Bruss
102;337;337;PRON;PER;your
102;343;343;PRON;PER;You
102;345;345;PRON;PER;your
2610;345;346;NOM;PER;your mother
102;354;354;PRON;PER;you
2610;360;360;PRON;PER;she
102;363;363;PROP;PER;Nona
102;365;365;PRON;PER;her
102;372;372;PRON;PER;you
102;376;376;PRON;PER;me
102;410;410;PROP;PER;Nona
102;414;414;PRON;PER;her
276;414;415;NOM;PER;her mother
283;425;427;NOM;PER;faith - healers
284;429;431;NOM;PER;art - dealers
285;433;437;NOM;PER;social service workers and manicures
103;440;441;PROP;PER;Mrs. Manford
103;444;444;PRON;PER;her
286;444;445;NOM;PER;her children
103;446;446;PRON;PER;she
286;450;450;PRON;PER;them
1;457;457;PROP;GPE;York
287;461;461;PRON;FAC;its
103;470;470;PRON;PER;her
288;470;471;NOM;PER;her family
103;483;483;PRON;PER;her
103;486;486;PRON;PER;her
103;506;507;PROP;PER;Mrs. Manford
103;532;532;PRON;PER;her
103;535;535;PRON;PER;she
101;550;551;PROP;PER;Miss Bruss
103;555;555;PRON;PER;she
289;560;572;NOM;PER;the new French sculptor who had been all the rage in New York
2;571;572;PROP;GPE;New York
103;578;578;PRON;PER;she
289;586;586;PRON;PER;him
106;604;605;PROP;PER;Mrs.---- Nona
106;612;612;PRON;PER;her
106;654;654;PRON;PER;she
290;664;699;NOM;PER;the audience of bright elderly women , with snowy hair , eurythmic movements , and finely - wrinkled over - massaged faces on which a smile of glassy benevolence sat like their rimless pince - nez
291;667;692;NOM;PER;bright elderly women , with snowy hair , eurythmic movements , and finely - wrinkled over - massaged faces on which a smile of glassy benevolence
291;695;695;PRON;PER;their
290;701;701;PRON;PER;They
292;722;729;NOM;PER;"the "" prominent woman "" of the occasion"
293;755;756;NOM;PER;these ladies
294;785;787;NOM;FAC;the American home
293;791;791;PRON;PER;they
103;793;794;PROP;PER;Mrs. Manford
293;807;807;PRON;PER;they
293;811;811;PRON;PER;they
295;816;817;NOM;PER;certain persons
296;822;823;NOM;PER;those persons
106;829;829;PROP;PER;Nona
106;841;841;PRON;PER;her
276;841;842;NOM;PER;her mother
298;841;845;NOM;PER;her mother 's former husband
107;847;848;PROP;PER;Arthur Wyant
106;851;851;PRON;PER;Your
2610;851;852;NOM;PER;Your mother
2610;854;854;PRON;PER;her
2617;854;855;NOM;PER;her friends
2618;860;862;NOM;LOC;the whole world
299;874;875;NOM;PER;The girl
299;880;880;PRON;PER;she
107;886;886;PROP;PER;Wyant
299;893;893;PRON;PER;she
106;895;895;PRON;PER;her
276;895;896;NOM;PER;her mother
299;901;901;PRON;PER;she
106;913;913;PROP;PER;Nona
301;915;922;NOM;PER;the daughter of Mrs. Manford 's second marriage
103;918;919;PROP;PER;Mrs. Manford
106;925;925;PRON;PER;her
302;925;927;NOM;PER;her own father
103;929;930;PROP;PER;Dexter Manford
302;937;937;PRON;PER;his
303;940;941;NOM;LOC;the world
106;945;945;PRON;PER;her
302;955;955;PRON;PER;his
108;960;960;PROP;PER;Pauline
107;967;967;PROP;PER;Wyant
302;970;970;PRON;PER;He
106;1008;1008;PRON;PER;your
2610;1008;1009;NOM;PER;your mother
2610;1023;1023;PRON;PER;her
106;1025;1025;PRON;PER;you
2610;1028;1028;PRON;PER;she
2610;1031;1031;PRON;PER;herself
2620;1036;1036;PRON;PER;us
106;1039;1039;PROP;PER;Nona
108;1047;1047;PROP;PER;Manford
106;1055;1055;PROP;PER;Nona
106;1058;1058;PRON;PER;her
276;1058;1059;NOM;PER;her mother
106;1065;1065;PRON;PER;she
106;1071;1071;PRON;PER;she
106;1073;1073;PRON;PER;her
305;1073;1074;NOM;PER;her brother
306;1073;1077;NOM;PER;her brother 's wife Lita
105;1077;1077;PROP;PER;Lita
106;1085;1085;PRON;PER;she
105;1089;1089;PROP;PER;Lita
307;1091;1091;PRON;PER;They
308;1094;1095;NOM;PER;another generation
309;1098;1120;NOM;PER;the bewildered disenchanted young people who had grown up since the Great War , whose energies were more spasmodic and less definitely directed
307;1134;1134;PRON;PER;them
3;1140;1140;PROP;GPE;Bolivia
105;1143;1143;PROP;PER;Lita
106;1148;1148;PROP;PER;Nona
103;1151;1152;PROP;PER;Mrs. Manford
310;1155;1158;NOM;PER;the bright elderly women
311;1166;1171;NOM;LOC;the other end of the world
303;1170;1171;NOM;LOC;the world
293;1177;1178;NOM;PER;these ladies
293;1185;1185;PRON;PER;they
109;1193;1194;PROP;PER;the Bolivians
109;1198;1198;PRON;PER;they
314;1216;1218;NOM;PER;The young people
315;1226;1229;NOM;FAC;the houses of others
109;1236;1237;PROP;PER;the Bolivians
109;1241;1241;PRON;PER;they
3;1246;1246;PROP;GPE;Bolivia
108;1251;1252;PROP;PER;Pauline Manford
2;1258;1259;PROP;GPE;New York
106;1278;1278;PRON;PER;I
2621;1281;1281;PRON;PER;we
2621;1289;1289;PRON;PER;we
106;1297;1297;PROP;PER;Nona
106;1301;1301;PRON;PER;her
106;1305;1305;PRON;PER;She
101;1308;1309;PROP;PER;Miss Bruss
106;1321;1321;PRON;PER;she
106;1325;1325;PRON;PER;You
2622;1328;1328;NOM;PER;pet
101;1331;1332;PROP;PER;Miss Bruss
101;1370;1370;PRON;PER;I
2623;1377;1377;PRON;PER;they
4;1389;1389;PROP;GPE;Florida
2624;1390;1391;NOM;PER;hotel people
2622;1397;1397;PRON;PER;your
2625;1397;1399;NOM;PER;your poor mother
2622;1406;1406;PRON;PER;your
2626;1406;1407;NOM;PER;your father
2626;1411;1411;PRON;PER;he
2627;1414;1414;NOM;GPE;town
2625;1417;1417;PRON;PER;she
2626;1427;1427;PRON;PER;him
2626;1431;1431;PRON;PER;his
2628;1431;1432;NOM;FAC;his office
2626;1452;1452;PRON;PER;him
101;1467;1467;PRON;PER;my
2629;1467;1468;NOM;PER;my dear
101;1470;1470;PRON;PER;I
2622;1473;1473;PRON;PER;you
2626;1478;1478;PRON;PER;him
2626;1481;1481;PRON;PER;he
2630;1485;1485;NOM;FAC;home
2622;1489;1489;PRON;PER;you
2626;1491;1491;PRON;PER;he
2626;1501;1501;PRON;PER;his
2626;1506;1506;PRON;PER;he
101;1510;1510;PRON;PER;I
2608;1515;1516;NOM;FAC;the office
2626;1519;1519;PRON;PER;him
2632;1530;1531;NOM;PER;the Marchesa--
299;1536;1536;PRON;PER;I
2633;1540;1540;NOM;PER;father
2630;1544;1544;NOM;FAC;home
299;1548;1549;NOM;PER;the girl
101;1561;1561;PRON;PER;my
101;1566;1567;PROP;PER;Miss Bruss
317;1571;1572;NOM;FAC;the room
101;1577;1577;PRON;PER;her
101;1589;1589;PRON;PER;her
102;1593;1594;PROP;PER;Nona Manford
102;1601;1601;PRON;PER;her
102;1606;1606;PRON;PER;She
102;1627;1627;PROP;PER;Nona
103;1634;1635;PROP;PER;Mrs. Manford
102;1642;1642;PRON;PER;her
318;1642;1644;NOM;PER;her divorced husband
107;1646;1647;PROP;PER;Arthur Wyant
319;1649;1670;NOM;PER;"the effaced mysterious person always designated on Mrs. Manford 's lists as "" A , "" and hence known to her children"
103;1656;1657;PROP;PER;Mrs. Manford
103;1669;1669;PRON;PER;her
286;1669;1670;NOM;PER;her children
102;1683;1683;PROP;PER;Nona
107;1690;1690;PRON;PER;him
102;1691;1691;PRON;PER;herself
102;1698;1698;PRON;PER;she
102;1701;1701;PRON;PER;her
103;1710;1711;PROP;PER;Mrs. Manford
279;1716;1717;NOM;PER;the latter
102;1720;1720;PROP;PER;Nona
107;1724;1725;PROP;PER;Arthur Wyant
102;1727;1727;PRON;PER;she
299;1734;1735;NOM;PER;the girl
107;1738;1738;PRON;PER;him
107;1746;1746;PROP;PER;Wyant
102;1748;1748;PROP;PER;Nona
110;1758;1761;PROP;PER;the former Mrs. Wyant
323;1763;1763;PRON;PER;their
103;1775;1776;PROP;PER;Mrs. Manford
324;1791;1791;PRON;PER;them
325;1793;1793;NOM;PER;One
103;1820;1821;PROP;PER;Mrs. Manford
103;1827;1828;PROP;PER;Mrs. Manford
103;1829;1829;PRON;PER;herself
303;1842;1843;NOM;LOC;the world
103;1846;1847;PROP;PER;Mrs. Manford
103;1852;1852;PRON;PER;her
286;1852;1853;NOM;PER;her children
328;1855;1857;NOM;PER;all her household
103;1856;1856;PRON;PER;her
303;1864;1865;NOM;LOC;the world
102;1867;1868;PROP;PER;Nona Manford
102;1876;1876;PRON;PER;She
102;1882;1882;PRON;PER;her
276;1882;1883;NOM;PER;her mother
102;1890;1890;PRON;PER;she
102;1911;1911;PRON;PER;her
331;1911;1916;NOM;PER;her sister - in - law
105;1917;1917;PROP;PER;Lita
332;1919;2033;NOM;PER;the wife of her half - brother Jim Wyant -- the Lita with whom , as Miss Bruss remarked , she , Nona , danced away the nights . There was nobody on earth as dear to Nona as that same Jim , her elder by six or seven years , and who had been brother , comrade , guardian , almost father to her -- her own father , Dexter Manford , who was so clever , capable and kind , being almost always too busy at the office , or too firmly requisitioned by Mrs. Manford , when he was at home , to be able to spare much time for his daughter
102;1922;1922;PRON;PER;her
333;1922;1925;NOM;PER;her half - brother
110;1926;1927;PROP;PER;Jim Wyant
101;1935;1936;PROP;PER;Miss Bruss
102;1939;1939;PRON;PER;she
102;1941;1941;PROP;PER;Nona
334;1950;1952;NOM;PER;nobody on earth
102;1956;1956;PROP;PER;Nona
110;1960;1960;PROP;PER;Jim
102;1962;1962;PRON;PER;her
335;1962;1963;NOM;PER;her elder
336;1974;1974;NOM;PER;brother
337;1976;1978;NOM;PER;comrade , guardian
102;1983;1983;PRON;PER;her
102;1985;1985;PRON;PER;her
302;1985;1987;NOM;PER;her own father
103;1989;1990;PROP;PER;Dexter Manford
2608;2007;2008;NOM;FAC;the office
103;2015;2016;PROP;PER;Mrs. Manford
302;2019;2019;PRON;PER;he
2630;2022;2022;NOM;FAC;home
302;2032;2032;PRON;PER;his
341;2032;2033;NOM;PER;his daughter
110;2035;2035;PROP;PER;Jim
110;2038;2038;PRON;PER;him
110;2049;2049;PRON;PER;his
342;2049;2050;NOM;PER;his mother
342;2053;2053;PRON;PER;she
110;2055;2055;PRON;PER;him
110;2061;2061;PRON;PER;his
343;2061;2062;NOM;PER;his father
342;2064;2064;PRON;PER;she
342;2072;2072;PRON;PER;her
103;2084;2085;PROP;PER;Mrs. Manford
344;2090;2090;NOM;PER;anybody
345;2111;2111;PRON;PER;they
103;2118;2118;PRON;PER;her
110;2122;2122;PROP;PER;Jim
103;2128;2128;PRON;PER;her
103;2132;2132;PRON;PER;her
288;2132;2133;NOM;PER;her family
110;2142;2142;PRON;PER;his
103;2149;2149;PRON;PER;her
345;2150;2150;PRON;PER;their
110;2155;2155;PRON;PER;he
102;2175;2176;PROP;PER;little Nona
110;2183;2183;PRON;PER;him
102;2189;2189;PRON;PER;her
102;2195;2195;PRON;PER;her
347;2217;2222;NOM;FAC;the big untenanted library of Cedarledge
5;2222;2222;PROP;GPE;Cedarledge
348;2224;2228;NOM;LOC;the place in the country
349;2227;2228;NOM;GPE;the country
110;2232;2232;PRON;PER;his
350;2232;2234;NOM;FAC;his untidy study
351;2236;2242;NOM;FAC;the third floor of the town house
352;2240;2242;NOM;FAC;the town house
102;2251;2251;PRON;PER;her
