text,Titles
Montmartre,a_son_at_the_front
America,a_son_at_the_front
England,a_son_at_the_front
London,a_son_at_the_front
Paris,a_son_at_the_front
Deauville,a_son_at_the_front
Aix,a_son_at_the_front
Berlin,a_son_at_the_front
St. Moritz,a_son_at_the_front
Sicily,a_son_at_the_front
North Africa,a_son_at_the_front
Lille,a_son_at_the_front
French,a_son_at_the_front
Africa,a_son_at_the_front
France,a_son_at_the_front
Sedan,a_son_at_the_front
Palermo,a_son_at_the_front
New York,a_son_at_the_front
China,a_son_at_the_front
1870,a_son_at_the_front
Madrid,a_son_at_the_front
Lavengro,a_son_at_the_front
Harvard,a_son_at_the_front
Brant,a_son_at_the_front
Utica,a_son_at_the_front
The Hague,a_son_at_the_front
Luxembourg,a_son_at_the_front
Europe,a_son_at_the_front
Spain,a_son_at_the_front
Cordova,a_son_at_the_front
Reuters,a_son_at_the_front
Sargent,a_son_at_the_front
Lyons,a_son_at_the_front
Frankfort,a_son_at_the_front
Vienna,a_son_at_the_front
Belgrade,a_son_at_the_front
Alsace - Lorraine,a_son_at_the_front
Germany,a_son_at_the_front
Russia,a_son_at_the_front
Nuremberg,a_son_at_the_front
Wesel,a_son_at_the_front
Belgium,a_son_at_the_front
Fortin - Lescluze,a_son_at_the_front
CompiÃ¨gne,a_son_at_the_front
Biarritz,a_son_at_the_front
Campton,a_son_at_the_front
Saverne,a_son_at_the_front
Calais,a_son_at_the_front
Annette,a_son_at_the_front
Alsace,a_son_at_the_front
Nancy,a_son_at_the_front
Chalons,a_son_at_the_front
Louvain,a_son_at_the_front
Rheims,a_son_at_the_front
Havre,a_son_at_the_front
Cherbourg,a_son_at_the_front
Mexico,a_son_at_the_front
Dixmude,a_son_at_the_front
Ypres,a_son_at_the_front
ArmentiÃ¨res,a_son_at_the_front
Arras,a_son_at_the_front
Vailly,a_son_at_the_front
Aisne,a_son_at_the_front
Maucourt,a_son_at_the_front
Mogeville,a_son_at_the_front
Verdun,a_son_at_the_front
Vermelles,a_son_at_the_front
Pas - de - Calais,a_son_at_the_front
Aix Noulette,a_son_at_the_front
the Hauts - de - Meuse,a_son_at_the_front
Saint - Mihiel,a_son_at_the_front
Poland,a_son_at_the_front
Kielce - Sandomir,a_son_at_the_front
San,a_son_at_the_front
Galicia,a_son_at_the_front
Mlawa,a_son_at_the_front
Suippes,a_son_at_the_front
St. Cloud,a_son_at_the_front
Washington,a_son_at_the_front
Rotterdam,a_son_at_the_front
Murray Bay,a_son_at_the_front
Boulogne,a_son_at_the_front
Camptons,a_son_at_the_front
Parisian,a_son_at_the_front
Villejuif,a_son_at_the_front
Headquarters,a_son_at_the_front
Vauquois,a_son_at_the_front
Sainte Menehould,a_son_at_the_front
Atrocities,a_son_at_the_front
Neuve Chapelle,a_son_at_the_front
Connecticut,a_son_at_the_front
the Argonne,a_son_at_the_front
Bohemia,a_son_at_the_front
Italy,a_son_at_the_front
Austria,a_son_at_the_front
Anzac,a_son_at_the_front
Suvla,a_son_at_the_front
St. Denis,a_son_at_the_front
George,a_son_at_the_front
Luzarches,a_son_at_the_front
Doullens,a_son_at_the_front
ChÃ¢lons,a_son_at_the_front
Amiens,a_son_at_the_front
Boylston,a_son_at_the_front
Plattsburg,a_son_at_the_front
Georgia,a_son_at_the_front
Illinois,a_son_at_the_front
California,a_son_at_the_front
Parisâ€”â€œwith,a_son_at_the_front
Beausite,a_son_at_the_front
Silesia,a_son_at_the_front
Benny,a_son_at_the_front
Bernstorff,a_son_at_the_front
