text,Titles
Assisi,the_valley_of_decision
Pontesordo,the_valley_of_decision
Mantua,the_valley_of_decision
Pianura,the_valley_of_decision
Italy,the_valley_of_decision
Plutarch,the_valley_of_decision
Donnaz,the_valley_of_decision
Cerveno,the_valley_of_decision
faro,the_valley_of_decision
Valsecca,the_valley_of_decision
Rome,the_valley_of_decision
Pavia,the_valley_of_decision
Vercelli,the_valley_of_decision
Milan,the_valley_of_decision
Parma,the_valley_of_decision
Savoy,the_valley_of_decision
Turin,the_valley_of_decision
Tuscany,the_valley_of_decision
Lucca,the_valley_of_decision
Montferrat,the_valley_of_decision
France,the_valley_of_decision
Genoa,the_valley_of_decision
Avillion,the_valley_of_decision
Camelot,the_valley_of_decision
Valdu,the_valley_of_decision
Paris,the_valley_of_decision
Versailles,the_valley_of_decision
Asti,the_valley_of_decision
Oropa,the_valley_of_decision
Val Sesia,the_valley_of_decision
Salluzzo,the_valley_of_decision
Trescorre,the_valley_of_decision
Ivrea,the_valley_of_decision
Novara,the_valley_of_decision
Capuan,the_valley_of_decision
Europe,the_valley_of_decision
Venice,the_valley_of_decision
Chivasso,the_valley_of_decision
Vettura,the_valley_of_decision
Chioggia,the_valley_of_decision
Casa Valdu,the_valley_of_decision
England,the_valley_of_decision
Russia,the_valley_of_decision
Scyros,the_valley_of_decision
Damascus,the_valley_of_decision
Zaire,the_valley_of_decision
Lyons,the_valley_of_decision
Vignola,the_valley_of_decision
Naples,the_valley_of_decision
Piedmont,the_valley_of_decision
Spain,the_valley_of_decision
Cantapresto,the_valley_of_decision
Italy:--,the_valley_of_decision
Blois,the_valley_of_decision
Vendome,the_valley_of_decision
Vienna,the_valley_of_decision
Utopia,the_valley_of_decision
Tuscan,the_valley_of_decision
Stupinigi,the_valley_of_decision
Bologna,the_valley_of_decision
Fulvia,the_valley_of_decision
Lombardy,the_valley_of_decision
Boffalora,the_valley_of_decision
Rimini,the_valley_of_decision
Castelrovinato,the_valley_of_decision
Florence,the_valley_of_decision
Cafaggiolo,the_valley_of_decision
Modena,the_valley_of_decision
Tartaglia,the_valley_of_decision
Trent,the_valley_of_decision
France!--I,the_valley_of_decision
Boscofolto,the_valley_of_decision
Monte Alloro,the_valley_of_decision
Austria,the_valley_of_decision
Perugia,the_valley_of_decision
North Italy,the_valley_of_decision
Malta,the_valley_of_decision
Padua,the_valley_of_decision
Syria,the_valley_of_decision
Giorgione,the_valley_of_decision
Ucalegon,the_valley_of_decision
Heiligenstern,the_valley_of_decision
Innsbruck,the_valley_of_decision
Pomerania,the_valley_of_decision
Ratisbon,the_valley_of_decision
Ravenna,the_valley_of_decision
Posilipo,the_valley_of_decision
Capri,the_valley_of_decision
Vesuvius,the_valley_of_decision
Pompeii,the_valley_of_decision
Gamba,the_valley_of_decision
Procida,the_valley_of_decision
Sorrento,the_valley_of_decision
Germany,the_valley_of_decision
Venetia,the_valley_of_decision
America,the_valley_of_decision
Camaldoli,the_valley_of_decision
Garigliano,the_valley_of_decision
Monte Cassino,the_valley_of_decision
Antioch,the_valley_of_decision
Alexandria,the_valley_of_decision
Albany,the_valley_of_decision
Vicenza,the_valley_of_decision
Oriago,the_valley_of_decision
Fusina,the_valley_of_decision
Sicily,the_valley_of_decision
Greece,the_valley_of_decision
Bellocchio,the_valley_of_decision
Normandy,the_valley_of_decision
Provence,the_valley_of_decision
London,the_valley_of_decision
San Zaccaria,the_valley_of_decision
Aquileia,the_valley_of_decision
Treviso,the_valley_of_decision
Santa Chiara,the_valley_of_decision
Amsterdam,the_valley_of_decision
Venetian,the_valley_of_decision
Switzerland,the_valley_of_decision
Geneva,the_valley_of_decision
Brescia,the_valley_of_decision
Mestre,the_valley_of_decision
Peschiera,the_valley_of_decision
Garda,the_valley_of_decision
Verona,the_valley_of_decision
Arabia Petraea,the_valley_of_decision
Monte Baldo,the_valley_of_decision
Beaumarchais,the_valley_of_decision
Momola,the_valley_of_decision
Paradise,the_valley_of_decision
Austrian,the_valley_of_decision
Saxony,the_valley_of_decision
Alps,the_valley_of_decision
Siena,the_valley_of_decision
Alsace,the_valley_of_decision
Calabria,the_valley_of_decision
Ponte di Po,the_valley_of_decision
Egeria,the_valley_of_decision
Coblentz,the_valley_of_decision
Atropos,the_valley_of_decision
Cremona,the_valley_of_decision
Corsica,the_valley_of_decision
Bourbon,the_valley_of_decision
Hapsburg,the_valley_of_decision
Avignon,the_valley_of_decision
Bracciaforte,the_valley_of_decision
