COREF,start_token,end_token,prop,cat,text
1,16,16,PROP,GPE,Montmartre
2,65,65,PROP,GPE,America
3,71,71,PROP,GPE,England
4,81,81,PROP,GPE,London
5,89,89,PROP,GPE,Paris
6,661,661,PROP,GPE,Deauville
7,663,663,PROP,GPE,Aix
8,1083,1083,PROP,GPE,Berlin
9,1093,1094,PROP,GPE,St. Moritz
12,1177,1177,PROP,GPE,Sicily
13,1184,1185,PROP,GPE,North Africa
14,1506,1506,PROP,GPE,Lille
208,1840,1840,PROP,GPE,French
16,1995,1995,PROP,GPE,Africa
18,2194,2194,PROP,GPE,France
19,2227,2227,PROP,GPE,Sedan
20,2254,2254,PROP,GPE,Palermo
21,2415,2416,PROP,GPE,New York
22,2663,2663,PROP,GPE,China
26,4083,4083,PROP,GPE,1870
30,6913,6913,PROP,GPE,Madrid
32,7428,7428,PROP,GPE,Lavengro
33,7742,7742,PROP,GPE,Harvard
194,7877,7877,PROP,GPE,Brant
39,9691,9691,PROP,GPE,Utica
40,9759,9760,PROP,GPE,The Hague
41,9966,9966,PROP,GPE,Luxembourg
42,11019,11019,PROP,GPE,Europe
186,12520,12520,PROP,GPE,Spain
45,12586,12586,PROP,GPE,Cordova
46,15370,15370,PROP,GPE,Reuters
48,15818,15818,PROP,GPE,Sargent
50,18997,18997,PROP,GPE,Lyons
51,19542,19542,PROP,GPE,Frankfort
52,19544,19544,PROP,GPE,Vienna
53,20748,20748,PROP,GPE,Belgrade
54,20888,20890,PROP,GPE,Alsace - Lorraine
55,20919,20919,PROP,GPE,Germany
56,21154,21154,PROP,GPE,Russia
59,22245,22245,PROP,GPE,Nuremberg
60,22247,22247,PROP,GPE,Wesel
61,22364,22364,PROP,GPE,Belgium
182,23562,23564,PROP,GPE,Fortin - Lescluze
65,24723,24723,PROP,GPE,CompiÃ¨gne
66,24730,24730,PROP,GPE,Biarritz
174,24751,24751,PROP,GPE,Campton
68,25276,25276,PROP,GPE,Saverne
69,25981,25981,PROP,GPE,Calais
70,26557,26557,PROP,GPE,Annette
71,28284,28284,PROP,GPE,Alsace
73,28413,28413,PROP,GPE,Nancy
75,30523,30523,PROP,GPE,Chalons
76,30834,30834,PROP,GPE,Louvain
77,30839,30839,PROP,GPE,Rheims
78,31157,31157,PROP,GPE,Havre
79,31159,31159,PROP,GPE,Cherbourg
82,31754,31754,PROP,GPE,Mexico
83,32096,32096,PROP,GPE,Dixmude
84,32098,32098,PROP,GPE,Ypres
85,32100,32100,PROP,GPE,ArmentiÃ¨res
86,32102,32102,PROP,GPE,Arras
87,32135,32135,PROP,GPE,Vailly
88,32137,32137,PROP,GPE,Aisne
89,32143,32143,PROP,GPE,Maucourt
90,32145,32145,PROP,GPE,Mogeville
91,32151,32151,PROP,GPE,Verdun
92,32161,32161,PROP,GPE,Vermelles
93,32163,32167,PROP,GPE,Pas - de - Calais
94,32172,32173,PROP,GPE,Aix Noulette
95,32178,32183,PROP,GPE,the Hauts - de - Meuse
96,32187,32189,PROP,GPE,Saint - Mihiel
97,32197,32197,PROP,GPE,Poland
98,32214,32216,PROP,GPE,Kielce - Sandomir
99,32222,32222,PROP,GPE,San
100,32224,32224,PROP,GPE,Galicia
101,32226,32226,PROP,GPE,Mlawa
105,32947,32947,PROP,GPE,Suippes
106,33786,33787,PROP,GPE,St. Cloud
109,38611,38611,PROP,GPE,Washington
110,38729,38729,PROP,GPE,Rotterdam
111,39246,39247,PROP,GPE,Murray Bay
112,39318,39318,PROP,GPE,Boulogne
224,44767,44767,PROP,GPE,Camptons
117,45967,45967,PROP,GPE,Parisian
118,46953,46953,PROP,GPE,Villejuif
121,50108,50108,PROP,GPE,Headquarters
122,55412,55412,PROP,GPE,Vauquois
306,55427,55428,PROP,GPE,Sainte Menehould
124,56144,56144,PROP,GPE,Atrocities
126,57734,57735,PROP,GPE,Neuve Chapelle
128,58536,58536,PROP,GPE,Connecticut
81,62013,62014,PROP,GPE,the Argonne
132,65253,65253,PROP,GPE,Bohemia
137,72754,72754,PROP,GPE,Italy
228,72758,72758,PROP,GPE,Austria
140,72770,72770,PROP,GPE,Anzac
141,72783,72783,PROP,GPE,Suvla
143,73681,73682,PROP,GPE,St. Denis
175,73711,73711,PROP,GPE,George
145,73856,73856,PROP,GPE,Luzarches
146,74172,74172,PROP,GPE,Doullens
147,75825,75825,PROP,GPE,ChÃ¢lons
148,76648,76648,PROP,GPE,Amiens
247,83360,83360,PROP,GPE,Boylston
152,88441,88441,PROP,GPE,Plattsburg
154,88497,88497,PROP,GPE,Georgia
156,88503,88503,PROP,GPE,Illinois
157,88509,88509,PROP,GPE,California
159,89045,89045,PROP,GPE,Parisâ€”â€œwith
176,104235,104235,PROP,GPE,Beausite
162,104418,104418,PROP,GPE,Silesia
259,106149,106149,PROP,GPE,Benny
167,112780,112780,PROP,GPE,Bernstorff
