COREF,start_token,end_token,prop,cat,text
2,374,374,PROP,GPE,Springfield
4,562,562,PROP,GPE,Hepburn
5,608,608,PROP,GPE,Nettleton
1,734,735,PROP,GPE,North Dormer
10,1535,1536,PROP,GPE,Eagle Range
12,1563,1563,PROP,GPE,Italy
13,2452,2452,PROP,GPE,England
14,2690,2690,PROP,GPE,Plymouth
15,2692,2692,PROP,GPE,Salem
16,2873,2874,PROP,GPE,Eagle County
17,2944,2944,PROP,GPE,Dormer
18,2946,2946,PROP,GPE,Hamblin
19,2948,2948,PROP,GPE,Creston
21,7820,7820,PROP,GPE,Nettletons
23,14615,14616,PROP,GPE,New Hampshire
24,16258,16259,PROP,GPE,New York
87,25511,25511,PROP,GPE,Verena
39,29990,29990,PROP,GPE,Boston
40,31189,31189,PROP,GPE,France
20,36322,36323,PROP,GPE,Creston River
47,38637,38637,PROP,GPE,August
53,44517,44517,PROP,GPE,Providence
56,49005,49006,PROP,GPE,Creston Falls
57,49166,49166,PROP,GPE,Worcester
58,49168,49168,PROP,GPE,Portland
59,58552,58552,PROP,GPE,Victory
