COREF,start_token,end_token,prop,cat,text
2,24,25,PROP,GPE,New York
3,1105,1105,PROP,GPE,Paris
4,1107,1107,PROP,GPE,Vienna
214,1745,1745,PROP,GPE,Newland
6,2366,2367,PROP,GPE,South Carolina
7,2379,2380,PROP,GPE,Philadelphia Thorleys
8,2383,2383,PROP,GPE,Albany
10,2397,2398,PROP,GPE,University Place
284,2425,2425,PROP,GPE,Leffertses
13,2653,2653,PROP,GPE,Cuba
14,2949,2949,PROP,GPE,Europe
16,3186,3187,PROP,GPE,Staten Island
19,3381,3382,PROP,GPE,Louis Napoleon
21,4190,4190,PROP,GPE,Nice
22,4313,4313,PROP,GPE,Venice
230,5376,5376,PROP,GPE,Beaufort
25,5449,5449,PROP,GPE,America
27,5888,5888,PROP,GPE,Kew
28,5924,5924,PROP,GPE,England
29,6051,6051,PROP,GPE,Philadelphia
32,8497,8497,PROP,GPE,York
33,9036,9036,PROP,GPE,Rome
34,9375,9376,PROP,GPE,Madison Square
39,11284,11285,PROP,GPE,New England
41,12142,12142,PROP,GPE,Newlands
42,13301,13301,PROP,GPE,Lausanne
498,15263,15263,PROP,GPE,Luyden
45,15915,15915,PROP,GPE,Saratoga
46,15996,15997,PROP,GPE,Washington Square
47,16042,16042,PROP,GPE,Manhattan
48,16086,16086,PROP,GPE,Chippendale
49,16101,16101,PROP,GPE,Baltimore
50,16185,16185,PROP,GPE,Maryland
343,16205,16206,PROP,GPE,St. Austrey
53,16257,16257,PROP,GPE,Trevenna
54,16271,16271,PROP,GPE,Cornwall
55,16277,16277,PROP,GPE,Gloucestershire
57,16322,16322,PROP,GPE,Skuytercliff
354,16358,16358,PROP,GPE,Patroon
61,18400,18400,PROP,GPE,Russia
63,19300,19300,PROP,GPE,Italy
64,19306,19306,PROP,GPE,Manzoni
65,19449,19449,PROP,GPE,Florence
66,19454,19454,PROP,GPE,Cowes
67,19463,19463,PROP,GPE,Transylvania
68,19998,19998,PROP,GPE,Debrett
229,21763,21763,PROP,GPE,Medora
76,23306,23306,PROP,GPE,Egypt
77,24590,24590,PROP,GPE,New
78,24903,24903,PROP,GPE,Samarkand
79,26135,26135,PROP,GPE,London
80,32531,32532,PROP,GPE,San Francisco
90,38014,38014,PROP,GPE,Kendal
91,39325,39326,PROP,GPE,St. Augustine
92,39585,39585,PROP,GPE,Florida
94,42850,42850,PROP,GPE,Highbank
96,44571,44571,PROP,GPE,Rhinebeck
99,47728,47728,PROP,GPE,Aix
100,49063,49063,PROP,GPE,Granada
102,49083,49083,PROP,GPE,Seville
257,49125,49125,PROP,GPE,Lent
104,49907,49907,PROP,GPE,Newport
105,51327,51327,PROP,GPE,California
108,53898,53898,PROP,GPE,Providence
296,60391,60391,PROP,GPE,Dagonets
111,61193,61193,PROP,GPE,Washington
112,63868,63868,PROP,GPE,Botzen
116,64884,64884,PROP,GPE,Interlaken
117,64886,64886,PROP,GPE,Grindelwald
118,64895,64895,PROP,GPE,Etretat
120,65550,65550,PROP,GPE,Mayfair
121,65552,65553,PROP,GPE,South Kensington
122,65868,65868,PROP,GPE,Yorkshire
123,66495,66495,PROP,GPE,Harrow
124,66497,66497,PROP,GPE,Switzerland
126,66545,66545,PROP,GPE,Oxford
127,67134,67134,PROP,GPE,Bucharest
128,68826,68826,PROP,GPE,Maine
130,69620,69620,PROP,GPE,Portsmouth
137,72074,72074,PROP,GPE,Tuscany
139,72173,72174,PROP,GPE,Goat Island
141,72199,72199,PROP,GPE,Conanicut
146,73517,73517,PROP,GPE,Boston
147,73676,73676,PROP,GPE,Yucatan
149,73727,73731,PROP,GPE,Sillerton - Pennilow - Dagonet
153,74769,74770,PROP,GPE,Paradise Rocks
340,77645,77645,PROP,GPE,Nastasia
157,78013,78013,PROP,GPE,Baden
158,78379,78380,PROP,GPE,Point Arley
164,94009,94010,PROP,GPE,North Carolina
166,94430,94431,PROP,GPE,Jersey City
169,95841,95841,PROP,GPE,Pennsylvania
171,98081,98081,PROP,GPE,Boulogne
172,98084,98084,PROP,GPE,Pisa
173,98087,98088,PROP,GPE,Monte Carlo
278,101394,101394,PROP,GPE,Olenski
357,102005,102005,PROP,GPE,Letterblair
181,112240,112240,PROP,GPE,Heaven
182,112998,112998,PROP,GPE,Russia--
183,114047,114047,PROP,GPE,Calais
184,114301,114301,PROP,GPE,Athens
185,114303,114303,PROP,GPE,Smyrna
186,114305,114305,PROP,GPE,Constantinople
187,114334,114334,PROP,GPE,Naples
188,114350,114350,PROP,GPE,India
485,116060,116060,PROP,GPE,Japan
191,117867,117867,PROP,GPE,Eastlake
193,118371,118371,PROP,GPE,Chicago
194,118447,118447,PROP,GPE,Mauretania
195,118745,118745,PROP,GPE,Marseilles
197,119044,119044,PROP,GPE,France
198,119056,119057,PROP,GPE,Mont Blanc
199,119060,119060,PROP,GPE,Rheims
200,119062,119062,PROP,GPE,Chartres
201,119734,119735,PROP,GPE,Buenos Ayres
202,121245,121245,PROP,GPE,Versailles
205,121865,121865,PROP,GPE,Jove
207,121889,121889,PROP,GPE,Mansart
