COREF,start_token,end_token,prop,cat,text
1,15,15,PROP,GPE,Algiers
2,192,192,PROP,GPE,America
3,200,200,PROP,GPE,Boston
4,271,271,PROP,GPE,Geneva
5,276,276,PROP,GPE,Canterbury
6,301,301,PROP,GPE,Devonshire
7,324,324,PROP,GPE,Chatsworth
8,356,356,PROP,GPE,Venice
11,1343,1343,PROP,GPE,Australia
12,1350,1350,PROP,GPE,Egypt
13,1366,1367,PROP,GPE,New York
14,1386,1386,PROP,GPE,Harvard
19,6840,6840,PROP,GPE,Biskra
20,8734,8734,PROP,GPE,Italy
21,9288,9288,PROP,GPE,Monreale
22,9296,9296,PROP,GPE,Palermo
139,9315,9315,PROP,GPE,Sicily
24,9427,9427,PROP,GPE,Europe
27,13150,13150,PROP,GPE,Rumania
28,13152,13152,PROP,GPE,Brazil
29,14070,14070,PROP,GPE,Biarritz
31,14781,14781,PROP,GPE,CÃ¦sar
33,15080,15080,PROP,GPE,Riviera
34,15340,15340,PROP,GPE,Cortina
35,15876,15876,PROP,GPE,Deauville
142,16620,16620,PROP,GPE,Chipstone
37,17083,17083,PROP,GPE,Groton
39,17190,17190,PROP,GPE,Leysin
182,17232,17232,PROP,GPE,Cowes
41,17593,17593,PROP,GPE,England
42,17610,17610,PROP,GPE,Paris
44,19149,19150,PROP,GPE,San Giorgio
45,19159,19159,PROP,GPE,Fusina
47,19561,19561,PROP,GPE,Palaces
48,20886,20886,PROP,GPE,Switzerland
49,24114,24114,PROP,GPE,Cliffeâ€™s
143,26090,26090,PROP,GPE,Zinnia
54,26715,26715,PROP,GPE,Corfu
55,26717,26717,PROP,GPE,Athens
58,29610,29610,PROP,GPE,Scopys
197,29668,29668,PROP,GPE,Mendip
60,30725,30725,PROP,GPE,York
63,35653,35653,PROP,GPE,Padua
151,36558,36558,PROP,GPE,Buondelmonte
66,41838,41838,PROP,GPE,Rome
67,46843,46843,PROP,GPE,Trieste
70,52930,52930,PROP,GPE,Morocco
71,52948,52949,PROP,GPE,South Africa
120,53218,53218,PROP,GPE,Cliffe
175,54114,54114,PROP,GPE,Ormerod
74,55125,55125,PROP,GPE,California
75,55182,55182,PROP,GPE,Hollywood
77,59950,59950,PROP,GPE,Mafeking
78,59960,59960,PROP,GPE,London
80,64492,64492,PROP,GPE,Browning
81,64581,64581,PROP,GPE,Misurina
82,68087,68087,PROP,GPE,Westway
83,70827,70827,PROP,GPE,Toblach
89,82972,82972,PROP,GPE,Botzen
90,89472,89472,PROP,GPE,Constantinople
92,93527,93527,PROP,GPE,Texas
93,95382,95382,PROP,GPE,Lohengrin
94,98140,98140,PROP,GPE,Lancashire
95,98298,98300,PROP,GPE,the United States
96,101080,101080,PROP,GPE,Riva
97,101082,101082,PROP,GPE,Meran
98,106443,106443,PROP,GPE,Lyon
99,106781,106781,PROP,GPE,Verona
101,109956,109956,PROP,GPE,Incunabula
103,110173,110173,PROP,GPE,Dinard
104,112192,112192,PROP,GPE,Versailles
105,113012,113012,PROP,GPE,Rio
106,113046,113046,PROP,GPE,Liverpool
107,113691,113691,PROP,GPE,Bordeaux
110,114471,114471,PROP,GPE,Cibour
111,114473,114473,PROP,GPE,Hendaye
113,116105,116105,PROP,GPE,Chamonix
