COREF,start_token,end_token,prop,cat,text
7,2154,2155,PROP,GPE,Apex City
8,2157,2158,PROP,GPE,New York
192,2319,2319,PROP,GPE,Apex
15,5470,5470,PROP,GPE,Atalanta
16,6128,6128,PROP,GPE,England
17,6580,6580,PROP,GPE,York
18,6752,6752,PROP,GPE,Cracow
19,6957,6957,PROP,GPE,Georgia
20,6976,6976,PROP,GPE,Nebraska
26,9994,9994,PROP,GPE,Berlin
28,11070,11070,PROP,GPE,Cavaleeria
29,13978,13978,PROP,GPE,Europe
30,14307,14307,PROP,GPE,California
32,14372,14372,PROP,GPE,Buffalo
216,14435,14435,PROP,GPE,Indiana
34,14467,14467,PROP,GPE,Richmond
35,14624,14624,PROP,GPE,Virginia
36,14721,14721,PROP,GPE,Washington
37,14878,14878,PROP,GPE,Boston
40,15182,15182,PROP,GPE,Deposit
41,15320,15321,PROP,GPE,Skog Harbour
42,15323,15323,PROP,GPE,Maine
43,15369,15369,PROP,GPE,Bostonian
2,20223,20224,PROP,GPE,Washington Square
50,20394,20394,PROP,GPE,Harvard
51,20398,20398,PROP,GPE,Oxford
52,20559,20559,PROP,GPE,Columbia
53,20968,20968,PROP,GPE,Spain
54,22001,22001,PROP,GPE,UNdoolay
55,23174,23174,PROP,GPE,Andromeda
56,24260,24260,PROP,GPE,Wales
60,30592,30592,PROP,GPE,Alaska
61,31257,31257,PROP,GPE,Eubaw
63,32265,32265,PROP,GPE,Lohengrin
65,37493,37493,PROP,GPE,Kindergarten
66,38342,38342,PROP,GPE,Siena
67,38503,38503,PROP,GPE,Naples
69,39494,39494,PROP,GPE,Switzerland
70,39588,39588,PROP,GPE,Lecceto
71,39739,39739,PROP,GPE,Rome
72,40097,40097,PROP,GPE,Italy
73,40352,40353,PROP,GPE,St. Moritz
309,42343,42343,PROP,GPE,Jove
75,42354,42354,PROP,GPE,Prometheus
76,43146,43146,PROP,GPE,Paris
77,43159,43159,PROP,GPE,America
79,45732,45732,PROP,GPE,August
81,46657,46658,PROP,GPE,New York--
82,47160,47160,PROP,GPE,Greenock
83,47214,47214,PROP,GPE,London
84,47839,47839,PROP,GPE,Plymouth
85,47952,47952,PROP,GPE,Enghien
86,47962,47962,PROP,GPE,Chantilly
90,48877,48877,PROP,GPE,Parisian
91,55332,55332,PROP,GPE,Apex!--could
93,61769,61769,PROP,GPE,Morningside
94,64019,64019,PROP,GPE,Ararat
95,65013,65013,PROP,GPE,Tuxedo
97,65705,65705,PROP,GPE,Newport
104,78330,78330,PROP,GPE,France
105,78359,78359,PROP,GPE,Burgundy
364,81324,81324,PROP,GPE,Faubourg
38,81463,81464,PROP,GPE,Potash Springs
112,83537,83537,PROP,GPE,Aix
113,83547,83547,PROP,GPE,Italy--
114,83585,83585,PROP,GPE,Venice
115,83595,83595,PROP,GPE,Trouville
116,83616,83616,PROP,GPE,Normandy
117,83658,83658,PROP,GPE,Scotland
118,83660,83660,PROP,GPE,Norway--
382,83672,83672,PROP,GPE,Chelles
121,89397,89398,PROP,GPE,the Bronx
122,89594,89595,PROP,GPE,Long Island
123,89672,89673,PROP,GPE,New Yorkers
124,93634,93634,PROP,GPE,Chicago
125,93636,93636,PROP,GPE,Omaha
126,93675,93675,PROP,GPE,Dakota
127,93697,93699,PROP,GPE,the United States
128,96789,96790,PROP,GPE,Sioux Falls
131,98365,98365,PROP,GPE,Reno
134,102021,102021,PROP,GPE,Egypt
136,103901,103901,PROP,GPE,Denver
137,103999,104000,PROP,GPE,Little Rock
139,107747,107747,PROP,GPE,Cherbourg
140,108216,108216,PROP,GPE,Lucerne
141,110385,110387,PROP,GPE,Monte - Carlo
142,111234,111234,PROP,GPE,Nice
143,111587,111587,PROP,GPE,Cimiez
144,112719,112719,PROP,GPE,Beaulieu
147,116685,116685,PROP,GPE,March
148,118623,118623,PROP,GPE,Esquire
150,121062,121062,PROP,GPE,NEW
152,127016,127017,PROP,GPE,San Francisco
156,131860,131860,PROP,GPE,Opake
158,135641,135641,PROP,GPE,Bedlam
159,135680,135680,PROP,GPE,Montmartre
162,137846,137847,PROP,GPE,Saint Desert
163,138466,138466,PROP,GPE,Deauville
164,139004,139004,PROP,GPE,Pau
165,140602,140602,PROP,GPE,Arlington
167,143900,143900,PROP,GPE,Beaune
168,143902,143902,PROP,GPE,Dijon
169,144283,144284,PROP,GPE,Asia Minor
172,150781,150781,PROP,GPE,Congress
173,151942,151942,PROP,GPE,Compiegne
187,165677,165677,PROP,GPE,Florence
