COREF,start_token,end_token,prop,cat,text
1,17,17,PROP,GPE,Hanaford
104,2815,2815,PROP,GPE,Westmore
7,4005,4006,PROP,GPE,New York
8,4017,4018,PROP,GPE,Long Island
9,4994,4994,PROP,GPE,Paris
10,5555,5555,PROP,GPE,Moosuc
11,5691,5691,PROP,GPE,Hopewood
13,8395,8395,PROP,GPE,Naples
15,8529,8529,PROP,GPE,Vienna
16,11312,11312,PROP,GPE,Albany
17,14506,14506,PROP,GPE,Europe
18,14511,14511,PROP,GPE,America
19,24311,24311,PROP,GPE,Warsaw
23,42529,42529,PROP,GPE,England
26,43039,43039,PROP,GPE,Clifton
27,43171,43171,PROP,GPE,Lynbrook
28,45717,45717,PROP,GPE,Rushton
31,48779,48779,PROP,GPE,Maplewood
32,50630,50630,PROP,GPE,Capua
33,56255,56255,PROP,GPE,Chicago
180,59590,59590,PROP,GPE,Carbury
96,70222,70222,PROP,GPE,Amherst
39,70526,70526,PROP,GPE,Newport
41,76513,76513,PROP,GPE,Islip
42,84429,84429,PROP,GPE,Mapleside
44,87939,87939,PROP,GPE,Egypt
46,87966,87966,PROP,GPE,Boston
47,87968,87968,PROP,GPE,Baltimore
52,90636,90636,PROP,GPE,Philadelphia
56,97632,97633,PROP,GPE,New Jersey
57,98650,98650,PROP,GPE,Georgia
59,101790,101790,PROP,GPE,Millfield
60,107174,107174,PROP,GPE,London
62,108549,108549,PROP,GPE,Bermuda
63,108940,108941,PROP,GPE,Wady Halfa
64,108961,108961,PROP,GPE,Algiers
66,109393,109393,PROP,GPE,Corrientes
69,110510,110510,PROP,GPE,Alexandria
70,110518,110518,PROP,GPE,Brindisi
71,113386,113386,PROP,GPE,Cherbourg
65,116667,116668,PROP,GPE,Buenos Ayres
122,117982,117982,PROP,GPE,Bessy
75,120698,120698,PROP,GPE,Louis
76,122125,122125,PROP,GPE,Germany
130,122981,122981,PROP,GPE,Cicely
78,123061,123062,PROP,GPE,Mount Desert
79,123760,123760,PROP,GPE,September
80,128195,128195,PROP,GPE,Canada
83,131938,131938,PROP,GPE,avowal
84,134053,134053,PROP,GPE,Tuxedo
85,134055,134055,PROP,GPE,Lakewood
88,140738,140738,PROP,GPE,Quebec
89,140740,140740,PROP,GPE,Montreal
90,140742,140742,PROP,GPE,Saranac
91,145371,145371,PROP,GPE,Hanaford----
93,157727,157727,PROP,GPE,Michigan
