COREF,start_token,end_token,prop,cat,text
1,163,163,PROP,GPE,Chicago
2,242,242,PROP,GPE,Versailles
3,249,250,PROP,GPE,Monte Carlo
4,394,394,PROP,GPE,Paris
5,446,446,PROP,GPE,Como
6,2022,2022,PROP,GPE,Newport
7,2032,2032,PROP,GPE,California
9,3359,3359,PROP,GPE,Canada
10,3371,3371,PROP,GPE,Florida
12,3845,3846,PROP,GPE,New York
13,4527,4528,PROP,GPE,New Hampshire
14,5087,5087,PROP,GPE,India
15,6684,6684,PROP,GPE,Venice
19,7714,7714,PROP,GPE,Milan
23,12945,12945,PROP,GPE,Rome
24,12947,12947,PROP,GPE,Bucharest
25,13001,13001,PROP,GPE,Europe
26,13302,13302,PROP,GPE,Philadelphia
267,13911,13911,PROP,GPE,Altringham
28,13916,13917,PROP,GPE,Great Britain
29,13928,13928,PROP,GPE,Ireland
30,13930,13930,PROP,GPE,Scotland
31,14414,14414,PROP,GPE,Capri
32,15739,15740,PROP,GPE,St. Moritz
33,15742,15742,PROP,GPE,Deauville
38,15955,15955,PROP,GPE,Aquileia
39,16288,16288,PROP,GPE,Mesopotamia
40,16386,16387,PROP,GPE,Bryn Mawr
41,16394,16394,PROP,GPE,Bagdad
42,16405,16405,PROP,GPE,Turkestan
45,17157,17157,PROP,GPE,Pomposa
46,17159,17159,PROP,GPE,Ravenna
49,17477,17477,PROP,GPE,Asia
50,18471,18471,PROP,GPE,Biarritz
53,21858,21858,PROP,GPE,Austria
54,24044,24044,PROP,GPE,London
184,24053,24053,PROP,GPE,Vanderlyn
56,24076,24076,PROP,GPE,Mayfair
57,24923,24923,PROP,GPE,Torcello
58,25777,25777,PROP,GPE,Persia
59,27077,27077,PROP,GPE,Crete
61,27103,27103,PROP,GPE,Northumberland
43,27152,27153,PROP,GPE,San Giorgio
67,34238,34238,PROP,GPE,England
68,34437,34437,PROP,GPE,Genoa
228,34688,34688,PROP,GPE,Tiepolo
75,38256,38256,PROP,GPE,Turin
76,38672,38672,PROP,GPE,China
77,39216,39216,PROP,GPE,September
193,39665,39665,PROP,GPE,Providence
80,39730,39730,PROP,GPE,Roslyn
81,39783,39783,PROP,GPE,Brindisi
82,40420,40420,PROP,GPE,Egypt
175,41219,41219,PROP,GPE,Fulmer
198,44997,44997,PROP,GPE,Streff
89,45334,45334,PROP,GPE,Garcon
90,47198,47198,PROP,GPE,Munich
91,48642,48642,PROP,GPE,Spain
92,49382,49382,PROP,GPE,Malta
93,50104,50104,PROP,GPE,Corsica
94,50106,50106,PROP,GPE,Sardinia
95,50112,50112,PROP,GPE,Sicily
96,50120,50120,PROP,GPE,Naples
163,50272,50272,PROP,GPE,Rhodes
99,50499,50500,PROP,GPE,Apex City
102,50986,50986,PROP,GPE,Mantegna
103,52293,52293,PROP,GPE,Candia
106,54590,54590,PROP,GPE,Ruan
113,62571,62571,PROP,GPE,Cairo
114,62703,62703,PROP,GPE,Altringhamâ€--and
170,63344,63344,PROP,GPE,Ibis
117,63377,63377,PROP,GPE,Teutoburger
119,63894,63894,PROP,GPE,Nice
120,63905,63905,PROP,GPE,Berlin
121,63907,63907,PROP,GPE,Vienna
122,63909,63909,PROP,GPE,Madrid
123,64151,64152,PROP,GPE,St. James
125,64884,64884,PROP,GPE,Athens
126,66890,66890,PROP,GPE,Teutoburg
127,67813,67813,PROP,GPE,Dunes
128,68795,68795,PROP,GPE,Switzerland
159,70700,70700,PROP,GPE,Lansing
132,71501,71501,PROP,GPE,London--
134,72514,72514,PROP,GPE,Italy
140,76428,76428,PROP,GPE,West
142,78211,78212,PROP,GPE,Central Asia
143,78336,78336,PROP,GPE,Saracenic
144,80781,80781,PROP,GPE,Passy
146,83286,83286,PROP,GPE,America
286,83438,83438,PROP,GPE,Waldhain
149,84514,84516,PROP,GPE,Teutoburg - Waldhain
151,86868,86869,PROP,GPE,St. Eustache
153,87469,87470,PROP,GPE,La Muette
154,88260,88260,PROP,GPE,Palermo
156,92028,92028,PROP,GPE,Fontainebleau
157,92041,92041,PROP,GPE,Fontainebleau--
158,94705,94705,PROP,GPE,Lyon
