COREF,start_token,end_token,prop,cat,text
1,546,546,PROP,GPE,Tuxedo
3,557,557,PROP,GPE,Bellomont
4,568,568,PROP,GPE,Rhinebeck
6,906,907,PROP,GPE,New York
9,3386,3386,PROP,GPE,India
10,4041,4042,PROP,GPE,La Bruyere
11,4631,4632,PROP,GPE,Richfield Springs
13,5368,5368,PROP,GPE,London
119,6457,6458,PROP,GPE,Van Osburgh
16,7022,7022,PROP,GPE,Yonkers
17,8741,8741,PROP,GPE,Albany
18,9359,9359,PROP,GPE,Garrisons
21,12035,12035,PROP,GPE,Europe
22,12302,12302,PROP,GPE,Newport
23,12304,12304,PROP,GPE,Southampton
24,12680,12680,PROP,GPE,Paris
26,15932,15933,PROP,GPE,New Jersey
27,18140,18140,PROP,GPE,Beltshire
29,18522,18522,PROP,GPE,America
32,29767,29767,PROP,GPE,Peekskill
33,36039,36039,PROP,GPE,Richfield
34,37485,37485,PROP,GPE,Doucet
35,39591,39591,PROP,GPE,Osburgh
124,43599,43599,PROP,GPE,Rosedale
8,46796,46796,PROP,GPE,Benedick
131,48183,48183,PROP,GPE,Dorset
42,49751,49751,PROP,GPE,Neuilly
45,61361,61361,PROP,GPE,Brooklyn
108,61487,61487,PROP,GPE,Selden
50,78959,78959,PROP,GPE,Aix
51,83260,83260,PROP,GPE,Havana
54,83391,83391,PROP,GPE,Axminster
55,83670,83670,PROP,GPE,Mediterranean
56,83687,83688,PROP,GPE,Monte Carlo
60,85095,85095,PROP,GPE,Monaco
61,85221,85221,PROP,GPE,Sicily
62,85439,85439,PROP,GPE,Cannes
63,85446,85446,PROP,GPE,Macedonia
64,85455,85455,PROP,GPE,Cimiez
66,85837,85837,PROP,GPE,Nice
169,93719,93719,PROP,GPE,Jove
75,100216,100216,PROP,GPE,England
76,104353,104354,PROP,GPE,New Amsterdam
77,104515,104516,PROP,GPE,Long Island
78,107277,107277,PROP,GPE,Roslyn
80,107529,107530,PROP,GPE,Coney Island
81,108651,108652,PROP,GPE,Bar Harbour
83,108792,108792,PROP,GPE,Alaska
82,109107,109108,PROP,GPE,Lake George
86,109457,109459,PROP,GPE,New York August
150,110856,110857,PROP,GPE,Van Osburghs
111,110859,110859,PROP,GPE,Trenors
91,122539,122539,PROP,GPE,Harvard
