COREF,start_token,end_token,prop,cat,text
1,494,494,PROP,GPE,Normandy
2,666,666,PROP,GPE,Baltimore
3,676,676,PROP,GPE,Harvard
5,2716,2717,PROP,GPE,New York
7,4310,4315,PROP,GPE,St. Jean - de - Luz
8,4318,4318,PROP,GPE,Bordighera
9,4321,4321,PROP,GPE,Dinard
10,4374,4374,PROP,GPE,America
11,4400,4400,PROP,GPE,Canada
12,4518,4518,PROP,GPE,Quebec
14,4544,4544,PROP,GPE,France
17,6403,6403,PROP,GPE,Brooklyn
18,6457,6457,PROP,GPE,Bridgeport
19,7418,7419,PROP,GPE,San Francisco
20,7447,7447,PROP,GPE,Philadelphia
21,7554,7554,PROP,GPE,Albany
23,8670,8670,PROP,GPE,Taormina
27,10730,10730,PROP,GPE,Undergrounds
28,10732,10732,PROP,GPE,Elevateds
33,12066,12066,PROP,GPE,Paris
34,15147,15147,PROP,GPE,Spain
35,15149,15149,PROP,GPE,Italy
36,15195,15195,PROP,GPE,Rome
37,16059,16059,PROP,GPE,Bethesda
72,16960,16962,PROP,GPE,New _ York
41,17688,17688,PROP,GPE,Meridia
42,18698,18698,PROP,GPE,Europe
46,27766,27767,PROP,GPE,Brooklyn Bridge
153,29520,29520,PROP,GPE,Lilla
53,34416,34416,PROP,GPE,Washington
54,35766,35767,PROP,GPE,Long Island
55,36154,36155,PROP,GPE,Belleau Wood
58,37185,37186,PROP,GPE,Rock Creek
59,39199,39200,PROP,GPE,South Carolina
29,41859,41859,PROP,GPE,Aubusson
95,44559,44559,PROP,GPE,Anne
26,48343,48344,PROP,GPE,Fifth Avenue
64,50520,50520,PROP,GPE,Rio
65,50522,50522,PROP,GPE,Marseilles
66,50534,50534,PROP,GPE,Egypt
67,50536,50536,PROP,GPE,Crete
68,59036,59036,PROP,GPE,Chicago
69,62026,62026,PROP,GPE,Hempstead
70,62922,62922,PROP,GPE,Madgeâ€™s--
71,65914,65915,PROP,GPE,St. Stephen
57,66761,66761,PROP,GPE,D.S.M.
77,79965,79965,PROP,GPE,Meridia--
78,83763,83763,PROP,GPE,Florida
79,83768,83768,PROP,GPE,India
80,83773,83773,PROP,GPE,Suez
81,84538,84538,PROP,GPE,Liverpool
83,90044,90044,PROP,GPE,Mimosa
84,90493,90493,PROP,GPE,Anaconda
85,90495,90495,PROP,GPE,Georgia
