COREF,start_token,end_token,prop,cat,text
2,24,24,PROP,GPE,Dover
3,279,279,PROP,GPE,London
4,697,697,PROP,GPE,France
5,1037,1037,PROP,GPE,Europe
7,1598,1598,PROP,GPE,America
8,1807,1807,PROP,GPE,England
9,2038,2038,PROP,GPE,Oxford
10,2999,2999,PROP,GPE,Paris
11,3941,3942,PROP,GPE,London Embassy
12,4303,4303,PROP,GPE,Chelsea
13,6629,6629,PROP,GPE,Calais
14,6795,6796,PROP,GPE,New York
16,8280,8280,PROP,GPE,Amiens
94,10177,10177,PROP,GPE,Farlows
19,10446,10446,PROP,GPE,Joigny
21,10843,10844,PROP,GPE,South America
22,12203,12203,PROP,GPE,Folkestone
23,12216,12216,PROP,GPE,Wichita
24,12218,12218,PROP,GPE,Kansas
25,12236,12236,PROP,GPE,Torquay
26,12327,12327,PROP,GPE,Montmartre
30,16566,16566,PROP,GPE,Givre
31,18444,18444,PROP,GPE,Styx
33,19743,19743,PROP,GPE,Bayswater!--Besides
35,20455,20455,PROP,GPE,Bellevue
97,26034,26035,PROP,GPE,Anna Leath
38,26188,26188,PROP,GPE,Ouchy
40,27992,27992,PROP,GPE,Italy
71,33247,33247,PROP,GPE,Darrow
42,38876,38876,PROP,GPE,Francheuil
43,38881,38881,PROP,GPE,Dijon
44,42150,42150,PROP,GPE,Albany
45,50471,50472,PROP,GPE,South Braintree
46,50474,50474,PROP,GPE,Massachusetts
48,66302,66302,PROP,GPE,Boston
52,69365,69366,PROP,GPE,Mount Auburn
53,83181,83181,PROP,GPE,Marly
54,83836,83836,PROP,GPE,Rouen
57,99901,99901,PROP,GPE,Rome
122,100297,100297,PROP,GPE,Adelaide
59,103319,103319,PROP,GPE,Lisbon
61,109216,109216,PROP,GPE,Spain
64,115760,115760,PROP,GPE,Nice
65,116220,116220,PROP,GPE,India
66,116230,116230,PROP,GPE,Brindisi
