COREF,start_token,end_token,prop,cat,text
1,134,134,PROP,GPE,Assisi
2,293,293,PROP,GPE,Pontesordo
3,421,421,PROP,GPE,Mantua
4,457,457,PROP,GPE,Pianura
5,1165,1165,PROP,GPE,Italy
359,6538,6538,PROP,GPE,Plutarch
7,7241,7241,PROP,GPE,Donnaz
394,7901,7901,PROP,GPE,Cerveno
9,8323,8323,PROP,GPE,faro
234,8908,8908,PROP,GPE,Valsecca
11,8934,8934,PROP,GPE,Rome
12,9066,9066,PROP,GPE,Pavia
13,9350,9350,PROP,GPE,Vercelli
14,11007,11007,PROP,GPE,Milan
15,11256,11256,PROP,GPE,Parma
16,11458,11458,PROP,GPE,Savoy
17,12598,12598,PROP,GPE,Turin
18,12903,12903,PROP,GPE,Tuscany
19,13075,13075,PROP,GPE,Lucca
21,13496,13496,PROP,GPE,Montferrat
22,13499,13499,PROP,GPE,France
23,13504,13504,PROP,GPE,Genoa
24,13762,13762,PROP,GPE,Avillion
25,13775,13775,PROP,GPE,Camelot
26,14164,14164,PROP,GPE,Valdu
27,14643,14643,PROP,GPE,Paris
28,14661,14661,PROP,GPE,Versailles
291,15691,15691,PROP,GPE,Asti
31,15719,15719,PROP,GPE,Oropa
32,15908,15909,PROP,GPE,Val Sesia
33,15911,15911,PROP,GPE,Salluzzo
254,16302,16302,PROP,GPE,Trescorre
37,21138,21138,PROP,GPE,Ivrea
38,21140,21140,PROP,GPE,Novara
39,21248,21248,PROP,GPE,Capuan
40,21350,21350,PROP,GPE,Europe
41,21532,21532,PROP,GPE,Venice
42,21828,21828,PROP,GPE,Chivasso
43,22790,22790,PROP,GPE,Vettura
44,22993,22993,PROP,GPE,Chioggia
48,24410,24411,PROP,GPE,Casa Valdu
49,25608,25608,PROP,GPE,England
50,25610,25610,PROP,GPE,Russia
52,26332,26332,PROP,GPE,Scyros
53,27773,27773,PROP,GPE,Damascus
54,27972,27972,PROP,GPE,Zaire
55,28340,28340,PROP,GPE,Lyons
56,28943,28943,PROP,GPE,Vignola
59,29243,29243,PROP,GPE,Naples
60,29406,29406,PROP,GPE,Piedmont
63,33195,33195,PROP,GPE,Spain
267,33532,33532,PROP,GPE,Cantapresto
65,33893,33893,PROP,GPE,Italy:--
68,35375,35375,PROP,GPE,Blois
69,35377,35377,PROP,GPE,Vendome
73,38975,38975,PROP,GPE,Vienna
74,39233,39233,PROP,GPE,Utopia
76,40210,40210,PROP,GPE,Tuscan
277,45694,45694,PROP,GPE,Stupinigi
79,47585,47585,PROP,GPE,Bologna
362,47629,47629,PROP,GPE,Fulvia
81,51711,51711,PROP,GPE,Lombardy
82,52041,52041,PROP,GPE,Boffalora
83,53137,53137,PROP,GPE,Rimini
391,54685,54685,PROP,GPE,Castelrovinato
88,56012,56012,PROP,GPE,Florence
89,56298,56298,PROP,GPE,Cafaggiolo
90,56304,56304,PROP,GPE,Modena
382,57250,57250,PROP,GPE,Tartaglia
262,67824,67824,PROP,GPE,Trent
96,68718,68718,PROP,GPE,France!--I
97,69321,69321,PROP,GPE,Boscofolto
99,73450,73451,PROP,GPE,Monte Alloro
100,73473,73473,PROP,GPE,Austria
104,77719,77719,PROP,GPE,Perugia
107,78772,78773,PROP,GPE,North Italy
108,79671,79671,PROP,GPE,Malta
109,81156,81156,PROP,GPE,Padua
111,88041,88041,PROP,GPE,Syria
427,88298,88298,PROP,GPE,Giorgione
113,88369,88369,PROP,GPE,Ucalegon
397,91516,91516,PROP,GPE,Heiligenstern
115,92627,92627,PROP,GPE,Innsbruck
116,92855,92855,PROP,GPE,Pomerania
117,92969,92969,PROP,GPE,Ratisbon
118,93019,93019,PROP,GPE,Ravenna
120,93916,93916,PROP,GPE,Posilipo
125,96466,96466,PROP,GPE,Capri
126,96477,96477,PROP,GPE,Vesuvius
127,96701,96701,PROP,GPE,Pompeii
282,97009,97009,PROP,GPE,Gamba
129,97215,97215,PROP,GPE,Procida
130,97217,97217,PROP,GPE,Sorrento
131,97408,97408,PROP,GPE,Germany
132,97860,97860,PROP,GPE,Venetia
137,100318,100318,PROP,GPE,America
139,100693,100693,PROP,GPE,Camaldoli
141,100846,100846,PROP,GPE,Garigliano
142,100974,100975,PROP,GPE,Monte Cassino
145,102015,102015,PROP,GPE,Antioch
146,102017,102017,PROP,GPE,Alexandria
148,102360,102360,PROP,GPE,Albany
150,102863,102863,PROP,GPE,Vicenza
151,102931,102931,PROP,GPE,Oriago
152,102938,102938,PROP,GPE,Fusina
154,103238,103238,PROP,GPE,Sicily
155,103240,103240,PROP,GPE,Greece
156,103308,103308,PROP,GPE,Bellocchio
157,103974,103974,PROP,GPE,Normandy
158,103976,103976,PROP,GPE,Provence
159,105629,105629,PROP,GPE,London
163,108940,108941,PROP,GPE,San Zaccaria
167,109866,109866,PROP,GPE,Aquileia
174,111021,111021,PROP,GPE,Treviso
176,114044,114045,PROP,GPE,Santa Chiara
179,114429,114429,PROP,GPE,Amsterdam
180,115725,115725,PROP,GPE,Venetian
181,117851,117851,PROP,GPE,Switzerland
182,117857,117857,PROP,GPE,Geneva
184,118730,118730,PROP,GPE,Brescia
188,122309,122309,PROP,GPE,Mestre
189,123352,123352,PROP,GPE,Peschiera
190,123357,123357,PROP,GPE,Garda
191,124232,124232,PROP,GPE,Verona
193,126154,126155,PROP,GPE,Arabia Petraea
503,126186,126187,PROP,GPE,Monte Baldo
195,126542,126542,PROP,GPE,Beaumarchais
241,132679,132679,PROP,GPE,Momola
198,139428,139428,PROP,GPE,Paradise
199,140527,140527,PROP,GPE,Austrian
201,141149,141149,PROP,GPE,Saxony
20,142078,142078,PROP,GPE,Alps
206,143272,143272,PROP,GPE,Siena
207,143705,143705,PROP,GPE,Alsace
211,145965,145965,PROP,GPE,Calabria
121,147838,147840,PROP,GPE,Ponte di Po
217,150353,150353,PROP,GPE,Egeria
219,155330,155330,PROP,GPE,Coblentz
220,157929,157929,PROP,GPE,Atropos
222,158163,158163,PROP,GPE,Cremona
224,174720,174720,PROP,GPE,Corsica
225,174888,174888,PROP,GPE,Bourbon
226,174890,174890,PROP,GPE,Hapsburg
227,175790,175790,PROP,GPE,Avignon
398,176496,176496,PROP,GPE,Bracciaforte
