COREF,start_token,end_token,prop,cat,text
1,271,271,PROP,GPE,York
2,571,572,PROP,GPE,New York
3,1140,1140,PROP,GPE,Bolivia
4,1389,1389,PROP,GPE,Florida
5,2222,2222,PROP,GPE,Cedarledge
6,2457,2457,PROP,GPE,Pennsylvania
7,2462,2462,PROP,GPE,Exploit
8,2508,2508,PROP,GPE,Tallahassee
9,2582,2582,PROP,GPE,Scotland
10,3550,3550,PROP,GPE,Fords
11,3876,3876,PROP,GPE,Spain
12,3906,3906,PROP,GPE,Albany
13,4054,4054,PROP,GPE,Rome
14,4056,4056,PROP,GPE,Naples
15,4058,4059,PROP,GPE,St. Moritz
17,4107,4108,PROP,GPE,Long Island
18,4336,4336,PROP,GPE,Lucera
19,4349,4349,PROP,GPE,Washington
20,4548,4548,PROP,GPE,Baltimore
23,6166,6166,PROP,GPE,California
24,6268,6268,PROP,GPE,Europe
26,15118,15118,PROP,GPE,Delos
27,15552,15552,PROP,GPE,Chicago
28,17947,17947,PROP,GPE,March
29,19046,19046,PROP,GPE,Bohemia
71,19329,19330,PROP,GPE,San Fedele
33,21031,21031,PROP,GPE,Climax
34,21036,21036,PROP,GPE,England
36,21232,21232,PROP,GPE,Humber
37,23311,23311,PROP,GPE,Hollywood
105,25698,25698,PROP,GPE,Lita
43,26848,26848,PROP,GPE,Oregon
44,27218,27218,PROP,GPE,Harvard
45,27220,27220,PROP,GPE,Columbia
118,27334,27334,PROP,GPE,Venturino
47,28639,28639,PROP,GPE,America
48,29869,29869,PROP,GPE,Dawnside
52,38578,38578,PROP,GPE,Asheville
55,40394,40394,PROP,GPE,Georgia
59,41237,41237,PROP,GPE,Columbus
60,41251,41252,PROP,GPE,Vineyard Haven
62,41608,41608,PROP,GPE,Abyssinia
63,41639,41639,PROP,GPE,Petra
64,41799,41799,PROP,GPE,Thessaly
65,43357,43357,PROP,GPE,Christiania
131,44695,44695,PROP,GPE,Ardwin
68,45146,45146,PROP,GPE,Hudson
70,46974,46974,PROP,GPE,Orleans
73,53194,53194,PROP,GPE,Maine
172,54850,54850,PROP,GPE,Klawhammer
75,60731,60731,PROP,GPE,Easter
159,67284,67284,PROP,GPE,Powder
117,71483,71483,PROP,GPE,Amalasuntha
80,71885,71885,PROP,GPE,Greystock
81,75952,75952,PROP,GPE,Greenwich
82,76198,76198,PROP,GPE,Flanders
253,78224,78225,PROP,GPE,C├ªsar Borgia
85,78264,78264,PROP,GPE,Paris
87,79061,79061,PROP,GPE,Italy
90,86707,86708,PROP,GPE,Atlantic City
262,88897,88897,PROP,GPE,Gobine
94,98478,98478,PROP,GPE,Vancouver
95,98486,98486,PROP,GPE,Japan
96,98495,98495,PROP,GPE,Ceylon
97,98497,98497,PROP,GPE,India
98,98583,98583,PROP,GPE,Egypt
99,98594,98594,PROP,GPE,Cairo
100,98607,98607,PROP,GPE,Canada
