COREF;start_token;end_token;prop;cat;text
424;3;4;NOM;GPE;THE COUNTRY
190;6;7;PROP;PER;EDITH WHARTON
0;14;14;PRON;PER;I
191;17;17;PROP;PER;Spragg
191;21;21;PRON;PER;you
425;24;24;PRON;PER;her
426;24;25;NOM;PER;her mother
3740;42;47;NOM;PER;"a languid "" bell - boy"
426;55;55;PRON;PER;her
426;61;61;PRON;PER;her
426;65;65;PRON;PER;she
426;70;70;PRON;PER;her
427;70;71;NOM;PER;her visitor
192;73;74;PROP;PER;Miss Spragg
192;80;80;PRON;PER;her
192;86;86;PRON;PER;herself
192;100;100;PRON;PER;I
192;106;106;PRON;PER;me
192;109;109;PRON;PER;she
192;113;113;PRON;PER;her
425;116;116;PRON;PER;her
426;116;117;NOM;PER;her mother
430;121;121;PRON;PER;you
193;124;125;PROP;PER;Mrs. Heeny
194;128;129;PROP;PER;Mrs. Spragg
193;135;136;PROP;PER;Mrs. Heeny
429;138;161;NOM;PER;a stout professional - looking person in a waterproof , her rusty veil thrown back , and a shabby alligator bag at her feet
193;148;148;PRON;PER;her
193;160;160;PRON;PER;her
430;164;165;NOM;PER;the mother
193;175;175;PRON;PER;I
193;184;184;PRON;PER;she
193;195;195;PRON;PER;her
431;195;196;NOM;PER;her hostess
194;200;201;PROP;PER;Mrs. Spragg
194;203;203;PRON;PER;her
427;203;204;NOM;PER;her visitor
433;213;223;NOM;FAC;one of the private drawing - rooms of the Hotel Stentorian
434;215;223;NOM;FAC;the private drawing - rooms of the Hotel Stentorian
435;221;223;NOM;FAC;the Hotel Stentorian
436;225;227;NOM;FAC;The Spragg rooms
437;231;235;NOM;FAC;one of the Looey suites
438;233;235;NOM;FAC;the Looey suites
439;238;241;NOM;FAC;the drawing - room
436;245;245;PRON;FAC;their
195;266;267;PROP;PER;Marie Antoinette
196;269;272;PROP;PER;the Princess de Lamballe
440;322;322;PRON;FAC;it
441;324;325;NOM;FAC;the room
194;334;335;PROP;PER;Mrs. Spragg
194;336;336;PRON;PER;herself
194;346;346;PRON;PER;she
194;358;358;PRON;PER;Her
194;370;370;PRON;PER;her
193;401;402;PROP;PER;Mrs. Heeny
194;419;419;PRON;PER;her
194;431;431;PRON;PER;her
193;455;456;PROP;PER;Mrs. Heeny
442;458;464;NOM;PER;"a "" society "" manicure and masseuse"
194;467;468;PROP;PER;Mrs. Spragg
194;470;470;PRON;PER;her
443;470;471;NOM;PER;her daughter
194;472;472;PRON;PER;she
444;480;480;NOM;PER;friend
194;491;491;PRON;PER;her
194;497;497;PRON;PER;she
445;509;514;NOM;PER;the lonely ladies of the Stentorian
446;513;514;NOM;PER;the Stentorian
3741;516;522;NOM;PER;"The young girl whose "" form """
193;525;526;PROP;PER;Mrs. Heeny
194;536;536;PRON;PER;she
426;546;546;PRON;PER;you
194;554;554;PRON;PER;she
194;568;568;PRON;PER;her
426;568;569;NOM;PER;her mother
197;579;580;PROP;PER;Mr. Popple
194;583;584;PROP;PER;Mrs. Spragg
426;597;597;PRON;PER;you
194;599;599;PRON;PER;I
194;606;606;PRON;PER;her
443;606;607;NOM;PER;her daughter
194;613;613;PRON;PER;she
198;628;629;PROP;PER;Mr. Marvell
3742;628;631;NOM;PER;Mr. Marvell 's sister
3742;635;635;PRON;PER;she
3742;637;637;PRON;PER;she
198;639;639;PRON;PER;his
3743;639;640;NOM;PER;his sister
194;643;644;PROP;PER;Mrs. Spragg
194;653;653;PRON;PER;her
194;662;662;PRON;PER;her
193;668;669;PROP;PER;Mrs. Heeny
198;681;681;PROP;PER;Marvell
198;684;684;PROP;PER;Marvell
449;689;690;NOM;PER;The girl
3744;695;697;NOM;PER;A little fellow
449;699;699;PRON;PER;I
197;701;702;PROP;PER;Mr. Popple
197;704;704;PRON;PER;his
199;707;707;PROP;PER;Ralph
449;711;711;PRON;PER;her
426;711;712;NOM;PER;her mother
192;716;716;PROP;PER;Undine
3745;718;718;PRON;PER;them
3746;725;725;NOM;FAC;downstairs
197;730;731;PROP;PER;Mr. Popple
426;734;734;PRON;PER;her
426;744;744;PRON;PER;she
193;752;752;PRON;PER;you
192;755;755;PRON;PER;I
192;759;759;PROP;PER;Undine
192;763;763;PRON;PER;her
192;769;769;PRON;PER;her
426;769;770;NOM;PER;her mother
452;772;772;PRON;PER;their
193;780;780;PRON;PER;you
193;782;782;PRON;PER;you
194;785;786;PROP;PER;Mrs. Spragg
193;791;792;PROP;PER;Mrs. Heeny
452;796;796;PRON;PER;their
193;801;801;PRON;PER;her
197;809;809;PROP;PER;Popple
197;811;813;PROP;PER;Claud Walsingham Popple
3747;815;817;NOM;PER;the portrait painter
449;823;823;PRON;PER;I
197;827;827;PRON;PER;He
197;829;829;PRON;PER;he
449;834;834;PRON;PER;me
200;836;837;PROP;PER;Mabel Lipscomb
197;839;839;PRON;PER;him
449;841;841;PRON;PER;I
449;846;846;PRON;PER;I
197;849;849;PRON;PER;him
449;853;854;NOM;PER;the girl
193;864;864;PRON;PER;you
197;866;866;PRON;PER;him
193;868;869;PROP;PER;Mrs. Heeny
194;872;873;PROP;PER;Mrs. Spragg
194;877;877;PRON;PER;I
194;880;880;PRON;PER;I
194;883;883;PRON;PER;I
197;885;885;PRON;PER;him
197;887;887;PRON;PER;his
201;897;900;PROP;PER;Mrs. Harmon B. Driscoll
193;903;904;PROP;PER;Mrs. Heeny
193;908;908;PRON;PER;her
454;908;909;NOM;PER;her hearers
193;912;912;PRON;PER;I
3748;914;914;NOM;PER;everybody
3748;917;917;PRON;PER;they
193;921;921;PRON;PER;ME
3748;922;922;PRON;PER;they
197;929;931;PROP;PER;Claud Walsingham Popple
197;937;937;PRON;PER;he
193;946;946;PRON;PER;she
199;952;953;PROP;PER;Ralph Marvell
3749;955;957;NOM;PER;the little fellow
3750;960;960;PRON;PER;you
197;962;962;PRON;PER;him
192;965;966;PROP;PER;Undine Spragg
192;985;985;PRON;PER;her
192;989;989;PRON;PER;She
192;996;996;PRON;PER;herself
192;1001;1001;PRON;PER;she
192;1010;1010;PRON;PER;her
192;1030;1030;PRON;PER;her
192;1038;1038;PRON;PER;her
192;1044;1044;PRON;PER;her
3750;1053;1053;PRON;PER;you
202;1055;1056;PROP;PER;the Marvells
202;1059;1059;PRON;PER;THEY
192;1063;1063;PRON;PER;she
193;1066;1067;PROP;PER;Mrs. Heeny
455;1073;1088;NOM;PER;a pedagogue who has vainly striven to implant the rudiments of knowledge in a rebellious mind
192;1093;1094;PROP;PER;Undine Spragg
193;1096;1096;PRON;PER;I
3750;1099;1099;PRON;PER;you
202;1102;1102;PRON;PER;them
3751;1107;1107;PRON;PER;His
3752;1107;1108;NOM;PER;His mother
