COREF;start_token;end_token;prop;cat;text
242;2;3;NOM;PER;THE MOTHER
87;7;8;PROP;PER;Kate Clephane
87;22;22;PRON;PER;her
87;29;29;PRON;PER;she
87;33;33;PRON;PER;her
243;33;36;NOM;FAC;her shabby cramped room
244;38;47;NOM;FAC;the third - rate HÃ´tel de Minorque et de lâ€™Univers
87;56;56;PRON;PER;her
87;73;74;PROP;PER;Kate Clephane
245;76;76;PRON;PER;They
246;86;86;NOM;FAC;home
247;90;90;NOM;PER;one
247;93;93;NOM;PER;one
247;103;103;NOM;PER;one
247;108;108;NOM;PER;one
87;123;123;PRON;PER;she
251;128;128;NOM;PER;friends
87;132;132;PRON;PER;her
87;145;145;PRON;PER;her
252;167;168;NOM;FAC;the garden
253;182;184;NOM;FAC;the shuttered villa
253;187;187;PRON;FAC;its
1441;234;235;NOM;PER;friends â€
87;253;253;PRON;PER;hers
87;273;273;PRON;PER;she
88;277;277;PROP;PER;Chris
87;281;281;PRON;PER;her
89;298;298;PROP;PER;Julie
254;298;303;NOM;PER;Julie the cook in the house
255;302;303;NOM;FAC;the house
87;312;312;PRON;PER;she
87;316;316;PRON;PER;her
256;319;319;NOM;PER;people
256;327;327;PRON;PER;they
87;332;332;PRON;PER;her
87;340;341;PROP;PER;Kate Clephane
87;345;345;PRON;PER;she
87;374;374;PRON;PER;she
257;379;383;NOM;PER;women of her own kind
87;381;381;PRON;PER;her
87;386;386;PRON;PER;she
258;402;405;NOM;PER;women properly so called
87;407;407;PRON;PER;Her
259;419;419;NOM;PER;hypocrites
87;425;425;PRON;PER;herself
87;435;435;PRON;PER;she
87;443;443;PRON;PER;she
260;451;452;NOM;PER;only one
261;455;461;NOM;PER;the right man at the right hour
87;463;463;PRON;PER;She
87;465;465;PRON;PER;her
87;483;483;PRON;PER;she
88;485;485;PROP;PER;Chris
262;490;494;NOM;LOC;a lost place in Normandy
1;494;494;PROP;GPE;Normandy
263;499;503;NOM;FAC;a railway within ten miles
264;506;506;PRON;PER;you
265;511;512;NOM;PER;the farmer
