COREF;start_token;end_token;prop;cat;text
564;27;30;NOM;FAC;the small neglected chapel
565;35;36;NOM;FAC;the farm
566;49;51;NOM;FAC;the lower fields
567;57;59;NOM;FAC;the old house
229;64;64;PROP;PER;Filomena
568;69;77;NOM;PER;the little white - faced foundling in the kitchen
569;76;77;NOM;FAC;the kitchen
570;115;116;NOM;FAC;the chancel
571;131;134;NOM;PER;the saint of Assisi
1;134;134;PROP;GPE;Assisi
572;157;161;NOM;PER;the Christ at whose feet
573;162;163;NOM;PER;the saint
574;171;178;NOM;PER;all poor down - trodden folk on earth
575;178;178;NOM;LOC;earth
576;181;184;NOM;PER;the small Odo Valsecca
577;186;191;NOM;PER;the only frequenter of the chapel
578;190;191;NOM;FAC;the chapel
579;197;198;NOM;PER;the farmer
580;197;200;NOM;PER;the farmer 's wife
581;203;206;NOM;PER;a beggar 's brat
576;210;210;PRON;PER;his
579;219;220;NOM;PER;the farmer
583;219;222;NOM;PER;the farmer 's son
576;224;224;PRON;PER;he
576;236;236;PRON;PER;he
576;241;241;PRON;PER;him
584;246;247;NOM;PER;the mother
230;256;259;PROP;PER;the Marquesses di Donnaz
576;266;266;PRON;PER;he
585;270;276;NOM;PER;the stout Saint George in gold armour
586;290;293;NOM;FAC;The chapel of Pontesordo
2;293;293;PROP;GPE;Pontesordo
587;308;312;NOM;PER;a neglected and solitary child
2;320;320;PROP;GPE;Pontesordo
588;322;329;NOM;FAC;a fortified manor of the Dukes of Pianura
589;326;329;NOM;GPE;the Dukes of Pianura
590;335;336;NOM;FAC;a farmhouse
578;339;340;NOM;FAC;the chapel
592;351;352;NOM;PER;a priest
593;355;356;NOM;GPE;the town
578;364;364;PRON;FAC;it
594;397;400;NOM;FAC;The manor of Pontesordo
595;405;407;NOM;PER;The country people
596;410;421;NOM;PER;the great warlock Virgil , whose dwelling - place was at Mantua
231;413;413;PROP;PER;Virgil
3;421;421;PROP;GPE;Mantua
231;426;426;PRON;PER;himself
597;432;437;NOM;FAC;the topmost chamber of the keep
598;436;437;NOM;FAC;the keep
232;449;449;PROP;PER;Alda
599;453;457;NOM;PER;an early lord of Pianura
4;457;457;PROP;GPE;Pianura
232;461;461;PRON;PER;herself
598;463;463;PRON;FAC;its
233;470;472;PROP;PER;the terrible Ezzelino
578;474;475;NOM;FAC;The chapel
601;477;478;NOM;FAC;this keep
229;481;481;PROP;PER;Filomena
579;483;484;NOM;PER;the farmer
580;483;486;NOM;PER;the farmer 's wife
234;489;489;PROP;PER;Odo
578;491;491;PRON;FAC;it
604;496;497;NOM;FAC;the tower
605;506;519;NOM;PER;early martyrs who had concealed themselves there from the persecutions of the pagan emperors
605;511;511;PRON;PER;themselves
606;512;512;NOM;GPE;there
607;517;519;NOM;PER;the pagan emperors
608;524;526;NOM;PER;a child of
234;527;527;PROP;PER;Odo
229;541;541;PROP;PER;Filomena
229;550;550;PRON;PER;her
229;570;570;PRON;PER;she
609;577;578;NOM;PER;the pagans
578;581;582;NOM;FAC;the chapel
231;584;584;PROP;PER;Virgil
611;590;594;NOM;PER;the Christians they had tortured
609;592;592;PRON;PER;they
612;609;609;PRON;PER;them
234;611;611;PROP;PER;Odo
613;616;619;NOM;PER;these pale strange people
613;626;626;PRON;PER;their
614;638;661;NOM;PER;boys no bigger than himself , holding spotted dogs in leash -- were younger and nearer to him than the dwellers on the farm
234;642;642;PRON;PER;himself
234;655;655;PRON;PER;him
615;657;661;NOM;PER;the dwellers on the farm
565;660;661;NOM;FAC;the farm
235;663;663;PROP;PER;Jacopone
579;664;665;NOM;PER;the farmer
229;667;669;PROP;PER;the shrill Filomena
234;673;673;PROP;PER;Odo
618;673;677;NOM;PER;Odo 's foster - mother
619;679;757;NOM;PER;the hulking bully their son and the abate who once a week came out from Pianura to give Odo religious instruction and who dismissed his questions with the invariable exhortation not to pry into matters that were beyond his years . Odo had loved the pictures in the chapel all the better since the abate , with a shrug , had told him they were nothing but old rubbish , the work of the barbarians . Life at Pontesordo
620;682;682;PRON;PER;their
621;682;683;NOM;PER;their son
622;685;718;NOM;PER;the abate who once a week came out from Pianura to give Odo religious instruction and who dismissed his questions with the invariable exhortation not to pry into matters that were beyond his years
4;694;694;PROP;GPE;Pianura
234;697;697;PROP;PER;Odo
234;703;703;PRON;PER;his
234;717;717;PRON;PER;his
234;720;720;PROP;PER;Odo
578;726;727;NOM;FAC;the chapel
624;732;733;NOM;PER;the abate
234;741;741;PRON;PER;him
625;752;753;NOM;PER;the barbarians
2;757;757;PROP;GPE;Pontesordo
626;765;782;NOM;PER;an ardent and sensitive little boy of nine , whose remote connection with the reigning line of Pianura
236;782;782;PROP;PER;Pianura
626;786;786;PRON;PER;him
627;804;805;NOM;FAC;kitchen doorstep
234;810;810;PRON;PER;your
8087;810;811;NOM;PER;your mother
229;817;817;PROP;PER;Filomena
234;821;821;PRON;PER;him
234;824;824;PRON;PER;his
234;828;828;PRON;PER;his
234;834;834;PRON;PER;his
234;845;845;PRON;PER;you
628;849;849;PRON;PER;my
237;850;850;PROP;PER;Giannozzo
234;854;854;PRON;PER;you
234;862;862;PRON;PER;your
628;865;865;PRON;PER;mine
8088;873;874;NOM;PER;poor folk
234;883;883;PRON;PER;your
234;891;891;PRON;PER;your
8089;894;894;PRON;PER;we
238;900;900;PROP;PER;Assumption--
234;906;906;PRON;PER;You
234;910;910;PRON;PER;your
8087;910;911;NOM;PER;your mother
234;913;913;PRON;PER;you
8087;917;917;PRON;PER;she
8091;920;920;NOM;FAC;here
8092;925;926;NOM;PER;fine ladies
8092;928;928;PRON;PER;their
8093;928;929;NOM;PER;their brats
8092;937;937;PRON;PER;they
8092;943;943;PRON;PER;their
624;950;951;NOM;PER;the abate
624;955;955;PRON;PER;he
624;960;960;PRON;PER;his
8095;963;965;NOM;PER;a naked woman
624;968;968;PRON;PER;his
624;974;974;PRON;PER;He
624;977;977;PRON;PER;his
234;981;981;PRON;PER;you
234;990;990;PRON;PER;your
8096;990;991;NOM;PER;your friends
578;993;994;NOM;FAC;the chapel
8096;999;999;PRON;PER;they
234;1002;1002;PRON;PER;you
239;1009;1010;PROP;PER;Saint Francis
8098;1017;1021;NOM;PER;the father of the discalced
8099;1020;1021;NOM;PER;the discalced
234;1027;1027;PRON;PER;you
628;1034;1034;PRON;PER;she
234;1045;1045;PRON;PER;you
8099;1048;1049;NOM;PER;the discalced
629;1063;1066;NOM;PER;the beggar - noble
630;1069;1069;PRON;PER;they
629;1071;1071;PRON;PER;him
2;1073;1073;PROP;GPE;Pontesordo
578;1079;1080;NOM;FAC;the chapel
629;1084;1084;PRON;PER;himself
632;1101;1103;NOM;PER;the mournful saint
234;1110;1110;PROP;PER;Odo
633;1110;1112;NOM;FAC;Odo 's lot
634;1118;1123;NOM;PER;many children in the eighteenth century
635;1126;1128;NOM;PER;those whose parents
636;1128;1128;NOM;PER;parents
637;1130;1161;NOM;PER;cadets of noble houses , with an appanage barely sufficient to keep their wives and themselves in court finery , much less to pay their debts and clothe and educate their children
638;1132;1133;NOM;PER;noble houses
636;1142;1142;PRON;PER;their
