COREF,start_token,end_token,prop,cat,text
174,1,2,PROP,PER,John Campton
175,179,179,PROP,PER,George
176,357,357,PROP,PER,Beausite
9,658,659,PROP,PER,St. Moritz
178,665,665,PROP,PER,Royat
179,823,824,PROP,PER,de Dolmetsch
180,874,874,PROP,PER,Jorgenstein
181,888,891,PROP,PER,young Prince Demetrios PalamÃ¨des
182,935,937,PROP,PER,Fortin - Lescluze
183,1073,1075,PROP,PER,little Charlie Alicante
184,1137,1137,PROP,PER,Agadir
68,1139,1139,PROP,PER,Saverne
186,1227,1227,PROP,PER,Spain
187,1502,1502,PROP,PER,Mariette
188,1543,1544,PROP,PER,Paul Dastrey
189,1661,1662,PROP,PER,Daisy Dolmetsch
190,1835,1836,PROP,PER,Ladislas Isador
8,1950,1950,PROP,PER,Berlin
192,2013,2013,PROP,PER,Georgeâ€”â€”.
193,2634,2634,PROP,PER,Lint
194,3262,3263,PROP,PER,Julia Brant
195,3378,3380,PROP,PER,Mme . Lebel
196,3496,3498,PROP,PER,Mrs. Anderson Brant
197,3710,3711,PROP,PER,Mr. Brant
198,3912,3914,PROP,PER,Duc de MontlhÃ©ry
199,3926,3926,PROP,PER,LÃ©vi
200,4982,4982,PROP,PER,Bullard
201,4984,4984,PROP,PER,Brantâ€™s
202,5920,5920,PROP,PER,Coronas
203,5986,5987,PROP,PER,the Brants
204,6948,6949,PROP,PER,the Tziganes
205,7398,7398,PROP,PER,Dad
206,7513,7513,PROP,PER,Providence
207,7642,7642,PROP,PER,Initiation
208,8356,8357,PROP,PER,the French
209,8403,8404,PROP,PER,Louis Dastrey
210,8447,8447,PROP,PER,Angell
211,9686,9691,PROP,PER,your cousin Harvey Mayhew of Utica
212,9746,9747,PROP,PER,Mr. Mayhew
213,10444,10444,PROP,PER,IV
214,10720,10721,PROP,PER,Julia Ambrose
215,10757,10759,PROP,PER,old Horace Ambrose
216,11072,11073,PROP,PER,Mrs. Campton
217,11127,11128,PROP,PER,the Mangle
218,11152,11153,PROP,PER,Miss Ambrose
219,11164,11164,PROP,PER,NeÃ¦ra
220,11271,11272,PROP,PER,Adele Anthony
221,11321,11322,PROP,PER,Miss Anthony
222,11356,11357,PROP,PER,Bill Anthony
223,12579,12579,PROP,PER,Ronda
224,13467,13468,PROP,PER,the Camptons
225,13615,13616,PROP,PER,Sainte Clotilde
226,14747,14747,PROP,PER,Signorelli
227,14800,14800,PROP,PER,V
228,14894,14894,PROP,PER,Austria
229,15064,15065,PROP,PER,Uncle Andy
230,15306,15307,PROP,PER,the Nereids
231,15334,15334,PROP,PER,Marly
232,15372,15372,PROP,PER,Havases
233,15811,15811,PROP,PER,Whistler
41,15854,15855,PROP,PER,the Luxembourg
235,16258,16259,PROP,PER,Hubert Robert
236,17297,17297,PROP,PER,War
237,17445,17445,PROP,PER,Naples
238,17997,17998,PROP,PER,VI Campton
2728,18022,18022,PROP,PER,Monsieur
239,18058,18059,PROP,PER,Monsieur Jean
240,18129,18131,PROP,PER,Mme . Fortin
241,18406,18407,PROP,PER,the Germans
242,19336,19337,PROP,PER,St. Bernard
243,19580,19580,PROP,PER,Hullo
244,19628,19628,PROP,PER,Provender
245,19889,19890,PROP,PER,Old Adele
246,19972,19974,PROP,PER,The Golden Bough
247,20373,20373,PROP,PER,Boylston
248,20892,20892,PROP,PER,Bismarck
249,21219,21219,PROP,PER,Valmy
250,21587,21587,PROP,PER,Rude
251,22194,22194,PROP,PER,VIII
252,22507,22507,PROP,PER,you_!â€â€”who
253,22599,22599,PROP,PER,Brantâ€â€”and
254,23528,23528,PROP,PER,seeâ€â€”but
255,24050,24051,PROP,PER,Mrs. Talkett
256,25788,25788,PROP,PER,Adamson
257,27031,27032,PROP,PER,Poor Adele
258,28600,28602,PROP,PER,Madame de Dolmetsch
259,28809,28810,PROP,PER,Benny Upsher
260,28901,28902,PROP,PER,Mr. Upsher
261,29173,29174,PROP,PER,Madeline Mayhew
61,29691,29691,PROP,PER,Belgium
263,29807,29809,PROP,PER,Uncle Harvey Mayhew
264,30045,30046,PROP,PER,Madeline Upsher
265,30200,30201,PROP,PER,the Marne
266,30425,30425,PROP,PER,God
267,32205,32206,PROP,PER,The Russians
268,32436,32440,PROP,PER,Jean - Jacques - Marie
270,33612,33612,PROP,PER,Jules
271,33748,33752,PROP,PER,The _ Chasseur Alpin _
272,34267,34268,PROP,PER,Good Lord
273,35091,35091,PROP,PER,Raffet
274,35098,35098,PROP,PER,Napoleon
275,35527,35527,PROP,PER,Secretly
277,37224,37225,PROP,PER,Nouveau Luxe
278,37611,37611,PROP,PER,XII
279,38630,38630,PROP,PER,Camptonâ€”_I
280,38757,38758,PROP,PER,Camptonâ€”_Peace _
281,39458,39459,PROP,PER,Red Crosses
282,39667,39668,PROP,PER,Madge Talkett
283,40200,40202,PROP,PER,Juan de BorgoÃ±a
284,40837,40838,PROP,PER,RenÃ© Davril
285,41554,41554,PROP,PER,Awkward
286,41612,41612,PROP,PER,XIII
287,41648,41649,PROP,PER,Jean Fortin
288,42923,42924,PROP,PER,the Davrils
289,44758,44759,PROP,PER,LÃ©once Black
5,45262,45262,PROP,PER,Paris
291,45810,45810,PROP,PER,Burgundy
292,46246,46246,PROP,PER,Mademoiselle
293,46924,46926,PROP,PER,Mme . Davril
294,46934,46936,PROP,PER,Mlle . Davril
295,49242,49242,PROP,PER,XV
296,50405,50406,PROP,PER,the Monster
297,50436,50437,PROP,PER,Poor Mme
298,52022,52023,PROP,PER,XVI Campton
299,52777,52777,PROP,PER,Whereas
300,54429,54429,PROP,PER,Darkness
301,55239,55240,PROP,PER,GEORGIUS SCRIBLERIUS
1753,55902,55902,PROP,PER,Lord
302,56658,56658,PROP,PER,Chopin
303,57192,57192,PROP,PER,Cassandra
304,58517,58518,PROP,PER,Young Fortin
305,58733,58736,PROP,PER,Death â€™s Head Pennon
306,59420,59421,PROP,PER,Sainte Menehould
308,60714,60714,PROP,PER,Habit
309,61446,61448,PROP,PER,the Champs ElysÃ©es
310,61479,61479,PROP,PER,Nature
311,61773,61773,PROP,PER,Bridge
312,61967,61970,PROP,PER,The Marquise de Tranlay
313,62470,62470,PROP,PER,Faust
314,62707,62707,PROP,PER,Care
315,62795,62796,PROP,PER,the Talketts
316,64075,64075,PROP,PER,XX
317,64283,64285,PROP,PER,Louis Philippe mahogany
2,64889,64889,PROP,PER,America
319,65026,65027,PROP,PER,Mr. Talkett
320,65864,65865,PROP,PER,Mrs. Talkettâ€™s
321,66346,66346,PROP,PER,Jorgensteinâ€™s
322,66645,66648,PROP,PER,Mme . de Tranlay
323,68192,68192,PROP,PER,Olida
324,70008,70008,PROP,PER,Bonjour
325,70929,70930,PROP,PER,Mr. Jorgenstein
326,71530,71531,PROP,PER,XXIII Campton
327,72131,72131,PROP,PER,Ca
3849,72611,72611,PROP,PER,Mr.
81,74680,74681,PROP,PER,the Argonne
329,74944,74945,PROP,PER,the Prefecture
330,77048,77048,PROP,PER,Sentinels
331,77415,77415,PROP,PER,Doullens
332,78526,78527,PROP,PER,Old Dad
333,78566,78566,PROP,PER,Mother
334,79549,79549,PROP,PER,Paradise
335,79987,79987,PROP,PER,Drub
336,81898,81898,PROP,PER,Sisters
337,83219,83219,PROP,PER,Blooming
338,83600,83602,PROP,PER,Philippe de Champaigne
339,84417,84419,PROP,PER,Georgeâ€”_Mrs . Talkett
340,85745,85745,PROP,PER,....
341,86042,86042,PROP,PER,Silence
342,87504,87504,PROP,PER,Portraits
343,92073,92073,PROP,PER,Claire
344,92150,92150,PROP,PER,Mamma
345,92661,92661,PROP,PER,Stravinsky
346,92934,92936,PROP,PER,Duchesse de Murols
347,96375,96375,PROP,PER,Meredith
348,97657,97657,PROP,PER,Hallo
349,99457,99457,PROP,PER,Reynolds
350,102663,102664,PROP,PER,Young Dastrey
351,104230,104230,PROP,PER,Mmes
352,104874,104874,PROP,PER,Marseillaise
353,108735,108735,PROP,PER,Juanito
354,109016,109016,PROP,PER,Pepito
355,109755,109756,PROP,PER,King Solomon
356,110491,110491,PROP,PER,Mothers
358,115833,115833,PROP,PER,Beauty
359,118025,118026,PROP,PER,Benny Upshers
360,119982,119982,PROP,PER,Brantâ€™ll
361,120256,120261,PROP,PER,Saint Brice - Sous - ForÃªt
