COREF,start_token,end_token,prop,cat,text
63,2,3,PROP,PER,Edith Wharton
64,11,12,PROP,PER,lawyer Royall
65,365,366,PROP,PER,Annabel Balch
66,380,382,PROP,PER,old Miss Hatchard
67,554,555,PROP,PER,Mr. Miles
5,788,788,PROP,PER,Nettleton
69,969,970,PROP,PER,Charity Royall
70,1442,1443,PROP,PER,Honorius Hatchard
71,1543,1544,PROP,PER,Washington Irving
72,1546,1549,PROP,PER,Fitz - Greene Halleck
73,1650,1650,PROP,PER,Minerva
74,1757,1758,PROP,PER,Ally Hawes
75,2512,2512,PROP,PER,Harney
76,3270,3271,PROP,PER,Mr. Harney
77,3608,3609,PROP,PER,Orma Fry
78,3619,3619,PROP,PER,Ben
79,3652,3653,PROP,PER,Uncle Tom
80,3668,3668,PROP,PER,Longfellow
81,4185,4186,PROP,PER,Mrs. Royall
82,4404,4404,PROP,PER,Starkfield
83,4911,4912,PROP,PER,Lawyer Royall
84,5638,5640,PROP,PER,poor Eudora Skeff
85,6125,6126,PROP,PER,Daniel Webster
1,6942,6943,PROP,PER,North Dormer
87,6968,6970,PROP,PER,old Verena Marsh
88,7163,7164,PROP,PER,Carrick Fry
89,7313,7313,PROP,PER,Bancroft
90,7828,7829,PROP,PER,Belle Balch
91,9510,9511,PROP,PER,Young Harney
92,9633,9634,PROP,PER,Ida Targatt
93,9818,9819,PROP,PER,Bill Sollas
94,11490,11491,PROP,PER,Liff Hyatt
95,11569,11570,PROP,PER,Dan Targatt
96,12192,12193,PROP,PER,the Hyatts
97,12210,12210,PROP,PER,Bash
4,14757,14757,PROP,PER,Hepburn
99,16112,16113,PROP,PER,the Targatts
100,16127,16128,PROP,PER,Mrs. Hawes
18,16712,16712,PROP,PER,Hamblin
102,19427,19427,PROP,PER,Charity----
103,19534,19534,PROP,PER,VII
104,20704,20705,PROP,PER,the Coopersons
105,20729,20730,PROP,PER,Ned Cooperson
106,20783,20783,PROP,PER,Bach
107,20785,20785,PROP,PER,Beethoven
108,20795,20796,PROP,PER,Miss Balch
109,21010,21010,PROP,PER,Mamie
110,21073,21074,PROP,PER,Mrs. Miles
111,22446,22447,PROP,PER,the Frys
112,23628,23628,PROP,PER,Julia
113,24146,24146,PROP,PER,VIII
114,25414,25414,PROP,PER,God
115,26034,26036,PROP,PER,Mrs. Tom Fry
118,28281,28281,PROP,PER,Ally----
119,28367,28368,PROP,PER,Poor Julia
120,30613,30613,PROP,PER,Jove
121,31992,31993,PROP,PER,Dr. Merkle
122,32001,32002,PROP,PER,Lady Attendants
123,32057,32057,PROP,PER,X
124,34252,34252,PROP,PER,Hullo
125,34931,34931,PROP,PER,XI
126,35618,35619,PROP,PER,Poor Ally
127,35724,35726,PROP,PER,old Mrs. Sollas
128,36721,36721,PROP,PER,Sister
129,36981,36982,PROP,PER,Ben Sollas
130,39782,39782,PROP,PER,Seekers
131,42947,42948,PROP,PER,Hattie Targatt
132,43367,43368,PROP,PER,Lambert Sollas
133,48453,48453,PROP,PER,XV
134,54032,54034,PROP,PER,Poor Rose Coles
135,54054,54055,PROP,PER,Halston Skeff
136,54072,54074,PROP,PER,old Mrs. Skeff
137,57309,57309,PROP,PER,Mary
138,58292,58292,PROP,PER,Creston'n
139,58432,58432,PROP,PER,G'wan
140,58447,58447,PROP,PER,Christ
141,59055,59056,PROP,PER,Almighty God
142,60145,60147,PROP,PER,old Mrs. Hyatt
143,62214,62215,PROP,PER,Mrs. Hobart
