COREF,start_token,end_token,prop,cat,text
210,12,13,PROP,PER,Christine Nilsson
211,90,90,PROP,PER,Conservatives
212,156,157,PROP,PER,Madame Nilsson
213,315,315,PROP,PER,Americans
214,334,335,PROP,PER,Newland Archer
215,799,801,PROP,PER,Faust - Capoul
216,866,869,PROP,PER,old Mrs. Manson Mingott
217,924,926,PROP,PER,Mrs. Lovell Mingott
218,932,933,PROP,PER,Mrs. Welland
219,1209,1211,PROP,PER,Mr. Luther Burbank
220,1264,1265,PROP,PER,M. Capoul
221,1426,1427,PROP,PER,May Welland
222,1467,1467,PROP,PER,Lohengrin
223,1857,1858,PROP,PER,Lawrence Lefferts
224,2071,2073,PROP,PER,old Sillerton Jackson
225,2159,2159,PROP,PER,Josephine
226,2355,2356,PROP,PER,the Mingotts
227,2359,2360,PROP,PER,the Thorleys
228,2438,2439,PROP,PER,the Rushworths
229,2475,2477,PROP,PER,poor Medora Manson
230,2578,2579,PROP,PER,Julius Beaufort
231,2592,2594,PROP,PER,handsome Bob Spicer
232,2937,2938,PROP,PER,Ellen Olenska
233,2961,2962,PROP,PER,Miss Welland
234,3061,3062,PROP,PER,Countess Olenska
235,3285,3287,PROP,PER,Old Mrs. Mingott
236,3437,3438,PROP,PER,old Catherine
237,3514,3516,PROP,PER,Mr. Manson Mingott
238,3545,3546,PROP,PER,the Spicers
239,3597,3599,PROP,PER,Mme . Taglioni
240,4026,4027,PROP,PER,Madame Olenska
241,4119,4119,PROP,PER,Martha
242,4353,4354,PROP,PER,young Thorley
243,4445,4445,PROP,PER,Granny
244,4660,4660,PROP,PER,Mamma
245,4985,4986,PROP,PER,Vandie Newland
246,5248,5249,PROP,PER,The Beauforts
247,5275,5277,PROP,PER,the Headly Chiverses
248,5460,5461,PROP,PER,Regina Dallas
249,5504,5505,PROP,PER,the Mansons
250,5741,5742,PROP,PER,Mr. Beaufort
251,6411,6411,PROP,PER,Buhl
252,6612,6613,PROP,PER,Love Victorious
253,6622,6622,PROP,PER,Bouguereau
254,8658,8660,PROP,PER,Monsieur de Camors
255,9002,9003,PROP,PER,Mr. Archer
256,9038,9040,PROP,PER,the great Ferrigiani
257,9216,9216,PROP,PER,Lent
258,9371,9373,PROP,PER,the Countess Ellen
259,9456,9458,PROP,PER,Mrs. Lemuel Struthers
260,9738,9739,PROP,PER,Ellen Mingott
261,9981,9982,PROP,PER,the Archers
262,10039,10041,PROP,PER,Miss Sophy Jackson
263,10119,10119,PROP,PER,Janey
264,10336,10337,PROP,PER,Adeline Archer
265,10354,10356,PROP,PER,the Archer Madeira
266,10401,10403,PROP,PER,the Lovell Mingotts'--it
267,10496,10496,PROP,PER,Ouida
268,10548,10548,PROP,PER,Dickens
269,10561,10561,PROP,PER,Thackeray
270,10570,10570,PROP,PER,Bulwer
918,10586,10586,PROP,PER,Mrs.
271,10588,10589,PROP,PER,Miss Archer
41,10658,10658,PROP,PER,Newlands
273,11064,11064,PROP,PER,BEAUFORT--
274,11881,11882,PROP,PER,Augusta Welland
275,12144,12146,PROP,PER,van der Luydens
276,12511,12512,PROP,PER,Poor Ellen
277,12635,12635,PROP,PER,Elaine
278,13426,13427,PROP,PER,Count Olenski
279,14265,14266,PROP,PER,poor Gertrude
280,14563,14563,PROP,PER,Ulysses
281,14565,14567,PROP,PER,the Lotus Eaters
282,15156,15158,PROP,PER,Catherine the Great
283,15166,15168,PROP,PER,the Selfridge Merrys
284,15230,15232,PROP,PER,the Lawrence Leffertses
285,15234,15236,PROP,PER,Mrs. Lefferts Rushworth
286,15247,15249,PROP,PER,the Reggie Chiverses
287,15251,15253,PROP,PER,young Morris Dagonet
288,15579,15582,PROP,PER,Louisa van der Luyden
289,15655,15656,PROP,PER,the Jacksons
290,15693,15694,PROP,PER,Catherine Spicer
291,15907,15908,PROP,PER,General Burgoyne
292,16009,16010,PROP,PER,the Pitts
293,16012,16012,PROP,PER,Foxes
294,16014,16015,PROP,PER,the Lannings
295,16024,16026,PROP,PER,Count de Grasse
296,16088,16089,PROP,PER,the Dagonets
1107,16139,16139,PROP,PER,Mr.
297,16141,16145,PROP,PER,Mrs. Henry van der Luyden
298,16154,16155,PROP,PER,Louisa Dagonet
299,16165,16167,PROP,PER,Colonel du Lac
300,16180,16180,PROP,PER,Cornwallis
301,16195,16197,PROP,PER,Lady Angelica Trevenna
302,16223,16224,PROP,PER,Cornish kinsfolk
303,16226,16227,PROP,PER,the Trevennas
304,16351,16354,PROP,PER,Mr. van der Luyden
305,16581,16581,PROP,PER,Gainsborough
306,16584,16587,PROP,PER,Lady Angelica du Lac
307,16597,16597,PROP,PER,Huntington
308,17367,17367,PROP,PER,Egmont
309,17524,17525,PROP,PER,Mary Mingott
310,17828,17829,PROP,PER,The LEFFERTSES!--
311,18411,18412,PROP,PER,the Guinevere
312,18599,18599,PROP,PER,Esther
313,18602,18602,PROP,PER,Ahasuerus
314,18810,18810,PROP,PER,Patti
315,18818,18818,PROP,PER,VIII
316,18921,18922,PROP,PER,Poor Medora
317,19270,19272,PROP,PER,Mrs. Thorley Chivers
318,19294,19296,PROP,PER,the Marchioness Manson
319,20137,20139,PROP,PER,old Miss Lanning
320,20429,20429,PROP,PER,Neither
321,20446,20448,PROP,PER,Mrs. Headly Chivers
322,20460,20465,PROP,PER,Mr. Urban Dagonet of Washington Square
323,20492,20492,PROP,PER,April
324,21151,21151,PROP,PER,Wellands
325,21707,21707,PROP,PER,IX
326,21823,21823,PROP,PER,Winsett
327,22187,22188,PROP,PER,the Dallases
328,22443,22443,PROP,PER,Sicilian
329,22586,22586,PROP,PER,Dante
330,22588,22588,PROP,PER,Petrarch
331,22742,22742,PROP,PER,Ruskin
332,22753,22755,PROP,PER,John Addington Symonds
333,22757,22758,PROP,PER,Vernon Lee
334,22761,22761,PROP,PER,Euphorion
335,22767,22769,PROP,PER,P. G. Hamerton
336,22782,22783,PROP,PER,Walter Pater
337,22789,22789,PROP,PER,Botticelli
338,22794,22795,PROP,PER,Fra Angelico
339,23196,23197,PROP,PER,Mr. Welland
340,23998,23998,PROP,PER,Nastasia
341,25513,25514,PROP,PER,Aunt Welland
342,25576,25577,PROP,PER,Madame Olenska!--Oh
343,25758,25759,PROP,PER,St. Austrey
344,25953,25953,PROP,PER,Sarasate
345,26474,26474,PROP,PER,X.
346,26993,26994,PROP,PER,Isabel Chivers
347,27003,27003,PROP,PER,Grace
348,27437,27437,PROP,PER,Mercy
349,27956,27958,PROP,PER,Miss Fanny Ring
350,28065,28065,PROP,PER,Swinburne
351,28130,28130,PROP,PER,Cassandra
353,29170,29171,PROP,PER,Mrs. Struthers's
354,29747,29747,PROP,PER,Patroon
